# prediction	actual
6.420093924337765046e+00 3.681811164556803018e+00
4.585170247059974002e+00 4.409172664851952028e+00
7.696942083328139006e+00 3.897242476480770712e+00
6.360248831566568839e+00 3.609648766986642165e+00
1.637761557087502240e+01 4.221373640165193564e+00
7.937017377576474075e+00 4.191431755940801196e+00
5.853866959900341449e+00 3.738844611520995898e+00
6.422093627060206700e+00 3.232285469936038602e+00
4.797105602738497510e+00 3.375973658181730119e+00
4.587937077974012290e+00 4.008120527954134538e+00
5.893027108915728007e+00 3.699637104975054047e+00
1.121283184371847952e+01 3.911452764115963543e+00
6.857744072801993163e+00 3.532636517764944362e+00
2.501903023089776745e+00 2.027716242157711513e+00
1.165495780924540270e+01 4.088523679559322055e+00
4.892784216643374151e+00 4.939077599973249022e+00
9.171338370026665743e+00 3.105845807792587010e+00
1.624118662463779117e+01 4.249984191473645367e+00
5.497274134349984465e+00 3.655755003948579329e+00
1.119473636152709162e+01 3.917940007122993062e+00
9.681702954690411644e+00 3.803167256938599472e+00
6.336143439620516737e+00 3.434427591465501362e+00
4.586886542082958762e+00 2.810038854651471407e+00
5.684670768687429820e+00 3.640035962891302823e+00
6.627899607038961527e+00 3.851983199956192649e+00
1.368106577789774647e+01 4.347162145706687575e+00
5.738837035725571134e+00 3.639292253563392698e+00
6.829669051642575539e+00 3.626867043978168059e+00
9.171750212072605990e+00 3.067333863696164897e+00
9.159463976821598408e+00 2.895737991565704661e+00
6.455612713574539363e+00 3.748471079106184600e+00
9.014360492893485954e+00 3.726659419722454292e+00
4.596373459119031502e+00 3.518819819071746569e+00
1.166386257089914480e+01 3.888610708310132225e+00
6.416165428581481756e+00 3.209983758284795652e+00
6.398139811599616422e+00 3.299482816511762895e+00
6.700352142517322918e+00 3.565148713304572059e+00
5.193055227572163091e+00 3.412733221941545825e+00
6.400087747318972120e+00 3.131207209053608498e+00
5.306890728975662164e+00 3.830488355188061522e+00
9.177765851021982613e+00 3.029099091116565390e+00
9.144656752533935062e+00 2.989694061937422376e+00
9.707489925120240670e+00 3.780228292493508224e+00
7.050540852776185474e+00 3.643660545601673739e+00
1.132085248983775649e+01 3.759523490668829293e+00
1.616903705765353649e+01 4.033682075397326372e+00
9.181743378173065295e+00 3.064859583397131715e+00
4.585371990896634387e+00 3.456902689930965167e+00
1.214004893584835010e+01 3.878775097980424302e+00
6.661093985689110930e+00 3.626602714992221088e+00
1.050746148740112318e+01 3.681584811412820457e+00
1.437636391534791613e+01 3.826076223394465625e+00
9.141457886812643707e+00 2.944723128566642423e+00
9.501229491262471072e+00 3.828651265060597275e+00
5.482252052361588746e+00 2.869180633709405570e-01
1.166245715266791549e+01 4.396802880889693732e+00
7.666828559441651869e+00 3.708215407010647446e+00
4.756977875156018776e+00 3.157818085400754260e+00
5.395212889706893833e+00 3.436713507174857352e+00
9.183477522742711230e+00 2.922883697576321715e+00
5.597412161902978411e+00 3.347585805158487915e+00
5.436070740310955607e+00 3.479444415799275436e+00
1.160376570967295251e+01 3.792077709909372984e+00
6.397079221604394128e+00 3.036126332405505224e+00
1.472105940311739047e+01 3.933735083149874079e+00
5.420808702450168326e+00 3.418290529640905628e+00
4.586154853140953058e+00 4.122042874818707681e+00
7.650668786571673152e+00 3.759008444714111885e+00
1.684504782453150895e+01 3.742418739435048991e+00
9.156739502229447325e+00 2.677660549830692016e+00
5.453296843524058524e+00 3.877862876881004173e+00
9.249210680700302945e+00 3.884583106374703831e+00
6.087793411654813802e+00 3.598582749193099062e+00
5.522717726567558216e+00 3.370917997369008212e+00
5.148955744421178871e+00 3.698429642049224420e+00
7.265728007553825307e+00 3.669672026242521312e+00
1.147116273596445701e+01 3.852758047103109096e+00
1.445547445400193709e+01 3.824010839680147988e+00
2.348970075607341723e+00 1.555650891570467875e+00
5.189611383591118177e+00 3.238799383589287650e+00
5.277840441738429256e+00 3.424345695221933550e+00
4.943343522595143646e+00 4.054178237421810493e+00
9.706152092659277031e+00 3.959362422622814570e+00
7.783170258312988921e+00 3.006795820065230718e+00
8.426471855265474931e-01 7.276401745032748281e+00
6.875871481618599290e+00 3.676891574960233111e+00
9.473991139224210656e+00 3.650778075895758867e+00
5.714821130441561259e+00 3.565937302788890317e+00
2.456307966487005601e+01 3.941652964615919963e+00
6.188709903562842563e+00 3.497202946609506924e+00
1.468574352058960031e+01 3.926437080608627728e+00
