# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
8.739e-01	9.160e-04
9.322e-01	1.819e-03
1.553e+00	2.727e-03
2.036e+00	3.634e-03
1.908e+00	4.542e-03
2.514e+00	5.449e-03
3.172e+00	6.355e-03
3.224e+00	7.262e-03
2.940e+00	8.167e-03
3.679e+00	9.079e-03
3.553e+00	9.079e-03
3.798e+00	9.084e-03
7.451e+00	4.461e-02
1.364e+01	8.021e-02
1.940e+01	1.150e-01
2.301e+01	1.516e-01
2.761e+01	1.866e-01
3.267e+01	2.216e-01
3.720e+01	2.566e-01
4.163e+01	2.921e-01
4.493e+01	3.272e-01
4.857e+01	3.626e-01
5.375e+01	3.978e-01
5.735e+01	4.328e-01
6.010e+01	4.693e-01
6.169e+01	5.054e-01
6.321e+01	5.415e-01
6.512e+01	5.765e-01
6.734e+01	6.117e-01
6.950e+01	6.467e-01
7.175e+01	6.828e-01
7.552e+01	7.180e-01
7.844e+01	7.526e-01
8.127e+01	7.873e-01
8.413e+01	8.219e-01
8.749e+01	8.567e-01
9.179e+01	8.923e-01
9.435e+01	9.270e-01
9.640e+01	9.623e-01
9.677e+01	9.973e-01
9.901e+01	1.032e+00
1.024e+02	1.069e+00
1.052e+02	1.105e+00
1.064e+02	1.139e+00
1.077e+02	1.174e+00
1.090e+02	1.209e+00
1.108e+02	1.245e+00
1.124e+02	1.280e+00
1.134e+02	1.314e+00
1.166e+02	1.350e+00
1.195e+02	1.385e+00
1.211e+02	1.421e+00
1.230e+02	1.455e+00
1.246e+02	1.491e+00
1.260e+02	1.525e+00
1.274e+02	1.561e+00
1.290e+02	1.596e+00
1.314e+02	1.631e+00
1.338e+02	1.665e+00
1.359e+02	1.700e+00
1.379e+02	1.735e+00
1.393e+02	1.770e+00
1.414e+02	1.806e+00
1.432e+02	1.840e+00
1.446e+02	1.875e+00
1.460e+02	1.910e+00
1.511e+02	1.946e+00
1.529e+02	1.981e+00
1.555e+02	2.016e+00
1.570e+02	2.051e+00
1.587e+02	2.086e+00
1.600e+02	2.121e+00
1.618e+02	2.156e+00
1.637e+02	2.191e+00
1.643e+02	2.226e+00
1.651e+02	2.261e+00
1.671e+02	2.296e+00
1.679e+02	2.330e+00
1.693e+02	2.365e+00
1.715e+02	2.400e+00
1.737e+02	2.436e+00
1.748e+02	2.471e+00
1.751e+02	2.505e+00
1.761e+02	2.540e+00
1.780e+02	2.575e+00
1.813e+02	2.610e+00
1.833e+02	2.645e+00
1.853e+02	2.680e+00
1.874e+02	2.715e+00
1.879e+02	2.750e+00
1.888e+02	2.785e+00
1.898e+02	2.821e+00
1.898e+02	2.856e+00
1.911e+02	2.890e+00
1.930e+02	2.925e+00
1.940e+02	2.960e+00
1.951e+02	2.995e+00
1.961e+02	3.030e+00
1.975e+02	3.065e+00
1.982e+02	3.100e+00
1.997e+02	3.135e+00
2.012e+02	3.170e+00
2.025e+02	3.204e+00
2.041e+02	3.241e+00
2.053e+02	3.276e+00
2.059e+02	3.310e+00
2.069e+02	3.345e+00
2.083e+02	3.380e+00
2.093e+02	3.415e+00
