# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
6.009e-01	9.180e-04
6.365e-02	1.833e-03
1.428e+00	2.750e-03
1.141e+00	3.662e-03
1.209e+00	4.583e-03
1.786e+00	5.500e-03
2.064e+00	6.422e-03
2.074e+00	7.337e-03
2.391e+00	8.253e-03
2.297e+00	8.253e-03
2.243e+00	8.254e-03
2.963e+00	2.062e-02
4.342e+00	3.303e-02
5.849e+00	4.628e-02
6.912e+00	5.952e-02
7.756e+00	7.189e-02
9.055e+00	8.451e-02
1.079e+01	9.695e-02
1.337e+01	1.098e-01
1.488e+01	1.222e-01
1.591e+01	1.347e-01
1.734e+01	1.474e-01
1.941e+01	1.598e-01
2.341e+01	1.722e-01
2.773e+01	1.849e-01
3.112e+01	1.973e-01
3.552e+01	2.097e-01
4.119e+01	2.223e-01
4.590e+01	2.347e-01
4.848e+01	2.472e-01
5.285e+01	2.598e-01
5.534e+01	2.725e-01
5.772e+01	2.849e-01
6.045e+01	2.973e-01
6.314e+01	3.097e-01
6.512e+01	3.222e-01
6.676e+01	3.347e-01
6.875e+01	3.472e-01
7.219e+01	3.597e-01
7.586e+01	3.722e-01
7.783e+01	3.847e-01
7.925e+01	3.973e-01
8.084e+01	4.097e-01
8.171e+01	4.225e-01
8.403e+01	4.349e-01
8.655e+01	4.474e-01
8.897e+01	4.600e-01
9.053e+01	4.724e-01
9.226e+01	4.849e-01
9.354e+01	4.974e-01
9.534e+01	5.100e-01
9.755e+01	5.229e-01
9.871e+01	5.357e-01
1.003e+02	5.484e-01
1.008e+02	5.610e-01
1.018e+02	5.736e-01
1.028e+02	5.861e-01
1.036e+02	5.986e-01
1.046e+02	6.111e-01
1.056e+02	6.235e-01
1.065e+02	6.362e-01
1.078e+02	6.487e-01
1.096e+02	6.613e-01
1.114e+02	6.736e-01
1.123e+02	6.861e-01
1.131e+02	6.986e-01
1.145e+02	7.114e-01
