,#grain_i_ID,grain_j_ID,misOrientationAngle(deg),grain_i_index,grain_j_index
0,1.0,100.0,45.09388,131.0,228.0
1,2.0,20.0,53.10811,132.0,150.0
2,3.0,5.0,36.43593,133.0,135.0
3,3.0,20.0,15.59176,133.0,150.0
4,4.0,12.0,44.32592,134.0,142.0
5,4.0,24.0,31.71234,134.0,154.0
6,4.0,50.0,59.89572,134.0,180.0
7,5.0,6.0,25.32981,135.0,136.0
8,5.0,20.0,30.98167,135.0,150.0
9,6.0,20.0,55.52825,136.0,150.0
10,7.0,10.0,59.46823,137.0,140.0
11,7.0,85.0,48.99223,137.0,1.0
12,7.0,92.0,43.27413,137.0,220.0
13,7.0,161.0,48.9658,137.0,5.0
14,8.0,15.0,56.3307,138.0,145.0
15,8.0,78.0,39.88018,138.0,208.0
16,9.0,10.0,59.5751,139.0,140.0
17,9.0,16.0,59.04703,139.0,146.0
18,9.0,84.0,46.11165,139.0,0.0
19,10.0,84.0,43.5791,140.0,0.0
20,10.0,92.0,45.8855,140.0,220.0
21,11.0,13.0,24.28505,141.0,143.0
22,11.0,20.0,59.89763,141.0,150.0
23,11.0,23.0,32.20479,141.0,153.0
24,11.0,39.0,36.79723,141.0,169.0
25,12.0,24.0,59.32839,142.0,154.0
26,12.0,57.0,49.70027,142.0,187.0
27,12.0,80.0,37.89588,142.0,210.0
28,13.0,23.0,44.20331,143.0,153.0
29,13.0,39.0,59.8162,143.0,169.0
30,14.0,31.0,32.61249,144.0,161.0
31,14.0,36.0,33.68698,144.0,166.0
32,14.0,71.0,31.05739,144.0,201.0
33,15.0,78.0,45.29397,145.0,208.0
34,15.0,144.0,56.48792,145.0,269.0
35,16.0,17.0,59.35955,146.0,147.0
36,16.0,84.0,44.04681,146.0,0.0
37,17.0,40.0,59.64238,147.0,170.0
38,17.0,84.0,45.7836,147.0,0.0
39,18.0,36.0,41.02305,148.0,166.0
40,18.0,117.0,44.32166,148.0,245.0
41,19.0,20.0,18.40897,149.0,150.0
42,19.0,21.0,52.40794,149.0,151.0
43,19.0,22.0,53.52812,149.0,152.0
44,19.0,39.0,51.9518,149.0,169.0
45,20.0,21.0,42.13873,150.0,151.0
46,20.0,34.0,59.78749,150.0,164.0
47,20.0,39.0,41.72957,150.0,169.0
48,20.0,53.0,55.95354,150.0,183.0
49,21.0,22.0,35.95975,151.0,152.0
50,21.0,53.0,59.60974,151.0,183.0
51,22.0,39.0,35.88137,152.0,169.0
52,22.0,53.0,42.70069,152.0,183.0
53,23.0,35.0,61.73804,153.0,165.0
54,23.0,39.0,51.02889,153.0,169.0
55,23.0,43.0,59.46163,153.0,173.0
56,23.0,156.0,17.8927,153.0,281.0
57,24.0,50.0,54.18333,154.0,180.0
58,24.0,74.0,30.80569,154.0,204.0
59,24.0,80.0,54.94888,154.0,210.0
60,25.0,57.0,59.88305,155.0,187.0
61,26.0,57.0,59.98586,156.0,187.0
62,27.0,57.0,59.91331,157.0,187.0
63,28.0,57.0,59.976,158.0,187.0
64,29.0,57.0,59.84588,159.0,187.0
65,30.0,57.0,59.76039,160.0,187.0
66,31.0,36.0,22.50815,161.0,166.0
67,31.0,57.0,59.77422,161.0,187.0
68,31.0,82.0,37.7961,161.0,212.0
69,31.0,96.0,40.66122,161.0,224.0
70,32.0,78.0,59.81912,162.0,208.0
71,32.0,87.0,42.09899,162.0,215.0
72,33.0,100.0,59.65791,163.0,228.0
73,34.0,53.0,25.60018,164.0,183.0
74,35.0,39.0,59.91592,165.0,169.0
75,35.0,156.0,59.0305,165.0,281.0
76,36.0,71.0,42.75449,166.0,201.0
77,36.0,82.0,40.96817,166.0,212.0
78,36.0,117.0,41.37661,166.0,245.0
79,37.0,41.0,41.81725,167.0,171.0
80,37.0,84.0,56.88449,167.0,0.0
81,37.0,92.0,27.08337,167.0,220.0
82,38.0,42.0,55.06938,168.0,172.0
83,38.0,53.0,25.47308,168.0,183.0
84,39.0,53.0,59.67749,169.0,183.0
85,39.0,156.0,37.28465,169.0,281.0
86,40.0,68.0,38.63633,170.0,198.0
87,40.0,84.0,43.83785,170.0,0.0
88,40.0,100.0,59.50102,170.0,228.0
89,40.0,326.0,25.32977,170.0,25.0
90,41.0,84.0,41.18847,171.0,0.0
91,41.0,92.0,49.03371,171.0,220.0
92,42.0,47.0,34.27255,172.0,177.0
93,42.0,48.0,38.7373,172.0,178.0
94,42.0,53.0,55.67088,172.0,183.0
95,42.0,60.0,38.84088,172.0,190.0
96,43.0,62.0,52.38922,173.0,192.0
97,43.0,142.0,15.80306,173.0,4.0
98,43.0,156.0,49.01405,173.0,281.0
99,43.0,166.0,55.88352,173.0,289.0
100,44.0,100.0,59.61172,174.0,228.0
101,45.0,85.0,59.79742,175.0,1.0
102,46.0,53.0,59.76941,176.0,183.0
103,46.0,59.0,59.79421,176.0,189.0
104,46.0,132.0,55.9348,176.0,259.0
105,47.0,48.0,50.3399,177.0,178.0
106,47.0,55.0,26.16047,177.0,185.0
107,47.0,60.0,50.36785,177.0,190.0
108,48.0,53.0,51.49991,178.0,183.0
109,48.0,55.0,45.41944,178.0,185.0
110,48.0,122.0,60.06324,178.0,2.0
111,49.0,50.0,39.6998,179.0,180.0
112,49.0,56.0,57.45405,179.0,186.0
113,49.0,74.0,53.1514,179.0,204.0
114,50.0,56.0,49.11355,180.0,186.0
115,50.0,65.0,38.00104,180.0,195.0
116,50.0,74.0,54.90495,180.0,204.0
117,50.0,166.0,47.93745,180.0,289.0
118,51.0,57.0,56.51664,181.0,187.0
119,51.0,96.0,35.22693,181.0,224.0
120,51.0,211.0,34.88691,181.0,11.0
121,52.0,69.0,55.19024,182.0,199.0
122,53.0,60.0,51.39288,183.0,190.0
123,53.0,93.0,16.16555,183.0,221.0
124,53.0,122.0,54.42143,183.0,2.0
125,53.0,132.0,43.93428,183.0,259.0
