#grainID	x	y	grainSize	perimeter	boundarySize	numNeighbors
1	-1.895424e-02	6.838719e-02	1	3.695012e+00	5	1
2	-8.590903e+01	-7.999936e-01	1	2.771259e+00	6	1
3	-8.590903e+01	-2.399981e+00	1	2.771259e+00	6	2
4	-1.413357e+02	-8.527744e-01	10	1.305630e+01	24	3
5	-8.590903e+01	-3.199974e+00	1	2.771259e+00	6	3
6	-8.590903e+01	-3.999968e+00	1	2.771259e+00	6	2
7	-4.584892e+01	-1.615458e+00	26	2.137008e+01	40	4
8	-2.742800e+02	-1.960737e+00	45	2.577962e+01	41	2
9	-3.949130e+01	-2.713931e+00	37	2.460321e+01	49	3
10	-4.291045e+01	-2.722916e+00	39	2.598884e+01	50	4
11	-8.973063e+01	-2.982582e+00	38	2.598884e+01	52	4
12	-1.577712e+02	-2.010786e+00	186	6.801961e+01	109	4
13	-8.989272e+01	-6.199950e+00	8	1.200879e+01	26	3
14	-2.187346e+02	-2.310994e+00	80	3.568825e+01	61	3
15	-2.764881e+02	-6.399949e+00	2	4.833123e+00	8	3
16	-3.613073e+01	-3.417493e+00	54	3.060761e+01	60	3
17	-3.350278e+01	-3.741767e+00	25	3.060761e+01	62	3
18	-2.182367e+02	-8.399933e+00	1	2.771259e+00	6	2
19	-8.521622e+01	-9.199926e+00	1	2.771259e+00	6	4
20	-8.501725e+01	-3.892941e+00	72	4.169265e+01	104	10
21	-8.402853e+01	-9.085642e+00	7	9.237530e+00	20	4
22	-8.521622e+01	-9.999920e+00	1	2.771259e+00	6	4
23	-9.332794e+01	-4.875863e+00	50	3.060761e+01	64	6
24	-1.502980e+02	-5.639461e+00	162	5.634894e+01	122	5
25	-1.759750e+02	-9.599923e+00	1	2.771259e+00	6	1
26	-1.780534e+02	-9.733255e+00	3	6.466271e+00	14	1
27	-1.801318e+02	-9.599923e+00	1	2.771259e+00	6	1
28	-1.832495e+02	-9.799922e+00	6	1.200879e+01	26	1
29	-1.863672e+02	-9.999920e+00	1	2.771259e+00	6	1
30	-1.877528e+02	-9.999920e+00	1	2.771259e+00	6	1
31	-2.124366e+02	-5.199375e+00	90	3.661200e+01	75	5
32	-2.573926e+02	-3.472041e+00	61	3.615013e+01	70	2
33	-1.524193e+01	-1.039992e+01	1	2.771259e+00	6	1
34	-7.855058e+01	-4.192794e+00	148	4.584953e+01	83	2
35	-9.283718e+01	-1.039992e+01	3	6.466271e+00	14	3
36	-2.161582e+02	-8.159935e+00	25	1.939881e+01	42	6
37	-4.226170e+01	-1.159991e+01	1	2.771259e+00	6	3
38	-8.452340e+01	-1.119991e+01	1	2.771259e+00	6	2
39	-8.905606e+01	-8.894844e+00	59	2.863634e+01	62	9
40	-3.118525e+01	-5.176751e+00	87	4.400203e+01	91	5
41	-4.295452e+01	-1.199990e+01	1	2.771259e+00	6	3
42	-8.452340e+01	-1.199990e+01	1	2.771259e+00	6	5
43	-1.018257e+02	-4.937880e+00	285	6.201521e+01	108	5
44	-1.593474e+01	-1.319989e+01	1	2.771259e+00	6	1
45	-6.166051e+01	-1.319989e+01	1	2.771259e+00	6	1
46	-6.928949e+01	-6.492849e+00	61	4.261640e+01	90	3
47	-8.452340e+01	-1.279990e+01	1	2.771259e+00	6	4
48	-8.573583e+01	-1.289990e+01	4	7.390024e+00	16	5
49	-1.226282e+02	-1.319989e+01	1	2.771259e+00	6	3
50	-1.312469e+02	-5.147248e+00	405	7.633338e+01	137	7
51	-1.683540e+02	-1.319989e+01	1	2.771259e+00	6	3
52	-6.443177e+01	-1.399989e+01	1	2.771259e+00	6	1
53	-7.596173e+01	-7.771158e+00	162	8.695654e+01	180	14
54	-8.383059e+01	-1.399989e+01	1	2.771259e+00	6	4
55	-8.452340e+01	-1.359989e+01	1	2.771259e+00	6	5
56	-1.218199e+02	-1.259990e+01	6	1.016128e+01	22	4
57	-1.883676e+02	-6.021861e+00	972	1.285254e+02	286	12
58	-2.733469e+02	-1.345444e+01	11	1.570380e+01	34	2
59	-6.643729e+01	-7.032040e+00	95	5.000642e+01	102	3
60	-8.235258e+01	-1.298656e+01	15	1.385630e+01	30	7
61	-8.383059e+01	-1.479988e+01	1	2.771259e+00	6	5
62	-1.066332e+02	-1.276512e+01	23	2.309383e+01	50	3
63	-8.383059e+01	-1.559988e+01	1	2.771259e+00	6	2
64	-8.660185e+01	-1.559988e+01	1	2.771259e+00	6	2
65	-1.193085e+02	-1.274990e+01	24	2.771259e+01	60	4
66	-1.226282e+02	-1.559988e+01	1	2.771259e+00	6	3
67	-1.845075e+01	-9.249049e+00	57	4.618765e+01	100	3
68	-2.732419e+01	-1.339989e+01	66	3.510262e+01	76	5
69	-6.134633e+01	-6.656684e+00	169	6.201521e+01	131	5
70	-1.219354e+02	-1.599987e+01	1	2.771259e+00	6	5
71	-2.314361e+02	-6.462549e+00	471	7.818089e+01	143	5
72	-2.417885e+02	-7.806010e+00	121	5.878208e+01	121	4
73	-1.129288e+02	-1.719986e+01	1	2.771259e+00	6	3
74	-1.354532e+02	-1.206018e+01	219	1.053078e+02	228	11
75	-1.219354e+02	-1.679987e+01	1	2.771259e+00	6	4
76	-2.386747e+02	-1.659987e+01	2	4.618765e+00	10	2
77	-2.457623e+02	-8.386460e+00	134	5.970583e+01	123	3
78	-2.650511e+02	-8.619553e+00	493	8.326153e+01	168	7
79	-1.219354e+02	-1.759986e+01	1	2.771259e+00	6	4
80	-1.499102e+02	-1.192182e+01	251	1.284017e+02	278	9
81	-1.531121e+02	-1.799986e+01	1	2.771259e+00	6	1
82	-2.068504e+02	-1.393032e+01	69	4.618765e+01	100	5
83	-1.693547e-01	-1.823985e+01	3	6.680629e+00	12	2
84	-3.929250e+01	-1.173705e+01	140	4.526390e+01	98	9
85	-5.500100e+01	-9.001784e+00	305	7.494776e+01	159	6
86	-1.171265e+02	-1.752927e+01	34	2.678884e+01	58	7
87	-2.506504e+02	-9.912081e+00	224	6.663398e+01	138	6
88	-8.313777e+01	-1.919985e+01	1	2.771259e+00	6	3
89	-1.517264e+02	-1.959984e+01	1	2.771259e+00	6	1
90	-6.124483e+01	-1.935984e+01	5	9.237530e+00	20	3
91	-8.313777e+01	-1.999984e+01	1	2.771259e+00	6	3
92	-4.414770e+01	-1.303323e+01	72	4.341639e+01	94	8
93	-8.149732e+01	-1.729641e+01	87	4.526390e+01	98	10
94	-2.189295e+02	-2.079983e+01	1	2.771259e+00	6	2
95	-6.355001e+01	-1.927257e+01	22	1.847506e+01	40	5
96	-1.849848e+02	-1.614334e+01	421	1.247067e+02	270	9
97	-2.455762e+02	-1.981523e+01	13	1.293254e+01	28	3
98	-1.396798e+00	-1.522475e+01	62	4.399314e+01	84	4
99	-8.244496e+01	-2.279982e+01	1	2.771259e+00	6	2
100	-1.326044e+01	-9.457537e+00	890	1.544480e+02	304	12
101	-8.244496e+01	-2.359981e+01	1	2.771259e+00	6	2
