#grain_i_ID grain_j_ID misOrientationAngle(deg) boundaryLength(micron)
1 3 5.862151e+01 9.366798e-01
1 24 4.683413e+01 2.435250e+00
2 7 1.973459e+01 1.751753e+00
3 5 1.382195e+01 8.413315e-01
3 10 5.699160e+01 1.539467e+01
3 17 5.271398e+01 5.915112e+00
3 24 1.401270e+01 2.779338e+00
4 7 5.271789e+01 2.100205e+00
4 8 4.376638e+01 2.545070e+00
4 17 5.979358e+01 2.229673e+01
5 6 1.758661e+01 9.520694e-01
5 10 5.936542e+01 9.173528e+00
5 17 5.741044e+01 7.478628e+00
5 28 5.548202e+01 8.857121e-01
6 10 4.340760e+01 8.638684e-01
6 13 5.998276e+01 1.828501e+00
6 28 4.915155e+01 7.725819e-01
7 8 5.732542e+01 4.811539e+00
7 11 4.856788e+01 4.631954e+00
7 17 5.055841e+01 1.036826e+01
8 9 5.968463e+01 6.434154e-01
8 11 4.817711e+01 1.810578e+00
8 17 3.924596e+01 1.793568e+00
9 11 4.960102e+01 5.418189e-01
9 17 4.837039e+01 8.472404e-01
10 12 5.991172e+01 9.111131e+00
10 13 4.285202e+01 4.198426e+00
10 24 4.714026e+01 1.146461e+01
11 14 5.994584e+01 1.087853e+01
11 17 3.045383e+01 4.506755e+00
12 13 2.219477e+01 1.264899e+01
12 21 5.354851e+01 4.097940e+00
12 24 5.400128e+01 6.668261e+00
13 21 5.289586e+01 3.071622e+00
13 28 5.756070e+01 1.180835e+01
14 15 5.985213e+01 1.142841e+01
14 17 5.708342e+01 5.902268e+00
14 35 1.546621e+01 1.133326e+00
15 34 4.077489e+01 8.015873e-01
15 35 4.698788e+01 9.430703e+00
16 35 5.932498e+01 7.162954e-01
17 18 5.379755e+01 2.677633e+00
17 19 4.827161e+01 2.187909e-01
17 28 5.990024e+01 1.510246e+01
17 35 4.829736e+01 1.606206e+00
18 19 5.953108e+01 1.916607e+00
18 20 3.906269e+01 6.752551e-01
18 35 5.944451e+01 3.930571e+00
19 20 5.995946e+01 2.925985e+00
19 28 2.265734e+01 3.051512e+00
20 28 5.161872e+01 1.428527e+00
20 35 5.998501e+01 1.502506e+01
21 23 5.978243e+01 9.261650e+00
21 24 3.945969e+01 8.405355e+00
21 28 4.382208e+01 8.321543e+00
22 23 1.841962e+01 2.020696e-01
22 24 4.766792e+01 5.401911e-01
22 25 3.393960e+01 5.177977e-01
22 26 4.678051e+01 3.460641e-01
23 24 3.174019e+01 2.689599e+00
23 26 5.991156e+01 8.429638e+00
23 28 2.048727e+01 2.976911e+00
24 25 5.694279e+01 8.610944e+00
24 29 5.955534e+01 2.104826e+01
25 26 4.388877e+01 1.454833e-01
25 29 4.865494e+01 6.497130e-01
25 30 2.732922e+01 3.798800e-01
25 37 5.984377e+01 9.673928e+00
26 28 4.376329e+01 1.013251e+00
26 30 5.249024e+01 7.807584e+00
27 28 4.932013e+01 8.531682e-01
27 30 2.838815e+01 1.348755e+00
27 33 5.983759e+01 5.208835e-01
28 30 5.819850e+01 6.122131e-01
28 33 2.879490e+01 1.158580e+00
28 35 2.262271e+01 5.809078e+00
28 43 5.825932e+01 1.012983e+01
29 32 5.974190e+01 8.971333e+00
29 37 2.525836e+01 2.153823e+00
30 33 4.749783e+01 9.355661e+00
30 37 3.383112e+01 3.306911e+00
31 35 5.922015e+01 9.332291e+00
32 37 4.781407e+01 6.102859e+00
32 44 3.764838e+01 4.321261e+00
33 36 5.994919e+01 1.528357e+01
33 37 2.999829e+01 2.538688e+00
33 42 4.204583e+01 5.813118e-01
33 43 4.763464e+01 7.476562e+00
34 35 5.948655e+01 1.989392e+01
34 39 3.288249e+01 3.672396e+00
35 39 4.071532e+01 3.543601e+00
35 43 4.080523e+01 1.211588e+01
36 42 3.010349e+01 2.470854e+00
36 43 5.772116e+01 5.680094e+00
36 50 5.999604e+01 2.166828e+01
37 42 5.987285e+01 1.467914e+01
37 44 3.938050e+01 2.253900e+00
37 46 3.976706e+01 3.580628e+00
38 43 4.454186e+01 3.896208e-01
38 48 4.816489e+01 3.108945e-01
39 40 5.986926e+01 8.964766e+00
39 43 5.149014e+01 2.392766e+00
40 43 4.380852e+01 7.339749e-01
40 48 5.999045e+01 9.739106e+00
41 43 4.492995e+01 4.517904e-01
41 48 4.809352e+01 3.564650e-01
42 45 5.999835e+01 1.146232e+01
42 46 2.055931e+01 2.501582e+00
42 50 4.208924e+01 5.267188e-01
43 48 5.154736e+01 2.000943e+00
43 50 4.757771e+01 7.559313e+00
44 46 5.721488e+01 1.046646e+01
44 51 3.262522e+01 3.157403e-01
45 46 3.989864e+01 9.071890e+00
45 50 3.030118e+01 1.048203e+01
45 55 5.545423e+01 1.352544e+00
46 47 3.290140e+01 4.697997e-01
46 51 5.991587e+01 1.226510e+01
46 52 5.572896e+01 1.072296e+00
46 55 3.265770e+01 1.281012e+00
46 56 3.326459e+01 6.571640e-01
47 52 5.963386e+01 2.711988e+00
47 55 4.376833e+01 2.683687e+00
48 49 5.993801e+01 1.146520e+01
48 50 4.646534e+01 9.947372e+00
49 50 3.422036e+01 1.010172e+00
49 53 5.797865e+01 9.774518e+00
50 53 2.983510e+01 1.809975e+00
50 55 4.173971e+01 2.894940e+01
51 56 4.682839e+01 1.253601e+01
52 55 2.700619e+01 5.051837e+00
52 56 5.943310e+01 6.888037e+00
53 54 5.995553e+01 1.207032e+01
53 55 4.259266e+01 3.736081e+00
54 55 4.510880e+01 2.589305e+00
55 56 4.382461e+01 3.892366e+00
