#grainID x y area perimeter subBoundaryLength diameter equivalentPerimeter shapeFactor isBoundary hasHole isInclusion numNeighbors phi1 Phi phi2
1 -9.422281e+01 1.045368e-01 8.247389e-01 3.818772e+00 0.000000e+00 1.387011e+00 3.219313e+00 1.186207e+00 1 0 0 3 2.919312e+02 1.100211e+02 1.261183e+02
2 -9.491562e+01 -3.238069e-01 6.466219e-01 3.233136e+00 0.000000e+00 1.222010e+00 2.850560e+00 1.134211e+00 0 0 0 3 3.162521e+02 8.924448e+01 2.501247e+01
3 -9.560844e+01 1.045368e-01 8.247389e-01 3.818772e+00 0.000000e+00 1.387011e+00 3.219313e+00 1.186207e+00 1 0 0 3 2.619895e+02 9.071526e+01 6.907866e+01
4 -1.658872e+02 -8.370829e-02 5.885443e+00 1.490381e+01 0.000000e+00 6.065936e+00 8.599922e+00 1.733017e+00 1 0 0 3 2.950359e+02 1.276097e+02 1.260561e+02
5 -1.704324e+02 1.045368e-01 2.474217e+00 1.120880e+01 0.000000e+00 4.157349e+00 5.576013e+00 2.010181e+00 1 0 0 2 2.261897e+02 9.492956e+01 6.501028e+00
6 -1.602776e+02 -2.708652e-01 7.548185e+00 1.490381e+01 0.000000e+00 6.065936e+00 9.739266e+00 1.530280e+00 1 0 0 2 2.260058e+02 9.554338e+01 6.517217e+00
7 -1.877528e+02 -1.199990e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 3.678790e+01 7.127194e+01 1.916876e+02
8 -2.023019e+02 -7.999936e-01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.706572e+02 1.403638e+02 8.707411e+01
9 -2.036875e+02 -7.999936e-01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.279469e+01 8.810830e+01 2.195506e+02
10 -1.877528e+02 -1.999984e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 1.744169e+02 5.044149e+01 2.676641e+02
11 -1.919097e+02 -1.999984e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.169109e+02 1.088024e+02 7.842073e+01
12 -2.078598e+00 -1.001823e+00 1.557048e+01 1.810378e+01 0.000000e+00 6.252416e+00 1.398801e+01 1.294236e+00 1 0 0 1 3.044245e+02 1.150375e+02 3.483838e+02
13 -8.383059e+01 -2.399981e+00 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 0 2 2.071907e+02 1.058846e+02 9.189043e+01
14 -1.967594e+02 -2.399981e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.169659e+02 1.087577e+02 7.843391e+01
15 -5.548500e+01 -1.396600e+00 7.703328e+01 5.462519e+01 0.000000e+00 2.172293e+01 3.111316e+01 1.755694e+00 1 0 0 5 1.964523e+02 9.071149e+01 8.608533e+01
16 -1.960666e+02 -3.599971e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.706268e+02 1.403420e+02 8.707813e+01
17 -2.023019e+02 -3.199974e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.280730e+01 8.811862e+01 2.195431e+02
18 -4.711140e+01 -3.999968e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 6.463938e+01 5.292354e+01 2.582074e+02
19 -6.928148e+01 -3.999968e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.367439e+02 7.563272e+01 1.387360e+02
20 -1.011510e+02 -3.999968e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.493278e+02 1.425290e+02 3.430035e+02
21 -1.946810e+02 -4.399965e+00 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 6.940753e+01 1.580229e+02 3.059480e+01
