#grainID1 grainID2 x y
0 7 -7.216773e-03 2.886709e-02
0 7 2.886709e-02 1.933728e-03
5 17 -1.581497e+01 -5.369786e+00
5 17 -1.598651e+01 -5.215166e+00
0 7 -8.660127e-02 2.886709e-02
5 17 -1.565117e+01 -5.546959e+00
5 17 -1.550514e+01 -5.757144e+00
0 24 -5.142672e+01 -4.749930e-01
0 24 -5.142672e+01 -4.249938e-01
13 21 -2.317828e+01 -2.117574e+01
13 21 -2.320813e+01 -2.111390e+01
3 5 -1.667909e+01 -5.218182e+00
3 5 -1.684606e+01 -5.252862e+00
3 5 -1.642943e+01 -5.179904e+00
0 54 2.886709e-02 -5.849914e+01
0 54 2.886709e-02 -5.844914e+01
0 54 2.886709e-02 -5.854914e+01
0 54 2.886709e-02 -5.859914e+01
0 54 2.886709e-02 -5.939913e+01
0 54 2.886709e-02 -5.944913e+01
3 10 -1.709270e+01 -5.299100e+00
3 10 -1.741616e+01 -5.343793e+00
5 10 -1.663215e+01 -5.664268e+00
5 10 -1.640738e+01 -5.983489e+00
5 10 -1.682135e+01 -5.389834e+00
5 17 -1.537352e+01 -6.928615e+00
5 17 -1.536801e+01 -6.860806e+00
5 17 -1.537386e+01 -6.992638e+00
5 17 -1.536253e+01 -6.795836e+00
0 24 -5.126795e+01 2.886709e-02
0 24 -5.118135e+01 2.886709e-02
0 7 -5.196076e-01 2.886709e-02
0 7 -4.330064e-01 2.886709e-02
0 7 -1.732025e-01 2.886709e-02
0 7 -2.598038e-01 2.886709e-02
3 17 -1.597744e+01 -5.031052e+00
3 17 -1.576663e+01 -4.779132e+00
3 5 -1.618115e+01 -5.150379e+00
44 46 -5.101678e+01 -4.699437e+01
44 46 -5.105459e+01 -4.699171e+01
13 21 -2.315092e+01 -2.121457e+01
0 54 2.886709e-02 -5.819915e+01
0 54 2.886709e-02 -5.824915e+01
0 54 -1.385620e+00 -6.002799e+01
0 54 -1.299019e+00 -6.002799e+01
0 54 2.886709e-02 -5.814915e+01
0 54 2.886709e-02 -5.809915e+01
0 54 2.886709e-02 -5.934913e+01
0 54 2.886709e-02 -5.929913e+01
0 56 -4.477286e+01 -6.002799e+01
0 56 -4.485946e+01 -6.002799e+01
0 55 -2.450816e+01 -6.002799e+01
0 55 -2.459476e+01 -6.002799e+01
0 56 -4.815031e+01 -6.002799e+01
0 56 -4.806370e+01 -6.002799e+01
0 24 -3.368789e+01 2.886709e-02
0 24 -3.360129e+01 2.886709e-02
0 7 2.886709e-02 -4.999927e-02
0 7 2.886709e-02 -9.999853e-02
3 10 -1.765207e+01 -5.320836e+00
3 10 -1.783149e+01 -5.168589e+00
3 10 -1.796988e+01 -4.883872e+00
3 10 -1.808462e+01 -4.521887e+00
