#grain_i_ID grain_j_ID phi1 Phi phi2 angle
1 100 3.315579e+02 1.365619e+02 2.291463e+02 4.509388e+01
2 20 2.428904e+02 5.195659e+01 1.613366e+02 5.310811e+01
3 5 1.649563e+01 1.488808e+02 2.673048e+02 3.643593e+01
3 20 7.743891e+01 1.661220e+02 3.403148e+02 1.559176e+01
4 12 2.708320e+02 1.562272e+02 1.285178e+02 4.432592e+01
4 24 1.947777e+02 1.059594e+02 6.874216e+01 3.171234e+01
4 50 2.439456e+02 1.316260e+02 1.175067e+02 5.989572e+01
5 6 9.787944e+01 1.630699e+02 2.967893e+02 2.532981e+01
5 20 1.202395e+02 2.696185e+01 2.551658e+02 3.098167e+01
6 20 2.285792e+02 1.369347e+02 8.450264e+01 5.552825e+01
7 10 3.140613e+02 1.091830e+02 2.250119e+02 5.946823e+01
7 85 2.453490e+02 4.566221e+01 3.129006e+02 4.899223e+01
7 92 1.731178e+02 3.543246e+01 2.121351e+02 4.327413e+01
7 161 5.435260e+01 1.260868e+02 7.681766e+01 4.896580e+01
8 15 5.782223e+01 4.832229e+01 7.731301e+01 5.633070e+01
8 78 5.106994e+01 9.487520e+01 9.583474e+01 3.988018e+01
9 10 3.143845e+02 1.090845e+02 2.248790e+02 5.957510e+01
9 16 2.434201e+02 4.731133e+01 3.329781e+02 5.904703e+01
9 84 3.411376e+02 7.501820e+01 2.327860e+02 4.611165e+01
10 84 2.755586e+02 4.305767e+01 9.132824e+01 4.357910e+01
10 92 3.454278e+02 1.338617e+02 2.677606e+02 4.588550e+01
11 13 3.470399e+02 7.995231e+01 1.916588e+01 2.428505e+01
11 20 1.348223e+02 7.082553e+01 4.500037e+01 5.989763e+01
11 23 1.085667e+02 2.917834e+01 2.376529e+02 3.220479e+01
11 39 1.182672e+02 1.023614e+02 2.037405e+02 3.679723e+01
12 24 1.352915e+02 6.981620e+01 2.241078e+02 5.932839e+01
12 57 2.315962e+02 4.443880e+01 3.312468e+02 4.970027e+01
12 80 1.938434e+02 8.377045e+01 3.407888e+01 3.789588e+01
13 23 1.361505e+02 9.566371e+01 1.801478e+02 4.420331e+01
