#grain_i_ID grain_j_ID misOrientationAngle(deg) boundaryLength(micron)
1 2 3.503901e+01 9.237530e-01
1 3 5.166675e+01 6.187972e-02
1 152 4.503823e+01 1.447509e+00
2 3 5.119045e+01 9.237530e-01
2 152 5.336946e+01 1.385630e+00
3 152 2.074073e+01 1.447509e+00
4 5 5.993977e+01 9.856328e-01
4 6 5.959577e+01 9.856328e-01
4 445 3.670550e+01 7.390024e+00
5 445 3.650661e+01 6.066274e+00
6 445 3.588749e+01 8.375657e+00
7 10 5.992654e+01 4.618765e-01
7 387 3.016317e+01 1.847506e+00
7 445 2.232926e+01 4.618765e-01
8 387 2.992405e+01 2.771259e+00
9 387 3.005094e+01 2.771259e+00
10 387 2.991559e+01 9.237530e-01
10 445 4.771291e+01 1.385630e+00
11 387 3.017075e+01 2.771259e+00
12 648 3.167364e+01 9.530348e+00
13 84 3.106900e+01 2.771259e+00
13 152 5.931177e+01 1.847506e+00
14 387 3.022941e+01 2.771259e+00
15 18 5.697581e+01 4.618765e-01
15 84 3.883802e+01 9.856328e-01
15 96 3.686594e+01 2.309383e+00
15 200 4.551081e+01 2.632696e+01
15 648 1.568209e+01 3.756892e+00
16 387 2.993968e+01 2.771259e+00
17 387 3.004411e+01 2.771259e+00
18 96 4.164543e+01 9.237530e-01
18 200 5.076071e+01 1.385630e+00
19 84 3.604820e+01 1.385630e+00
19 200 4.477996e+01 1.385630e+00
20 127 4.049854e+01 1.385630e+00
20 152 3.006182e+01 1.385630e+00
21 387 3.016988e+01 2.771259e+00
22 387 2.982629e+01 2.771259e+00
23 387 3.048423e+01 1.847506e+00
23 445 2.247587e+01 9.237530e-01
24 387 3.009530e+01 2.771259e+00
25 84 3.618374e+01 1.385630e+00
25 200 4.515859e+01 1.385630e+00
26 387 3.008916e+01 2.771259e+00
27 387 2.997794e+01 2.771259e+00
28 62 2.197876e+01 1.160879e+01
28 174 4.763945e+01 1.622756e+01
29 200 4.493425e+01 2.771259e+00
30 387 3.007220e+01 2.771259e+00
31 84 4.960704e+01 1.385630e+00
31 152 2.949668e+01 1.385630e+00
32 387 3.004492e+01 2.309383e+00
32 445 4.784162e+01 4.618765e-01
33 387 3.001871e+01 2.771259e+00
34 84 3.578243e+01 1.385630e+00
34 200 4.504201e+01 1.385630e+00
35 36 5.999011e+01 4.618765e-01
35 387 3.008660e+01 2.309383e+00
36 387 2.992629e+01 2.309383e+00
37 200 4.487964e+01 2.771259e+00
38 62 3.689506e+01 1.385630e+00
38 387 3.023149e+01 1.385630e+00
39 387 3.012156e+01 2.771259e+00
40 387 3.001399e+01 4.618765e+00
41 84 3.154046e+01 1.385630e+00
41 152 5.956236e+01 1.385630e+00
42 96 4.526671e+01 9.237530e-01
42 648 3.200663e+01 1.847506e+00
43 387 2.990378e+01 2.771259e+00
44 387 3.008032e+01 2.771259e+00
45 387 3.008631e+01 2.771259e+00
46 387 2.992146e+01 2.771259e+00
47 62 4.603566e+01 1.385630e+00
