# ezz df
0.000000000000000000e+00 0.000000000000000000e+00
1.000002908131181201e-02 0.000000000000000000e+00
2.000005816262340197e-02 0.000000000000000000e+00
3.000008724393521398e-02 0.000000000000000000e+00
4.000011632524680394e-02 0.000000000000000000e+00
5.000014540655861595e-02 0.000000000000000000e+00
6.000017448787020591e-02 0.000000000000000000e+00
7.000020356918201792e-02 0.000000000000000000e+00
8.000023265049360788e-02 0.000000000000000000e+00
9.000026173180541988e-02 0.000000000000000000e+00
1.000002908131170098e-01 0.000000000000000000e+00
1.100003198944288219e-01 0.000000000000000000e+00
1.200003489757404118e-01 0.000000000000000000e+00
1.300003780570522238e-01 0.000000000000000000e+00
1.400004071383638138e-01 0.000000000000000000e+00
1.500004362196756258e-01 0.000000000000000000e+00
1.600004653009872158e-01 0.000000000000000000e+00
1.700004943822990278e-01 2.439564687566529777e+00
1.800005234636106177e-01 2.569467735142056952e+00
1.900005525449224297e-01 2.392392923711670338e+00
2.000005816262340197e-01 2.376630961433497280e+00
2.100006107075458317e-01 2.362875940338258207e+00
2.200006397888574217e-01 2.261519659306008290e+00
2.300006688701692337e-01 2.275562087655791377e+00
2.400006979514808236e-01 2.233535799296832547e+00
2.500007270327926356e-01 2.309136554867666113e+00
2.600007561141042256e-01 2.342130903752198900e+00
2.700007851954160376e-01 2.170066295735936901e+00
2.800008142767276276e-01 2.177023342554992524e+00
2.900008433580394396e-01 2.502358161295718197e+00
3.000008724393510295e-01 2.335473957093967989e+00
3.100009015206628415e-01 2.442078798170086884e+00
3.200009306019744315e-01 2.465538078498763497e+00
3.300009596832862435e-01 2.417654311677888579e+00
3.400009887645980555e-01 2.436077203206522324e+00
3.500010178459096455e-01 2.435685167296759435e+00
3.600010469272214575e-01 2.462525185921522475e+00
3.700010760085328254e-01 2.419306842298595939e+00
3.800011050898446374e-01 2.319452174699211167e+00
3.900011341711562274e-01 2.297998469613840467e+00
4.000011632524680394e-01 2.200874493366676621e+00
4.100011923337796294e-01 2.304366865125090147e+00
4.200012214150914414e-01 2.312275058219074086e+00
4.300012504964030313e-01 2.394620160325867442e+00
4.400012795777148433e-01 2.246974127177597591e+00
4.500013086590264333e-01 2.319973812919895906e+00
4.600013377403382453e-01 2.272042969186125916e+00
4.700013668216500573e-01 2.276236584777271865e+00
4.800013959029616473e-01 2.190560277103922093e+00
4.900014249842734593e-01 2.223145824948900895e+00
5.000014540655850492e-01 2.294545917514695166e+00
5.100014831468968612e-01 2.322831674800315049e+00
5.200015122282084512e-01 2.294485246496504871e+00
5.300015413095202632e-01 2.332789350973837994e+00
5.400015703908318532e-01 2.229984089639088118e+00
5.500015994721436652e-01 2.251854843378156446e+00
5.600016285534552551e-01 2.272960506126090241e+00
5.700016576347670672e-01 2.291609633299692472e+00
5.800016867160786571e-01 2.268601248246330915e+00
5.900017157973904691e-01 2.344383088349987876e+00
6.000017448787020591e-01 2.125388947358692437e+00
6.100017739600138711e-01 2.353435539405943633e+00
6.200018030413254611e-01 2.287566514871650636e+00
6.300018321226372731e-01 2.310275195752742761e+00
6.400018612039488630e-01 2.201274424289830112e+00
6.500018902852606750e-01 2.289993293157612797e+00
6.600019193665722650e-01 2.392753848354772561e+00
6.700019484478840770e-01 2.645268745418256184e+00
6.800019775291956670e-01 2.491935195540521786e+00
6.900020066105074790e-01 2.478607646749606097e+00
7.000020356918190689e-01 2.383843669030153656e+00
7.100020647731308809e-01 2.442947661929089520e+00
7.200020938544424709e-01 2.330227663612090883e+00
7.300021229357542829e-01 2.456132322278167468e+00
7.400021520170658729e-01 2.452716845851113714e+00
7.500021810983776849e-01 2.451538845346308726e+00
7.600022101796892748e-01 2.453735082582499949e+00
7.700022392610010868e-01 2.494293504233466408e+00
7.800022683423126768e-01 2.473338121998031269e+00
7.900022974236244888e-01 2.313780383080016545e+00
8.000023265049363008e-01 2.290172796844885283e+00
8.100023555862478908e-01 2.340092099323576313e+00
8.200023846675597028e-01 2.286972688147587363e+00
8.300024137488712928e-01 2.360579418506801641e+00
8.400024428301831048e-01 2.400510663145431156e+00
8.500024719114946947e-01 2.416927735034504199e+00
8.600025009928065067e-01 2.302184828391876881e+00
8.700025300741180967e-01 2.378709475706021870e+00
8.800025591554299087e-01 2.467135896416944529e+00
8.900025882367414987e-01 2.418928712944235837e+00
9.000026173180533107e-01 2.364711399120912105e+00
9.100026463993649006e-01 2.382728279761447521e+00
9.200026754806767126e-01 2.347368392926181713e+00
9.300027045619883026e-01 2.396063065321785590e+00
9.400027336433001146e-01 2.387689893196373259e+00
9.500027627246117046e-01 2.374510199586843395e+00
9.600027918059235166e-01 2.445255509259282256e+00
9.700028208872351065e-01 2.336384561654682113e+00
9.800028499685469185e-01 2.233662445047501333e+00
9.900028790498585085e-01 2.240123417303216513e+00
1.000002908131170098e+00 2.233539612963075349e+00
