# w mse
3.000000000000000000e+00 7.101304536540874353e-03
5.000000000000000000e+00 3.956290934914009384e-03
9.000000000000000000e+00 4.910703990263005914e-03
1.700000000000000000e+01 9.046517252248647764e-03
3.300000000000000000e+01 2.180444270644485427e-02
6.500000000000000000e+01 5.663263726349420518e-02
1.290000000000000000e+02 1.440734600561910383e-01
2.570000000000000000e+02 3.606549747600903411e-01
5.130000000000000000e+02 8.909692397670355701e-01
1.025000000000000000e+03 1.914130291252550187e+00
2.049000000000000000e+03 3.947397820682646774e+00
4.097000000000000000e+03 5.171865385174106322e+00
8.193000000000000000e+03 4.813382597315609246e+00
1.638500000000000000e+04 6.137842091024418245e+00
