# size duration
3.450000000000000000e+01 1.751184633723962936e+00
3.100000000000000000e+01 2.516764803539496054e+00
2.400000000000000000e+01 3.867721629822709062e-01
7.000000000000000000e+01 9.988410357761554614e-01
1.850000000000000000e+01 1.647675466250642096e-01
1.050000000000000000e+02 3.955310050905197272e+00
8.500000000000000000e+00 4.107712305302135825e-02
9.000000000000000000e+00 4.695633575399238424e-02
9.200000000000000000e+01 3.668106032340161970e+00
3.150000000000000000e+01 5.594647307006812564e-01
5.000000000000000000e+01 3.126728174426910201e+00
4.150000000000000000e+01 9.429671186540778294e+00
5.000000000000000000e+00 2.183988388389890289e-02
2.400000000000000000e+01 2.519848051815554157e-01
1.200000000000000000e+01 6.591291610208793728e-02
1.300000000000000000e+01 7.818630545896443351e-02
3.400000000000000000e+01 4.818198243545728232e-01
2.150000000000000000e+01 1.865805658247730037e-01
1.400000000000000000e+01 8.042348109492314379e-02
9.500000000000000000e+00 4.689617511099264391e-02
7.550000000000000000e+01 2.138651897651631550e+00
1.900000000000000000e+01 1.797858877288993629e-01
1.550000000000000000e+01 7.439432229246767392e-02
1.350000000000000000e+01 6.569405500401592768e-02
4.050000000000000000e+01 4.224286296616528436e-01
2.900000000000000000e+01 5.632404848564351862e-01
4.250000000000000000e+01 8.526400278189266713e-01
6.350000000000000000e+01 1.327819914731136697e+00
1.050000000000000000e+01 5.815111674695305766e-02
3.400000000000000000e+01 2.107552546632804891e-01
8.400000000000000000e+01 1.994103584566912613e+00
9.000000000000000000e+00 4.511760464318737007e-02
6.950000000000000000e+01 1.011734175946322534e+00
2.800000000000000000e+01 2.668316198337548073e-01
1.700000000000000000e+01 9.543322227114447998e-02
7.150000000000000000e+01 2.391862285660284915e+00
1.400000000000000000e+01 7.437545080678020781e-02
3.850000000000000000e+01 4.327994651051767505e-01
3.000000000000000000e+00 1.227318137834476630e-02
2.850000000000000000e+01 2.539284323791022313e-01
2.700000000000000000e+01 2.494967284171425437e-01
1.750000000000000000e+01 1.404607372146255972e-01
9.500000000000000000e+00 4.396602654258852105e-02
9.500000000000000000e+00 4.983172984362038704e-02
1.500000000000000000e+01 9.307127510398593984e-02
1.100000000000000000e+01 5.429825975677582406e-02
7.000000000000000000e+00 3.009201139718520324e-02
1.450000000000000000e+01 8.831439875495306069e-02
9.850000000000000000e+01 1.439559719223474143e+00
2.500000000000000000e+01 2.155019002706959341e-01
1.250000000000000000e+01 6.326586297996250607e-02
2.550000000000000000e+01 2.912682780739488386e-01
6.150000000000000000e+01 9.192636147307089445e-01
1.400000000000000000e+01 6.931838846552240696e-02
9.000000000000000000e+00 4.064827731362430363e-02
9.500000000000000000e+00 4.377368499416789405e-02
8.000000000000000000e+00 3.773681386163163509e-02
3.000000000000000000e+00 1.232792291161244336e-02
9.500000000000000000e+00 4.470067359102847249e-02
5.550000000000000000e+01 6.423533617983283595e-01
2.650000000000000000e+01 1.746362558848377766e-01
2.650000000000000000e+01 1.533386089700756738e-01
9.500000000000000000e+00 4.601512290905818148e-02
4.550000000000000000e+01 3.422376504767319361e-01
6.000000000000000000e+00 2.641572085983079354e-02
1.450000000000000000e+01 8.667368407568898370e-02
1.100000000000000000e+01 5.140712568235117352e-02
4.750000000000000000e+01 5.564581058182647144e-01
1.750000000000000000e+01 1.166754821525879393e-01
4.500000000000000000e+00 1.889392733518757694e-02
2.450000000000000000e+01 3.369737492161686276e-01
5.000000000000000000e-01 2.000455874400230982e-03
5.750000000000000000e+01 6.620134991807751224e-01
1.900000000000000000e+01 9.768078523001699764e-02
8.500000000000000000e+00 3.914672885850611905e-02
1.350000000000000000e+01 8.508213857656010681e-02
9.000000000000000000e+00 4.168712353147063787e-02
9.000000000000000000e+00 4.388050592446446352e-02
2.150000000000000000e+01 1.245749953863606319e-01
3.950000000000000000e+01 3.191699324740986388e-01
5.650000000000000000e+01 4.647188211367612176e-01
9.500000000000000000e+00 4.675634844630449649e-02
2.200000000000000000e+01 1.952917241436109563e-01
7.000000000000000000e+00 2.926326562169334622e-02
