# size duration
6.150000000000000000e+01 4.817854851568935004e+00
4.450000000000000000e+01 1.984906505293904999e+00
4.650000000000000000e+01 1.956407583324764499e+00
2.600000000000000000e+01 2.201648408469656371e-01
4.600000000000000000e+01 2.447947031913367155e+00
3.300000000000000000e+01 3.873303782598758183e-01
1.450000000000000000e+01 5.904960183004615004e-02
9.250000000000000000e+01 1.582397195099041420e+00
2.950000000000000000e+01 2.161432138038039685e-01
2.450000000000000000e+01 1.134520658398764370e-01
1.450000000000000000e+01 6.679257082795098110e-02
2.300000000000000000e+01 1.733665508765985797e-01
1.300000000000000000e+01 5.994121691632892102e-02
7.700000000000000000e+01 1.383175200701427077e+00
3.450000000000000000e+01 6.129535588780792299e-01
3.600000000000000000e+01 2.049020462459552050e-01
6.600000000000000000e+01 2.147512632672779809e+00
1.500000000000000000e+01 7.381715682113298982e-02
1.500000000000000000e+01 6.685722016922546196e-02
1.650000000000000000e+01 8.180855924882601826e-02
5.400000000000000000e+01 1.219394254964308422e+00
6.150000000000000000e+01 7.617951288209074967e-01
5.750000000000000000e+01 1.118549839797950529e+00
6.550000000000000000e+01 5.367117647722929874e-01
3.750000000000000000e+01 4.221632688269516542e-01
1.650000000000000000e+01 7.954308167128698592e-02
1.130000000000000000e+02 1.353912926036594744e+00
2.900000000000000000e+01 1.752037098554044547e-01
3.450000000000000000e+01 5.657451456690658631e-01
9.500000000000000000e+00 4.108905416121011456e-02
1.500000000000000000e+01 6.257073326164608318e-02
3.650000000000000000e+01 2.128769984370932900e-01
1.300000000000000000e+01 5.753920466733042360e-02
9.000000000000000000e+01 1.241333955064385819e+00
2.100000000000000000e+01 1.575674501237562808e-01
6.250000000000000000e+01 6.671132381245317156e-01
4.950000000000000000e+01 9.189802063117948894e-01
7.050000000000000000e+01 2.455150345890967589e+00
4.650000000000000000e+01 3.823108165559023774e-01
9.000000000000000000e+01 2.687220464451154811e+00
1.250000000000000000e+01 5.042062367382449395e-02
7.150000000000000000e+01 1.417677710073494080e+00
1.150000000000000000e+01 4.822223833972261176e-02
1.330000000000000000e+02 9.669367045213697054e-01
6.000000000000000000e+00 2.327507289597718909e-02
9.000000000000000000e+00 3.578515025569117824e-02
2.250000000000000000e+01 1.273866616168231047e-01
1.500000000000000000e+01 6.734702338118347953e-02
3.350000000000000000e+01 1.997826938840570055e-01
1.350000000000000000e+01 6.202779476782671608e-02
3.400000000000000000e+01 3.064758768071151884e-01
1.420000000000000000e+02 8.358715800843017352e-01
