# w mse
3.000000000000000000e+00 5.938998236883344557e-03
5.000000000000000000e+00 3.172285619809509655e-03
9.000000000000000000e+00 3.965064878275585854e-03
1.700000000000000000e+01 6.924021983657668161e-03
3.300000000000000000e+01 1.526902138828823037e-02
6.500000000000000000e+01 3.653484870144090013e-02
1.290000000000000000e+02 8.776029021863489266e-02
2.570000000000000000e+02 2.018390290076317040e-01
5.130000000000000000e+02 4.322536657650967173e-01
1.025000000000000000e+03 8.162074597176547375e-01
2.049000000000000000e+03 1.338957634916541517e+00
4.097000000000000000e+03 1.651120045191471153e+00
8.193000000000000000e+03 2.086827850518252259e+00
1.638500000000000000e+04 2.996174928042889984e+00
3.276900000000000000e+04 4.153757739122033499e+00
