# drho_hcp drho_bcc avalancheSize
2.042516893621098006e-01 -1.149172966048297440e-01 1.290260329429521846e+00
-3.219136541616762770e-03 8.305602527684641245e-03 1.753461272828580331e-01
8.055964559645190093e-03 1.999875960180474976e-02 1.374609528872781761e+00
4.560521409615603261e-02 -1.577198540104518543e-02 1.687009484000165482e+00
3.534259033540365635e-02 -2.403895197119254590e-02 1.083712363701743397e+00
1.684846683923240107e-01 -7.399381991928066782e-02 2.612026637883944069e+00
1.306451096001524093e-01 -3.896501911171412758e-02 8.481031901019921548e+00
2.278331540848910208e-02 -6.091032014381880799e-03 2.995894007418150373e+00
5.963419152965343528e-02 -1.796880863312821930e-02 1.884977147126592145e+00
4.772335340121713898e-02 -2.044245189273397045e-02 4.716715717312528255e+00
7.063671629087764359e-02 -1.264378127677900920e-02 2.261607719918961923e+00
1.365463021441257752e-01 -4.659357642758266138e-02 4.249539197345951536e+00
1.337595257186876552e-01 -2.084337979312067546e-02 3.717825286648517302e+00
-3.866381546578168127e-02 1.517574899418150380e-02 3.424364984692326863e-01
-3.915385569541740551e-03 -1.803330653250156956e-02 2.450065389841016850e-01
-8.687194761296268553e-02 1.822468451075565099e-02 4.416921537343755588e+00
