# clusterSize EnergyDrop
0.000000000000000000e+00 -3.527708193211539765e+04
0.000000000000000000e+00 -3.526824230737610196e+04
0.000000000000000000e+00 -3.526083519521180278e+04
0.000000000000000000e+00 -3.524863552935679763e+04
0.000000000000000000e+00 -3.522421570123710262e+04
0.000000000000000000e+00 -3.519342103556940128e+04
0.000000000000000000e+00 -3.516374028392090258e+04
0.000000000000000000e+00 -3.512811571478260157e+04
0.000000000000000000e+00 -3.508191507968329825e+04
1.248000000000000000e+03 -3.508654201642589760e+04
1.993000000000000000e+03 -3.508719045718749840e+04
1.732000000000000000e+03 -3.504405451187759900e+04
2.170000000000000000e+03 -3.508344655084150145e+04
2.275000000000000000e+03 -3.506642053486910299e+04
2.191000000000000000e+03 -3.507374356990380329e+04
2.972000000000000000e+03 -3.511484447505159915e+04
5.231000000000000000e+03 -3.519070065431109833e+04
5.899000000000000000e+03 -3.521871314943039761e+04
5.836000000000000000e+03 -3.521820979529449687e+04
5.773000000000000000e+03 -3.520594528018099663e+04
5.532000000000000000e+03 -3.519532512131580006e+04
5.541000000000000000e+03 -3.519781251726819755e+04
5.469000000000000000e+03 -3.517641911897360114e+04
5.380000000000000000e+03 -3.514696856339179794e+04
5.521000000000000000e+03 -3.514390888588000234e+04
5.709000000000000000e+03 -3.515577455169420136e+04
5.654000000000000000e+03 -3.513389682352879754e+04
5.557000000000000000e+03 -3.510111346394049906e+04
5.470000000000000000e+03 -3.506646619248670322e+04
5.100000000000000000e+03 -3.506764424178509944e+04
5.375000000000000000e+03 -3.508016693436820060e+04
5.235000000000000000e+03 -3.505027074244229880e+04
4.921000000000000000e+03 -3.503820422613350092e+04
4.777000000000000000e+03 -3.500037571540730278e+04
4.500000000000000000e+03 -3.496680441414609959e+04
4.171000000000000000e+03 -3.493544900394730212e+04
3.743000000000000000e+03 -3.492264777824610064e+04
3.486000000000000000e+03 -3.491449048785479681e+04
3.196000000000000000e+03 -3.491202606166520127e+04
2.951000000000000000e+03 -3.490367884946840059e+04
2.766000000000000000e+03 -3.490161476272220170e+04
2.664000000000000000e+03 -3.489690660071869934e+04
2.658000000000000000e+03 -3.488983705153210030e+04
2.577000000000000000e+03 -3.488088706783990347e+04
2.316000000000000000e+03 -3.487306792504720215e+04
2.258000000000000000e+03 -3.485501406164890068e+04
2.014000000000000000e+03 -3.484827265654520306e+04
1.934000000000000000e+03 -3.484404101060779794e+04
1.845000000000000000e+03 -3.483568887744750100e+04
1.707000000000000000e+03 -3.483420269677369652e+04
1.552000000000000000e+03 -3.484242023847340170e+04
1.494000000000000000e+03 -3.484030940716210171e+04
1.416000000000000000e+03 -3.483322908337239642e+04
1.389000000000000000e+03 -3.483345740826969995e+04
1.326000000000000000e+03 -3.482811040953300108e+04
1.248000000000000000e+03 -3.482131925155439967e+04
1.257000000000000000e+03 -3.481333046690870106e+04
1.121000000000000000e+03 -3.481870252688570326e+04
1.096000000000000000e+03 -3.480788628548439738e+04
1.015000000000000000e+03 -3.480044113728129742e+04
9.570000000000000000e+02 -3.479844309718209843e+04
9.470000000000000000e+02 -3.479456575812509982e+04
1.006000000000000000e+03 -3.479892611477620085e+04
1.006000000000000000e+03 -3.479477918376440357e+04
1.013000000000000000e+03 -3.479437514808709966e+04
1.022000000000000000e+03 -3.479926915679559897e+04
9.300000000000000000e+02 -3.479295712168199680e+04
1.001000000000000000e+03 -3.479650467439700151e+04
9.580000000000000000e+02 -3.479248979734409659e+04
8.830000000000000000e+02 -3.479142389829389867e+04
8.590000000000000000e+02 -3.478966098843450163e+04
8.160000000000000000e+02 -3.477694234952049737e+04
8.070000000000000000e+02 -3.477661464814969804e+04
7.330000000000000000e+02 -3.477195170885550033e+04
6.710000000000000000e+02 -3.477049959228820080e+04
6.400000000000000000e+02 -3.476746124568019877e+04
7.030000000000000000e+02 -3.477197721662020194e+04
6.610000000000000000e+02 -3.476851684468299936e+04
6.250000000000000000e+02 -3.476551315293810330e+04
6.230000000000000000e+02 -3.476403567421969638e+04
6.260000000000000000e+02 -3.476603678362569917e+04
6.970000000000000000e+02 -3.477828023873509665e+04
7.060000000000000000e+02 -3.477708442020249640e+04
7.080000000000000000e+02 -3.477129647770139854e+04
6.510000000000000000e+02 -3.477015287234639982e+04
6.370000000000000000e+02 -3.476526867114970082e+04
5.720000000000000000e+02 -3.476055939002859668e+04
5.940000000000000000e+02 -3.476114298731400049e+04
5.230000000000000000e+02 -3.475625174493619852e+04
5.990000000000000000e+02 -3.474819840958879649e+04
5.850000000000000000e+02 -3.475138533880100294e+04
4.980000000000000000e+02 -3.475185462478789850e+04
4.860000000000000000e+02 -3.475065798056800122e+04
5.130000000000000000e+02 -3.475234669513520203e+04
4.780000000000000000e+02 -3.475425092972200218e+04
4.530000000000000000e+02 -3.475435019218680100e+04
4.440000000000000000e+02 -3.475982156566929916e+04
3.790000000000000000e+02 -3.476264233625389897e+04
4.000000000000000000e+02 -3.476548743783360260e+04
4.010000000000000000e+02 -3.476284624660079862e+04
4.040000000000000000e+02 -3.476018341135310038e+04
