# size duration
2.000000000000057288e-04 3.616452763203376747e-02
3.999999999999837019e-04 1.082849381678080841e-01
2.000000000000057288e-04 4.449836040199849074e-02
9.999999999998898659e-05 1.751991303809561848e-02
2.999999999999947153e-04 9.815855846870316648e-02
1.999999999999779732e-04 5.174784023829955004e-02
4.000000000000114575e-04 1.647362955349631342e-01
5.000000000000004441e-04 2.636040495361954838e-01
5.000000000000004441e-04 2.728441267849103236e-01
3.999999999999837019e-04 1.197562882537972495e-01
9.999999999998898659e-05 2.118273573976879251e-02
4.000000000000114575e-04 1.849175339771411131e-01
2.999999999999947153e-04 9.985144756716235470e-02
9.999999999998898659e-05 1.656067186303334521e-02
9.999999999998898659e-05 1.851551547911600010e-02
1.000000000000167422e-04 1.914231911540130102e-02
3.000000000000224709e-04 9.964917182979134147e-02
4.000000000000114575e-04 1.363714691287749858e-01
2.000000000000057288e-04 3.977502470065870377e-02
5.999999999999894307e-04 1.246476482124156543e-01
2.999999999999947153e-04 8.742413164347719035e-02
4.000000000000114575e-04 1.472069408213037556e-01
2.999999999999947153e-04 8.907932762984126229e-02
2.999999999999947153e-04 1.556704334839884574e-01
2.000000000000057288e-04 5.252097144965782449e-02
2.999999999999947153e-04 6.541881333694979372e-02
2.999999999999947153e-04 6.820184435956411217e-02
3.000000000000224709e-04 6.540318226634986298e-02
4.000000000000114575e-04 1.513274896981672835e-01
2.999999999999947153e-04 9.318557949805386653e-02
3.999999999999837019e-04 1.456725876535494846e-01
2.000000000000057288e-04 4.507988028240084155e-02
1.000000000000167422e-04 1.796647113338831897e-02
2.999999999999947153e-04 7.530759727835602269e-02
1.000000000000167422e-04 1.777552601649101324e-02
2.000000000000057288e-04 3.653372572296287313e-02
9.000000000000119016e-04 2.210137944605782834e-01
9.999999999998898659e-05 1.847413505867112962e-02
2.999999999999947153e-04 9.264322694256528490e-02
1.000000000000167422e-04 1.724524382203287617e-02
2.999999999999947153e-04 8.217628419786769667e-02
9.999999999998898659e-05 1.628305802828492951e-02
5.000000000000004441e-04 1.344496654472867869e-01
2.999999999999669598e-04 6.356390585214258260e-02
2.000000000000334843e-04 4.655972582803890453e-02
3.000000000000224709e-04 6.351722773076812212e-02
3.000000000000224709e-04 5.941252662875975976e-02
5.000000000000004441e-04 1.753658063778362752e-01
3.000000000000224709e-04 5.521965678645995856e-02
5.999999999999894307e-04 1.850985411999892249e-01
3.999999999999559464e-04 1.272300592913334083e-01
3.000000000000224709e-04 6.438289711003533644e-02
2.000000000000334843e-04 3.694113678335504691e-02
1.400000000000012346e-03 4.871256412342290232e-01
1.999999999999779732e-04 3.890946321159907684e-02
1.199999999999978861e-03 3.932290388630176325e-01
1.700000000000034817e-03 4.919781889086157212e-01
1.300000000000023359e-03 8.502284593587993156e-01
2.099999999999990763e-03 1.220048813456638737e+00
4.000000000000114575e-04 1.262570089725388034e-01
1.999999999999779732e-04 3.523274951475535710e-02
1.999999999999779732e-04 3.512157759566757187e-02
2.999999999999669598e-04 7.347624823748255540e-02
9.999999999998898659e-05 1.810918715813223182e-02
3.999999999999559464e-04 1.044319870186087018e-01
4.000000000000114575e-04 1.031244144309165639e-01
9.999999999998898659e-05 1.648652350545817477e-02
1.200000000000034373e-03 4.188779017680898109e-01
1.999999999999779732e-04 4.299154363782253796e-02
2.999999999999669598e-04 6.621186397976050464e-02
2.999999999999669598e-04 5.869652677958774045e-02
1.999999999999779732e-04 3.600696956789073422e-02
2.000000000000334843e-04 4.249372409186060601e-02
2.000000000000334843e-04 4.333787842728085982e-02
1.999999999999779732e-04 4.718007346115545009e-02
1.999999999999779732e-04 3.162907166444180879e-02
1.999999999999779732e-04 3.221087032248151627e-02
1.999999999999779732e-04 3.844615873861161742e-02
2.999999999999669598e-04 7.457801402157399062e-02
3.000000000000224709e-04 8.519352203796010103e-02
6.000000000000449418e-04 3.405917374157887423e-01
4.000000000000114575e-04 1.228497024890390921e-01
2.000000000000334843e-04 4.137369734977343338e-02
2.000000000000334843e-04 3.855548868271598678e-02
2.000000000000334843e-04 4.530797997039313907e-02
2.999999999999669598e-04 7.868720167903854590e-02
2.000000000000334843e-04 3.863990402135558666e-02
1.999999999999779732e-04 3.393195644414508105e-02
2.000000000000334843e-04 3.617734917040971165e-02
2.000000000000334843e-04 6.297097159827090562e-02
1.999999999999779732e-04 4.952874030521270399e-02
4.000000000000114575e-04 1.184654065399804168e-01
2.000000000000334843e-04 3.763126842048747367e-02
2.999999999999669598e-04 9.373243979416898131e-02
2.999999999999669598e-04 1.200048843231680401e-01
1.999999999999779732e-04 3.929278355588870786e-02
3.000000000000224709e-04 8.927721197599007563e-02
1.999999999999779732e-04 3.708031053349651607e-02
1.999999999999779732e-04 4.866235286289857798e-02
3.000000000000224709e-04 8.168189805480721710e-02
2.000000000000334843e-04 5.170184972550005698e-02
1.999999999999779732e-04 7.547833687853386375e-02
3.000000000000224709e-04 9.106888832245520204e-02
2.000000000000334843e-04 6.522972235290146192e-02
1.999999999999779732e-04 3.655693736371246755e-02
5.000000000000004441e-04 2.484557491390822492e-01
5.000000000000004441e-04 2.591745509682975568e-01
4.000000000000114575e-04 1.846413978646719301e-01
5.000000000000004441e-04 2.015718313512405435e-01
5.999999999999894307e-04 2.762566006339971514e-01
1.099999999999989875e-03 4.226058798217842138e-01
3.999999999999559464e-04 1.280224607285891381e-01
1.199999999999978861e-03 4.447748831679880221e-01
9.999999999998898659e-05 1.963033909016087195e-02
5.000000000000004441e-04 3.313826067291969490e-01
5.999999999999894307e-04 3.365330194795056462e-01
5.999999999999894307e-04 2.365757626722342077e-01
4.000000000000114575e-04 1.458409047006459791e-01
4.000000000000114575e-04 1.026924970011293403e-01
2.000000000000334843e-04 3.624375468254438515e-02
2.999999999999669598e-04 1.047458194786531072e-01
1.999999999999779732e-04 5.424101542483534405e-02
1.999999999999779732e-04 3.563095827378390951e-02
1.000000000000444977e-04 1.890453784448877655e-02
1.999999999999779732e-04 4.808136827088545229e-02
4.000000000000114575e-04 9.129748199592582769e-02
6.000000000000449418e-04 2.256276101191637129e-01
5.000000000000004441e-04 2.330241053986585043e-01
4.000000000000114575e-04 1.460069991561805114e-01
9.999999999998898659e-05 1.638982099807327966e-02
3.000000000000224709e-04 1.000173346246843592e-01
2.999999999999669598e-04 1.272564069563703049e-01
4.000000000000114575e-04 1.396065817865983771e-01
1.999999999999779732e-04 5.256351236482954825e-02
3.000000000000224709e-04 7.687330843862667795e-02
2.999999999999669598e-04 1.073239312486477526e-01
2.000000000000334843e-04 3.560069999867419843e-02
6.000000000000449418e-04 2.579884824031107859e-01
6.999999999999784173e-04 3.179720546614118737e-01
5.000000000000004441e-04 1.659483641473732951e-01
3.999999999999559464e-04 1.260974188129855289e-01
1.999999999999779732e-04 3.642007639441671024e-02
2.000000000000334843e-04 4.008573912303393244e-02
3.000000000000224709e-04 9.807911648201926569e-02
2.000000000000334843e-04 4.447350235413679437e-02
3.999999999999559464e-04 1.346733889933370842e-01
2.999999999999669598e-04 7.636938048977967575e-02
1.999999999999779732e-04 3.503028549330952646e-02
3.000000000000224709e-04 9.435472449160163533e-02
9.999999999998898659e-05 1.934030116022628087e-02
3.000000000000224709e-04 1.391724902237314876e-01
1.999999999999779732e-04 6.062061296976522379e-02
2.999999999999669598e-04 7.613473456171376830e-02
3.000000000000224709e-04 5.597146897634261431e-02
2.999999999999669598e-04 6.102073446619525610e-02
2.000000000000334843e-04 4.569039720162521717e-02
1.999999999999779732e-04 6.574580619995107345e-02
1.999999999999779732e-04 4.968849418919961403e-02
3.000000000000224709e-04 8.977439083280186471e-02
9.999999999998898659e-05 2.221631153810859488e-02
4.000000000000114575e-04 1.904023766665164374e-01
3.999999999999559464e-04 1.597372515096920909e-01
3.000000000000224709e-04 8.350683168236970599e-02
3.000000000000224709e-04 6.972322199893574157e-02
3.000000000000224709e-04 5.979075950026982444e-02
1.999999999999779732e-04 4.296645506196618280e-02
1.999999999999779732e-04 4.084762016529334960e-02
2.000000000000334843e-04 3.502725531420277510e-02
1.999999999999779732e-04 4.136223034756275618e-02
2.000000000000334843e-04 5.200948554219773923e-02
3.999999999999559464e-04 1.295602259654219934e-01
3.000000000000224709e-04 1.460926357855487356e-01
4.000000000000114575e-04 1.519675587296129560e-01
2.999999999999669598e-04 8.503227654971023952e-02
9.999999999998898659e-05 1.854405607149652024e-02
1.999999999999779732e-04 4.113692663229832902e-02
2.000000000000334843e-04 3.664045508176971833e-02
9.999999999998898659e-05 2.034057581525624755e-02
3.000000000000224709e-04 8.751088424169700675e-02
3.999999999999559464e-04 1.031831770335414344e-01
4.000000000000114575e-04 1.140147769785100351e-01
2.999999999999669598e-04 6.810829412154140172e-02
1.999999999999779732e-04 3.702234837535244016e-02
1.999999999999779732e-04 3.571425647950352000e-02
3.000000000000224709e-04 6.860848874853045509e-02
3.000000000000224709e-04 7.121508715692022318e-02
1.999999999999779732e-04 3.727595685732293385e-02
2.000000000000334843e-04 3.357242522806538898e-02
3.999999999999559464e-04 9.275664148204593173e-02
2.999999999999669598e-04 7.336004363679522744e-02
7.000000000000339284e-04 1.408489574091399410e-01
5.000000000000559552e-04 1.396612302299926611e-01
5.000000000000559552e-04 1.751241818421868102e-01
3.999999999999559464e-04 1.115543107319431210e-01
2.999999999999669598e-04 1.023100694456876292e-01
1.999999999999779732e-04 4.151956215468433076e-02
2.999999999999669598e-04 9.913784708512757282e-02
4.000000000000669687e-04 1.955172828080447567e-01
3.999999999999559464e-04 1.336434458587862639e-01
3.999999999999559464e-04 1.183863062064804267e-01
2.999999999999669598e-04 6.129163986270085018e-02
3.000000000000779821e-04 7.810946603450033554e-02
3.999999999999559464e-04 1.515615932615630712e-01
2.999999999999669598e-04 1.158172372143122381e-01
3.999999999999559464e-04 1.405807451837170208e-01
1.099999999999989875e-03 3.471401004086444031e-01
4.999999999999449329e-04 1.320341311147214813e-01
1.199999999999978861e-03 3.272969562004844901e-01
2.999999999999669598e-04 6.200360589637411712e-02
2.999999999999669598e-04 7.912874136736974817e-02
3.999999999999559464e-04 1.062848035682748826e-01
9.999999999998898659e-05 2.212389835659152662e-02
2.000000000000889955e-04 4.897571706520890272e-02
1.999999999999779732e-04 4.732303016981520560e-02
1.999999999999779732e-04 3.248201816623774718e-02
