# w mse
3.000000000000000000e+00 5.512152902285174074e-04
5.000000000000000000e+00 1.424989805041604113e-03
9.000000000000000000e+00 2.808402663364668525e-03
1.700000000000000000e+01 4.644095477983074122e-03
3.300000000000000000e+01 1.015888146022868137e-02
6.500000000000000000e+01 2.713526437467550165e-02
1.290000000000000000e+02 7.590228548531804953e-02
2.570000000000000000e+02 2.288396042693404409e-01
5.130000000000000000e+02 6.806689902169748008e-01
1.025000000000000000e+03 1.790567485350029076e+00
2.049000000000000000e+03 3.721006795861103722e+00
4.097000000000000000e+03 5.673087321114537396e+00
8.193000000000000000e+03 9.022191308400881127e+00
