# theta phi
-5.474891321928641474e+01 1.227571921306066400e+02
1.240798274425242766e+02 1.218010554010577806e+02
-1.499540457132855522e+02 1.227938437255948259e+02
1.252510867807135924e+02 5.724280786939336707e+01
-5.592017255747570914e+01 5.819894459894222649e+01
3.004595428671443003e+01 5.720615627440519546e+01
5.538330069598698913e+01 5.762778151078347122e+01
4.818701587943027675e+01 5.629048768912616652e+01
-1.494506108252649597e+02 1.199554437097705772e+02
1.439072733685009666e+02 6.008449689060904575e+01
-1.197331246841733048e+02 1.219584357932309615e+02
-5.523391618489704058e+01 1.227044082277639632e+02
-1.254226753150679059e+02 5.564353671659144851e+01
-1.230942554034116938e+02 5.629450410574370522e+01
-3.269133402492538920e+01 5.902669280882228264e+01
-6.327426128218363743e+01 1.222875639505585781e+02
3.556863500585895821e+01 1.199576671091583222e+02
1.563862538346188842e+02 1.219188132915514586e+02
-1.279085552518020847e+02 1.202337706496215048e+02
-1.429279154875286793e+02 1.212714927751940621e+02
1.269046413280804728e+02 5.658697633008043937e+01
2.862780360963649073e+01 5.754113560965228658e+01
-5.810431486737861206e+01 6.073601355168134575e+01
1.192396008104420844e+02 5.465418471635955200e+01
-1.491140837154153473e+02 1.232874347955623193e+02
-1.452838985756415298e+02 1.231584814740406983e+02
-1.272617434662986682e+02 1.236138985679818205e+02
-1.246166993040130251e+02 1.223722184892165359e+02
-1.318129841205697232e+02 1.237095123108738477e+02
3.054938917473503324e+01 6.004455629022941565e+01
-3.609272663149906180e+01 1.199155031093909543e+02
6.026687531582670232e+01 5.804156420676903849e+01
1.247660838151029736e+02 5.729559177223603683e+01
5.457732468493209410e+01 1.243564632834085870e+02
5.690574459658830619e+01 1.237054958942563019e+02
1.473086659750746037e+02 1.209733071911777245e+02
1.167257387178163697e+02 5.771243604944142902e+01
-1.444313649941410631e+02 6.004233289084167779e+01
-2.361374616538111582e+01 5.808118670844854137e+01
5.209144474819791526e+01 5.976622935037851647e+01
3.707208451247132786e+01 5.872850722480595209e+01
-5.309535867191952718e+01 1.234130236699195819e+02
-1.513721963903635128e+02 1.224588643903477276e+02
1.218956851326214093e+02 1.192639864483186756e+02
-6.076039918955791563e+01 1.253458152836404480e+02
3.088591628458466687e+01 5.671256520443768068e+01
3.471610142435848445e+01 5.684151852595929455e+01
5.273825653370133892e+01 5.638610143201819369e+01
-1.267695894429754020e+02 1.265183539724893933e+02
-1.331465608668116261e+02 1.242206549949785881e+02
-5.618923721858061526e+01 5.883851636105561766e+01
-1.404229877778605271e+02 6.046475182097287160e+01
5.288218900185534466e+01 6.000650691622278288e+01
3.461208032679746793e+01 5.718994751216672512e+01
3.517601137168715297e+01 5.483233399168787514e+01
3.020005483365888566e+01 5.954261667936497560e+01
1.252572751522364172e+02 1.186623433848257179e+02
5.431909258801855600e+01 1.234168157521723543e+02
5.365250787460846027e+01 5.715273423280749654e+01
1.275401359995086779e+02 1.252960101700577127e+02
-6.364797918897544093e+01 1.547801205333282804e+00
-1.271628300018787314e+02 5.341226344419145988e+01
1.274582210754171570e+02 5.820944590857508416e+01
3.415565582817201573e+01 1.219864191429294351e+02
4.868151894694183568e+01 5.782889310154045859e+01
-1.275646078183833509e+02 6.135013157084989643e+01
-1.221773843471200962e+02 1.240278511206014969e+02
4.923344309862053336e+01 5.796315958074653452e+01
-3.024468854206104140e+01 5.667980039974180073e+01
1.445722158256869818e+02 1.220385816997459756e+02
3.105331403230739795e+01 5.813303152553729802e+01
-1.169552546188894553e+02 6.289703327092259855e+01
-5.969697977744497308e+01 1.205238992604257220e+02
-1.441099342849693983e+02 1.226667994564046609e+02
-3.029849933557252228e+01 5.658139899601375333e+01
-1.256616083193950573e+02 1.292424988523766274e+02
-6.100604556635228448e+01 1.235374618434235003e+02
3.338747177075970995e+01 1.185636682911947730e+02
-3.482256865265880208e+01 5.800616587324049789e+01
-6.994792403650933466e+01 5.677397975199037461e+01
5.399892457689770708e+01 6.037642989649570779e+01
1.493331088409509846e+02 1.186793173967878658e+02
-1.447672919724443545e+02 1.235069437599616577e+02
