# rg size
7.153137885107621052e-01 2.000000000000000000e+00
7.882924572031276833e-01 2.000000000000000000e+00
7.672764926185359213e-01 2.000000000000000000e+00
8.564441692470146084e-01 3.000000000000000000e+00
9.247206675131895981e-01 3.000000000000000000e+00
9.361687273294304390e+00 5.000000000000000000e+00
7.565326748837816195e-01 2.000000000000000000e+00
7.237527127180171105e-01 2.000000000000000000e+00
7.110922239063264261e-01 2.000000000000000000e+00
7.127997592826341711e-01 2.000000000000000000e+00
1.427728978217303046e+00 6.000000000000000000e+00
8.379812265289525719e-01 3.000000000000000000e+00
1.020892679476539300e+01 1.200000000000000000e+01
8.533170509840179996e-01 2.000000000000000000e+00
7.131136572455764044e-01 2.000000000000000000e+00
7.392108444935800993e-01 2.000000000000000000e+00
8.349351801187931965e-01 2.000000000000000000e+00
1.228470434620028584e+00 5.000000000000000000e+00
1.235149426162478647e+01 2.000000000000000000e+00
1.045053390211222322e+01 4.000000000000000000e+00
8.072092405689127448e-01 3.000000000000000000e+00
9.016257036833067451e-01 4.000000000000000000e+00
1.086424608555184967e+00 3.000000000000000000e+00
7.050649338890863094e-01 2.000000000000000000e+00
7.639549253722696109e-01 2.000000000000000000e+00
7.154561350404046172e-01 2.000000000000000000e+00
8.579044770706584222e-01 3.000000000000000000e+00
7.003927698088741050e-01 2.000000000000000000e+00
1.021252042892222267e+00 3.000000000000000000e+00
8.675708200924211466e-01 4.000000000000000000e+00
7.661864395607127509e-01 2.000000000000000000e+00
7.606085872948595838e-01 2.000000000000000000e+00
7.506550234073795513e-01 2.000000000000000000e+00
8.325909474744230820e+00 1.400000000000000000e+01
7.528773698286945759e-01 2.000000000000000000e+00
8.715854677328519484e-01 3.000000000000000000e+00
6.838738247416015215e-01 2.000000000000000000e+00
6.928581325808182978e-01 2.000000000000000000e+00
7.067344834990512137e-01 2.000000000000000000e+00
1.261712092249654482e+01 2.000000000000000000e+00
1.245843598481032011e+01 2.000000000000000000e+00
1.050626379818033129e+01 4.000000000000000000e+00
8.730713391157001180e-01 3.000000000000000000e+00
6.826676344804946117e-01 2.000000000000000000e+00
7.472894458195895595e-01 2.000000000000000000e+00
1.325462984412870071e+01 4.000000000000000000e+00
8.034437872061267472e-01 2.000000000000000000e+00
1.214814580490831020e+00 4.000000000000000000e+00
7.566293023338107604e-01 2.000000000000000000e+00
7.564225849351807751e-01 2.000000000000000000e+00
7.520030517449934893e-01 2.000000000000000000e+00
7.069297753903061032e-01 2.000000000000000000e+00
7.001438457440991581e-01 2.000000000000000000e+00
9.045807661667758515e-01 3.000000000000000000e+00
1.223121745397575921e+01 6.000000000000000000e+00
6.890876242056191980e-01 2.000000000000000000e+00
1.676581934196758050e+00 1.200000000000000000e+01
1.026050052494032805e+00 3.000000000000000000e+00
1.165485261840344222e+01 1.100000000000000000e+01
1.210954017917003966e+01 2.000000000000000000e+00
1.595951490651426941e+00 4.000000000000000000e+00
7.195268588338790128e-01 2.000000000000000000e+00
1.236520550727052736e+01 2.000000000000000000e+00
9.093127975565031829e-01 4.000000000000000000e+00
7.356315409678776396e-01 2.000000000000000000e+00
1.612484722242935931e+00 7.000000000000000000e+00
7.627473100576115383e-01 2.000000000000000000e+00
1.165907070353221542e+01 3.000000000000000000e+00
1.159867643274487570e+01 3.000000000000000000e+00
7.837684801650447453e-01 2.000000000000000000e+00
7.730782688922231971e-01 2.000000000000000000e+00
7.606494991343621948e-01 2.000000000000000000e+00
6.864972764087915458e-01 2.000000000000000000e+00
9.056928391755891816e-01 3.000000000000000000e+00
1.145645768600342285e+00 3.000000000000000000e+00
7.064019351615931086e-01 2.000000000000000000e+00
1.525090557291274074e+00 7.000000000000000000e+00
1.540625602367104463e+01 2.000000000000000000e+00
