# itime ezz other fcc hcp bcc ico
0.000000000000000000e+00 0.000000000000000000e+00 1.479289940828402332e-03 9.985207100591716456e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.199994667408588178e-02 1.024123805188893906e-03 9.989758761948110966e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 2.399989334817198561e-02 6.827492034592626399e-04 9.993172507965407680e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+01 3.599984002225786739e-02 6.372325898953117539e-03 9.934000910332271284e-01 0.000000000000000000e+00 2.275830678197542133e-04 0.000000000000000000e+00
1.200000000000000000e+02 4.799978669634397122e-02 7.055075102412380721e-03 9.929449248975875664e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+02 5.999973337042985300e-02 2.378243058716431393e-02 9.757624032771962108e-01 0.000000000000000000e+00 4.551661356395084266e-04 0.000000000000000000e+00
1.800000000000000000e+02 7.199968004451595682e-02 3.413746017296313134e-02 9.644970414201183839e-01 0.000000000000000000e+00 1.365498406918525280e-03 0.000000000000000000e+00
2.100000000000000000e+02 8.399962671860183860e-02 7.806099226217569353e-02 9.185252617205279524e-01 0.000000000000000000e+00 3.413746017296313308e-03 0.000000000000000000e+00
2.400000000000000000e+02 9.599957339268794243e-02 1.293809740555302568e-01 8.603777878925807920e-01 0.000000000000000000e+00 1.024123805188893906e-02 0.000000000000000000e+00
2.700000000000000000e+02 1.079995200667738242e-01 2.253072371415566766e-01 7.550068274920346267e-01 1.137915339098771066e-04 1.957214383249886169e-02 0.000000000000000000e+00
3.000000000000000000e+02 1.199994667408599280e-01 3.813154301319982009e-01 5.704369594902138907e-01 3.413746017296313199e-04 4.790623577605826466e-02 0.000000000000000000e+00
3.300000000000000000e+02 1.319994134149458098e-01 5.309512972234865513e-01 3.700500682749203185e-01 1.251706873008648227e-03 9.774692762858443185e-02 0.000000000000000000e+00
3.600000000000000000e+02 1.439993600890319136e-01 6.267637687756031362e-01 2.124487938097405493e-01 4.210286754665453109e-03 1.565771506599908935e-01 0.000000000000000000e+00
3.900000000000000000e+02 1.559993067631177954e-01 6.742148384160218111e-01 1.135639508420573512e-01 9.330905780609922637e-03 2.028903049613108855e-01 0.000000000000000000e+00
4.200000000000000000e+02 1.679992534372038993e-01 7.292899408284023721e-01 6.156121984524351443e-02 1.570323167956303931e-02 1.934456076467910846e-01 0.000000000000000000e+00
4.500000000000000000e+02 1.799992001112897810e-01 7.685480200273099305e-01 3.891670459717797015e-02 2.059626763768775473e-02 1.719390077378243065e-01 0.000000000000000000e+00
4.800000000000000000e+02 1.919991467853758849e-01 8.154301319981793750e-01 2.799271734182976618e-02 2.469276285844333035e-02 1.318843878015475701e-01 0.000000000000000000e+00
5.100000000000000000e+02 2.039990934594617666e-01 8.477469276285843902e-01 2.264451524806554428e-02 3.425125170687300796e-02 9.535730541647700897e-02 0.000000000000000000e+00
