# theta phi size
-6.016976559327098784e+01 1.053938756386271223e+02 4.000000000000000000e+00
1.198302344067290335e+02 7.460612436137289194e+01 2.000000000000000000e+00
-2.026959300470834169e-01 8.933491825722235546e+01 2.000000000000000000e+00
-1.527023626173105129e+02 5.465943219675795461e+01 4.000000000000000000e+00
1.797973040699529292e+02 9.066508174277764454e+01 2.000000000000000000e+00
2.729763738268947648e+01 1.253405678032420525e+02 2.300000000000000000e+01
7.520963432675904947e+00 5.818125264388451257e+01 2.000000000000000000e+00
1.225333281475721208e+02 1.699161370275011507e+02 3.000000000000000000e+00
-4.039402348767069384e+00 6.072595247216777636e+01 1.100000000000000000e+01
-9.000000000000000000e+01 6.885196306214466233e+01 3.000000000000000000e+00
-8.012449876630851975e+01 8.170125812572560164e+01 5.000000000000000000e+00
4.058396879256476808e+01 8.423144821339633381e+01 4.000000000000000000e+00
1.366600089471646697e+02 5.900927959195617944e+01 2.000000000000000000e+00
1.342888538777993688e+02 1.398960314104636495e+02 2.000000000000000000e+00
-1.390898106859295922e+02 8.621746260021861730e+00 2.000000000000000000e+00
-8.583336831051624927e+01 6.659618219798257144e+01 2.000000000000000000e+00
-1.724790365673241013e+02 1.218187473561155088e+02 1.200000000000000000e+01
-5.746667185242786502e+01 1.008386297249885999e+01 6.000000000000000000e+00
1.759605976512329448e+02 1.192740475278322236e+02 2.500000000000000000e+01
9.000000000000000000e+01 1.111480369378553519e+02 2.000000000000000000e+00
9.987550123369149446e+01 9.829874187427441257e+01 3.000000000000000000e+00
-1.394160312074352532e+02 9.576855178660366619e+01 2.000000000000000000e+00
-4.333999105283535158e+01 1.209907204080438134e+02 3.000000000000000000e+00
-4.571114612220063833e+01 4.010396858953632915e+01 2.000000000000000000e+00
4.091018931407039361e+01 1.713782537399781631e+02 3.000000000000000000e+00
9.416663168948375073e+01 1.134038178020174428e+02 7.000000000000000000e+00
-1.790117863310631492e+02 8.517145845269334359e+01 2.000000000000000000e+00
1.395241053161953744e+02 8.958027115380875216e+01 3.000000000000000000e+00
1.740791942399832237e+02 1.694814400385363911e+02 2.000000000000000000e+00
-8.945781117977702479e+01 5.987728374036751688e+01 4.000000000000000000e+00
-1.277558363051260244e+02 8.618231066599081203e+01 4.000000000000000000e+00
1.754864020744917354e+02 1.268838318638649838e+02 2.000000000000000000e+00
1.389496707524058081e+02 8.777810145214117199e+01 5.000000000000000000e+00
1.327356212505966369e+02 1.111280170250625616e+02 2.000000000000000000e+00
-1.777535092850473575e+02 1.371524012372042876e+02 2.000000000000000000e+00
-1.623480863520794344e+02 7.787599612473433019e+00 2.000000000000000000e+00
-1.398204057888286798e+02 9.253082609985337115e+01 2.000000000000000000e+00
4.527393949989961897e+01 1.262621183593092269e+02 6.000000000000000000e+00
-1.338136163763841751e+02 9.621979712643586424e+00 3.000000000000000000e+00
-1.318447211016434721e+02 1.188439950465618011e+02 9.000000000000000000e+00
4.472839300469738077e+01 7.958890707893795025e+01 9.000000000000000000e+00
-1.744352419552220397e+02 6.864142785405663005e+01 3.000000000000000000e+00
8.714140288272395196e+01 4.540682503639236245e+01 2.000000000000000000e+00
4.347391410985729010e+01 5.797604102665474812e+01 2.700000000000000000e+01
1.656188658917366467e+02 4.350409503322816818e+01 3.000000000000000000e+00
-4.220065803517941561e+01 8.730998872228759922e+00 3.000000000000000000e+00
1.345119478238312638e+02 9.672107820515971355e+01 2.000000000000000000e+00
-6.733800329884087432e+01 8.302627710406666495e+01 2.000000000000000000e+00
1.435812390593984844e+02 8.955585498583228343e+01 2.000000000000000000e+00
9.882136689368662408e-01 9.482854154730668483e+01 2.000000000000000000e+00
-4.047589468380463273e+01 9.041972884619124784e+01 1.400000000000000000e+01
-5.920805760016800257e+00 1.051855996146360184e+01 6.000000000000000000e+00
9.054218882022298942e+01 1.201227162596324831e+02 1.600000000000000000e+01
5.224416369487398271e+01 9.381768933400918797e+01 3.000000000000000000e+00
-4.513597925508298303e+00 5.311616813613501620e+01 4.000000000000000000e+00
-4.105032924759421320e+01 9.222189854785884222e+01 2.000000000000000000e+00
-4.726437874940337025e+01 6.887198297493743837e+01 7.000000000000000000e+00
2.246490714952668721e+00 4.284759876279571245e+01 2.000000000000000000e+00
1.765191364792056206e+01 1.722124003875265714e+02 2.000000000000000000e+00
4.017959421117134156e+01 8.746917390014662885e+01 3.000000000000000000e+00
-1.347260605001004024e+02 5.373788164069077311e+01 2.000000000000000000e+00
4.618638362361585337e+01 1.703780202873564349e+02 3.000000000000000000e+00
4.815527889835653497e+01 6.115600495343819176e+01 2.000000000000000000e+00
-1.352716069953026192e+02 1.004110929210620640e+02 2.000000000000000000e+00
5.564758044777954993e+00 1.113585721459433842e+02 1.300000000000000000e+01
-9.285859711727604804e+01 1.345931749636076518e+02 3.000000000000000000e+00
-1.365260858901427241e+02 1.220239589733452448e+02 6.000000000000000000e+00
-1.438113410826334437e+01 1.364959049667718318e+02 3.000000000000000000e+00
1.377993419648205986e+02 1.712690011277712756e+02 2.000000000000000000e+00
-4.548805217616873620e+01 8.327892179484028645e+01 2.000000000000000000e+00
1.126619967011591399e+02 9.697372289593334926e+01 4.000000000000000000e+00
-3.641876094060152269e+01 9.044414501416770236e+01 1.000000000000000000e+01
2.232548852044499377e+00 8.851312363423707552e+01 6.000000000000000000e+00
-6.826636903750974739e+01 5.938777086118273019e+01 2.000000000000000000e+00
-5.086806093828978703e+01 5.626615653001787365e+01 1.500000000000000000e+01
-1.593762691462056011e+02 4.372592560645935578e+01 2.000000000000000000e+00
1.754676386215010382e+02 5.689876452684384134e+01 2.000000000000000000e+00
-1.467327232439476425e+01 9.845545733773163022e+01 7.000000000000000000e+00
