# w mse
3.000000000000000000e+00 3.495426946868381598e-04
5.000000000000000000e+00 1.344032854095881906e-03
9.000000000000000000e+00 4.965289134758031457e-03
1.700000000000000000e+01 1.746746759637645210e-02
3.300000000000000000e+01 6.137922246481748029e-02
6.500000000000000000e+01 2.236806273220019181e-01
1.290000000000000000e+02 8.140249087576216791e-01
2.570000000000000000e+02 2.880368988402213226e+00
5.130000000000000000e+02 8.944948935782939259e+00
1.025000000000000000e+03 1.884855709476207863e+01
2.049000000000000000e+03 2.679583815449385398e+01
