# theta phi
1.780770088022115374e+02 1.500604439143851323e+02
-1.922991197788463502e+00 2.993955608561484993e+01
-6.769618916780113693e+01 8.247326334141952264e-01
1.123038108321988773e+02 1.791752673665857856e+02
8.550143325368379976e+01 9.041394584209066920e+01
1.108462976951979613e+02 1.003453164235580033e+02
-9.449856674631621445e+01 8.958605415790933080e+01
-6.915370230480203873e+01 7.965468357644199671e+01
-3.967562374034773853e+00 1.696258727571547809e+02
1.760324376259652297e+02 1.037412724284523335e+01
