# size duration
3.550000000000000000e+01 1.290062943305968268e+00
4.000000000000000000e+01 3.605116287409249054e+00
2.300000000000000000e+01 3.755351670376123607e-01
1.050000000000000000e+01 8.948386628112237062e-02
3.600000000000000000e+01 1.179052594845278801e+00
4.150000000000000000e+01 3.868145451598047124e+00
3.600000000000000000e+01 2.267291823581302879e+00
1.300000000000000000e+01 1.127663813994153053e-01
4.150000000000000000e+01 1.253603380249750376e+00
7.000000000000000000e+00 5.462613145843864260e-02
1.650000000000000000e+01 1.416269913304935013e-01
3.550000000000000000e+01 7.840163075121386882e-01
3.000000000000000000e+01 3.410461211644135737e-01
1.350000000000000000e+01 1.089759086639310315e-01
3.650000000000000000e+01 1.027543450638102263e+00
3.850000000000000000e+01 1.169331204380563927e+00
3.250000000000000000e+01 6.974086353435631214e-01
8.300000000000000000e+01 2.139894401577941530e+00
1.265000000000000000e+02 2.903700022306158424e+00
3.100000000000000000e+01 7.022611657466746315e-01
4.700000000000000000e+01 1.305249602721143543e+00
3.150000000000000000e+01 6.421559832875836094e-01
5.700000000000000000e+01 2.614914150949204874e+00
4.450000000000000000e+01 1.573467408880415030e+00
1.200000000000000000e+01 1.070179321526936178e-01
5.200000000000000000e+01 2.122964973237237984e+00
1.050000000000000000e+01 8.764785008769404584e-02
2.450000000000000000e+01 3.057786603005436810e-01
3.400000000000000000e+01 3.957046051060226777e-01
1.300000000000000000e+01 1.180312034819714917e-01
4.200000000000000000e+01 5.748109192323591632e-01
1.550000000000000000e+01 1.359740283411792205e-01
2.150000000000000000e+01 2.527662128710497225e-01
3.800000000000000000e+01 6.616537315771660044e-01
2.150000000000000000e+01 2.618172087116938940e-01
1.800000000000000000e+01 1.465632305668680413e-01
