# size duration
4.000000000000003553e-03 1.428340567424454477e+00
3.700000000000008837e-03 1.488490758691054516e+00
1.799999999999968292e-03 8.979232613929768458e-01
3.000000000000224709e-04 2.877316524254733276e-02
5.000000000000004441e-04 4.843194064876748389e-02
5.000000000000004441e-03 2.610831085225802983e+00
7.000000000000339284e-04 9.131283467575997126e-02
1.600000000000045830e-03 6.015438534872254994e-01
7.000000000000339284e-04 9.596401105658856900e-02
9.000000000000119016e-04 2.408125855209620747e-01
2.899999999999958167e-03 1.615555830850094798e+00
1.000000000000000888e-03 2.824761880740100928e-01
7.999999999999674039e-04 1.250605134993249545e-01
1.000000000000000888e-03 1.212949491098846699e-01
2.599999999999991207e-03 1.256789627532149511e+00
5.000000000000004441e-04 5.829813835440102177e-02
1.199999999999978861e-03 3.221663224731100561e-01
5.999999999999894307e-04 5.603355454213156117e-02
1.099999999999989875e-03 2.769591923942218981e-01
1.099999999999989875e-03 3.362065678267984192e-01
1.400000000000012346e-03 4.109277403903311421e-01
1.199999999999978861e-03 2.497912694877463258e-01
1.199999999999978861e-03 1.800210149089988831e-01
4.000000000000114575e-04 3.554228150769696976e-02
7.000000000000339284e-04 8.615739743446389209e-02
1.900000000000012790e-03 3.297986133592098579e+00
1.299999999999967848e-03 1.762651854241892302e-01
8.999999999999563904e-04 1.594905904159822918e-01
1.600000000000045830e-03 5.897314196704896982e-01
1.500000000000001332e-03 6.930235795524531950e-01
1.299999999999967848e-03 1.795326934130189733e-01
2.000000000000001776e-03 1.917502386178869811e+00
1.000000000000000888e-03 1.661774296661268080e-01
8.000000000000229150e-04 1.176695037868723259e-01
8.999999999999008793e-04 1.442193913328196908e-01
5.999999999999339195e-04 6.421623398949106998e-02
8.000000000000229150e-04 9.996716893985531371e-02
1.099999999999989875e-03 2.208220148319071929e-01
6.999999999999229061e-04 9.996127487937911393e-02
3.900000000000014566e-03 5.511795227268990516e+00
1.999999999999779732e-04 1.675114822876455287e-02
2.999999999999669598e-04 2.670591204300359900e-02
7.999999999999118927e-04 1.039461999408393400e-01
3.999999999999559464e-04 3.712725290804983619e-02
5.400000000000071410e-03 4.794673630019639532e+00
4.000000000000669687e-04 3.693672945153657350e-02
5.999999999999339195e-04 8.199269437695808072e-02
4.000000000000003553e-03 1.698715152068390744e+00
1.799999999999912781e-03 3.284167610420853922e+00
