# theta phi size
-7.989889174348903111e+01 9.338366450170046562e+01 3.000000000000000000e+00
4.271743859578185010e+01 9.377441430238688369e+00 3.000000000000000000e+00
1.001011082565109831e+02 8.661633549829954859e+01 4.000000000000000000e+00
-1.372825614042181712e+02 1.706225585697613383e+02 6.000000000000000000e+00
-5.607177769473116768e+01 1.222945820866184619e+02 3.000000000000000000e+00
1.359235256841120645e+02 1.201003583261347103e+02 4.000000000000000000e+00
3.870686461996935179e+01 6.196931109732317822e+01 4.000000000000000000e+00
-4.381554674916589676e+01 1.183484295157903432e+02 4.000000000000000000e+00
-1.393464066579277016e+02 2.025699011121024640e+01 5.000000000000000000e+00
-5.606019380611772362e+01 1.222604177235259755e+02 3.000000000000000000e+00
1.211210530911492924e+02 9.724469405673313815e+01 2.000000000000000000e+00
1.673069685746227009e+01 7.694654641886172897e+01 2.000000000000000000e+00
-9.354750156148021745e+01 8.429094201611366088e+01 6.000000000000000000e+00
1.193514866764949858e+02 6.022173534280785390e+01 2.000000000000000000e+00
1.358926190194214314e+02 1.200611585898936795e+02 5.000000000000000000e+00
-1.390744877522260765e+02 1.115773489600148594e+02 2.000000000000000000e+00
1.337408533732543674e+02 6.133851388723491027e+01 6.000000000000000000e+00
1.552566066119637753e+02 5.754851292093770354e+01 2.000000000000000000e+00
-1.327756217060760662e+02 7.407822833202388324e+01 3.000000000000000000e+00
1.092666727447855646e+00 8.981859747456132936e+01 2.000000000000000000e+00
3.872704258806138711e+01 6.201247905688765627e+01 2.000000000000000000e+00
4.919221872745388424e+01 1.328863272924050989e+02 4.000000000000000000e+00
-1.277028598655656992e+02 9.334739730283595804e+01 3.000000000000000000e+01
-4.380748208651033337e+01 1.183516649204822500e+02 1.400000000000000000e+01
1.239282223052688465e+02 5.770541791338153814e+01 1.700000000000000000e+01
-4.407647431588794262e+01 5.989964167386528260e+01 3.600000000000000000e+01
-1.412931353800306624e+02 1.180306889026768147e+02 2.500000000000000000e+01
1.361844532508341103e+02 6.165157048420967811e+01 4.000000000000000000e+00
4.065359334207228414e+01 1.597430098887897429e+02 6.000000000000000000e+00
