# size duration
2.400000000000179767e-04 4.986087958106067558e-02
1.200000000000089884e-04 1.893001596346217258e-02
3.599999999999992095e-04 6.059152824622172917e-02
2.400000000000179767e-04 7.285245769555193096e-02
2.399999999999902212e-04 3.506877280318234508e-02
1.199999999999812328e-04 2.753080087468776083e-02
1.200000000000089884e-04 1.780788809656546137e-02
4.799999999999804423e-04 9.229017960339072624e-02
2.399999999999902212e-04 4.198972444838446061e-02
2.399999999999902212e-04 5.974389006145849196e-02
1.199999999999812328e-04 2.716788884720296518e-02
2.400000000000179767e-04 4.887333225507495271e-02
1.200000000000089884e-04 1.540510683652041544e-02
4.800000000000081979e-04 1.263266255893430445e-01
2.399999999999902212e-04 4.272431773903822422e-02
4.800000000000081979e-04 1.426987983851186470e-01
2.400000000000179767e-04 4.852947182948599142e-02
5.999999999999894307e-04 1.827348603936564120e-01
2.399999999999902212e-04 4.624931924986233622e-02
2.399999999999902212e-04 3.637930540426152770e-02
3.599999999999992095e-04 9.053632737994615765e-02
1.200000000000089884e-04 2.637182246525343610e-02
3.599999999999992095e-04 1.184373502721136062e-01
2.400000000000179767e-04 3.358778512874928401e-02
2.400000000000179767e-04 4.504250785875762997e-02
1.200000000000089884e-04 1.890126833244222884e-02
3.599999999999992095e-04 7.053375845007432698e-02
6.000000000000171863e-04 1.281850712391175706e-01
4.799999999999804423e-04 8.659805346493720801e-02
3.599999999999992095e-04 9.298738886459156916e-02
2.400000000000179767e-04 5.507843673596804490e-02
1.199999999999812328e-04 2.466576949835034421e-02
2.399999999999902212e-04 7.648806123890547481e-02
1.200000000000089884e-04 2.386196710503009355e-02
1.200000000000089884e-04 1.663768767189097164e-02
2.400000000000179767e-04 3.007022800382321004e-02
1.200000000000089884e-04 1.952768579168522381e-02
4.799999999999804423e-04 1.205395363402260583e-01
4.799999999999804423e-04 8.248601261319810085e-02
2.399999999999902212e-04 7.879911847578841000e-02
3.600000000000269651e-04 1.017546916780529553e-01
2.399999999999902212e-04 4.689170090068353614e-02
1.200000000000089884e-04 1.816347560151485366e-02
3.599999999999992095e-04 7.952426360833832197e-02
2.400000000000179767e-04 8.356965257228483879e-02
3.600000000000269651e-04 8.277962287927440044e-02
4.799999999999804423e-04 7.815045847675763935e-02
2.400000000000179767e-04 7.168537213396389274e-02
2.399999999999624656e-04 5.005016865309606933e-02
1.200000000000089884e-04 2.147782723056524193e-02
4.799999999999804423e-04 1.050318192182220500e-01
3.600000000000269651e-04 8.608995316124518071e-02
2.400000000000179767e-04 3.929771283152014294e-02
1.200000000000089884e-04 1.668383844643003128e-02
2.399999999999624656e-04 3.854914948897483762e-02
3.599999999999714539e-04 1.023116034196976942e-01
5.999999999999894307e-04 1.611751775974240852e-01
4.799999999999804423e-04 1.058519048814261232e-01
1.080000000000025384e-03 2.549947845668529278e-01
1.200000000000089884e-04 1.630855266829383393e-02
3.599999999999714539e-04 1.031428540430383567e-01
1.200000000000089884e-04 1.733043284462509187e-02
7.199999999999984190e-04 1.537488369912679287e-01
2.399999999999624656e-04 4.337047420682452886e-02
2.399999999999624656e-04 4.413883177117956802e-02
1.200000000000089884e-04 1.568831813857506086e-02
5.999999999999894307e-04 1.299346469757911293e-01
2.400000000000179767e-04 3.197296523603006257e-02
2.400000000000179767e-04 7.480712168935504947e-02
2.400000000000179767e-04 7.193441865077518371e-02
1.200000000000089884e-04 1.718302240269008879e-02
3.599999999999714539e-04 7.143322355754842812e-02
2.400000000000179767e-04 7.180690347083990011e-02
2.400000000000179767e-04 3.663105952160911061e-02
2.400000000000179767e-04 4.397374773673504156e-02
2.399999999999624656e-04 3.498409476729238965e-02
3.599999999999714539e-04 7.362577543645396072e-02
2.400000000000179767e-04 3.801109691996033824e-02
4.800000000000359535e-04 7.882341288753969000e-02
2.400000000000179767e-04 3.760977344735996764e-02
1.199999999999534772e-04 2.013782934214764647e-02
2.400000000000179767e-04 4.000284115414565189e-02
3.599999999999714539e-04 8.286653503195126613e-02
1.200000000000089884e-04 1.646364891944460118e-02
1.199999999999534772e-04 2.141404788790269784e-02
3.599999999999714539e-04 7.397039078999900763e-02
1.200000000000089884e-04 1.506698324428998662e-02
2.399999999999624656e-04 5.332493252791753457e-02
2.400000000000179767e-04 9.645857229990967285e-02
2.399999999999624656e-04 4.626186087610552333e-02
1.200000000000089884e-04 2.135088663333008230e-02
2.399999999999624656e-04 6.869865338951550160e-02
4.799999999999804423e-04 1.149564477452255373e-01
1.199999999999534772e-04 1.479801847371615790e-02
1.200000000000089884e-04 1.603027613195579654e-02
3.599999999999714539e-04 7.999507047076280519e-02
2.400000000000179767e-04 6.716773753952548498e-02
5.999999999999894307e-04 1.538955916184158446e-01
2.400000000000179767e-04 3.773366275173952594e-02
3.599999999999714539e-04 8.836686284105793598e-02
4.800000000000359535e-04 1.182221094702025355e-01
1.200000000000089884e-04 3.313539617157963690e-02
1.200000000000089884e-04 1.504690770054479751e-02
4.800000000000359535e-04 1.867232250523803150e-01
2.400000000000179767e-04 7.255106373295003297e-02
3.600000000000269651e-04 8.338962417156492446e-02
2.400000000000179767e-04 4.286853340936593038e-02
2.399999999999624656e-04 4.838138793203955457e-02
3.599999999999714539e-04 1.088006052658527789e-01
1.200000000000089884e-04 1.727699095013491767e-02
2.399999999999624656e-04 5.455136309012076357e-02
3.600000000000269651e-04 7.942901928533492584e-02
2.400000000000179767e-04 3.897248293600380498e-02
2.400000000000179767e-04 3.436474863358914000e-02
1.199999999999534772e-04 1.716788645170734540e-02
2.400000000000179767e-04 4.082745505322483981e-02
3.600000000000269651e-04 8.903376776414878568e-02
1.200000000000089884e-04 2.083141557430509896e-02
2.400000000000179767e-04 5.852748953563934042e-02
1.199999999999534772e-04 2.320001117411377850e-02
1.200000000000089884e-04 2.202352399958462659e-02
3.600000000000269651e-04 9.090146677900466654e-02
2.399999999999624656e-04 5.750538176925440448e-02
3.599999999999714539e-04 7.324125400933764740e-02
2.400000000000179767e-04 5.492703209709991208e-02
4.799999999999804423e-04 1.714076804590507763e-01
4.799999999999804423e-04 1.364917257873446699e-01
1.200000000000089884e-04 3.291187372711049802e-02
