# drho_hcp drho_bcc avalancheSize
0.000000000000000000e+00 0.000000000000000000e+00 1.152239881912512226e-01
9.548765203426512471e-05 5.004319845469673567e-05 6.262639523827569221e-02
1.321672811907426137e-02 1.264970122894504279e-02 1.538801113852180080e+01
4.200220964165168880e-03 -1.020547811576899555e-03 2.299793883006376660e+00
1.571119784740560021e-03 -5.140452974460307800e-04 6.346023224013451758e-01
3.071448825293643381e-04 -2.458634192137321151e-04 8.911784290544194631e-02
6.104395791428629536e-04 -4.596410839987630226e-04 1.418899091547689562e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.890686994893166564e-02
5.705681355796521359e-04 -1.929055605321972067e-04 2.126385021393687180e-01
5.066480540949491740e-04 4.894290768800990676e-04 2.545873876042442085e-01
2.756864585706786386e-04 -1.937617997760376909e-04 1.617674209652408823e-01
4.646493073412472086e-06 -1.802101684175161367e-04 8.734244650717623570e-02
-1.088975108878287301e-04 -1.508312760895025306e-04 9.737785268087632840e-02
0.000000000000000000e+00 0.000000000000000000e+00 1.881233653318176158e-02
-1.412878954365481832e-05 1.496602338380004227e-04 1.296000309539198092e-01
6.230345963231798123e-05 1.226985074310738000e-04 6.241256474391549541e-02
1.315102407786206129e-04 -5.320409865561259721e-06 1.039125634770280970e-01
-3.332114616272363605e-05 -3.137110779638518920e-05 3.976187294638117153e-02
-1.100536730671564101e-04 6.788737616691964405e-05 7.168932713936798651e-02
-2.607983668712066105e-04 2.902642615734141174e-04 2.252002032476344007e-01
7.969806829422054761e-05 -4.526553388428666835e-05 7.608849493612433734e-02
1.181923489266267779e-04 -2.109653059763072491e-04 1.987210233560099404e-01
-2.878200850098266983e-06 -5.361717720892000827e-05 5.252547939279252759e-02
2.739832355214133486e-06 -1.225959201891502204e-04 9.680830718042984784e-02
6.912618485310773053e-05 -1.474168918996765498e-05 3.913583703720276835e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.185232867908248888e-02
-1.350672424700327667e-04 2.357271497927526660e-04 1.122292451849017658e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.806430036966504699e-02
-6.994628293854887602e-05 2.412509037441612492e-05 3.912342999321268694e-02
-1.840720065757750490e-04 -4.681772345876966668e-05 1.203395056530715268e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.844324110660435986e-02
-2.197305593476528429e-05 -4.578978457042692796e-06 5.618202806321886955e-02
1.793321812937342941e-04 -4.385703932656415116e-05 7.433377380732103523e-02
5.953117213630676474e-05 -2.364316180893111241e-05 6.725399854602612248e-02
1.420846476296588889e-05 -1.288470381473338922e-05 5.609209596191402913e-02
1.885133995251919714e-04 -1.434793811263962438e-04 1.040834284677550486e-01
-2.130451432567070924e-04 1.633891046784671786e-04 9.811140162635366424e-02
2.204610902767356606e-05 -4.250675051362118317e-05 6.624117974598722758e-02
9.587696399693257376e-05 -1.156284758632997178e-04 1.011657425918781605e-01
2.224780348210053660e-04 -2.312528280696279914e-04 1.929065708454046901e-01
-6.507320154724993699e-06 2.494610739278702027e-05 4.350345933133734078e-02
-1.228377155206850091e-04 -2.743974143681882083e-05 2.562454507471578768e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.845074258442270035e-02
-1.288111557395943407e-04 -7.661324734620222898e-06 7.923309223854707595e-02
-3.110935319581287217e-04 8.715665742120570769e-05 9.498203348743447516e-02
2.404931655197728446e-05 -1.348344454410455029e-05 5.526704704630887310e-02
0.000000000000000000e+00 0.000000000000000000e+00 1.921101763075233615e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.065969468533939910e-02
-3.566840677038385365e-06 -6.561022040652009224e-05 6.633364895471566269e-02
1.472971723526228516e-04 5.697058045772696033e-05 6.769458007169265601e-02
1.099681737675162196e-04 6.108884979760809131e-05 4.354499395928458638e-02
-6.177720247930729158e-04 -2.943516652645916665e-04 2.780352494050362111e-01
-2.890242816806498638e-04 -1.047467449829531105e-04 1.499952888211485147e-01
-6.016393356400584480e-06 1.531036351420933528e-05 4.988958412585714486e-02
1.893422718168835672e-05 1.805215263106507706e-05 4.155103222646587546e-02
-3.587623272638396088e-05 2.056585580678671477e-05 1.359683995115419375e-01
-3.830802172632985503e-05 -3.677185725403653294e-05 4.458925818607922115e-02
0.000000000000000000e+00 0.000000000000000000e+00 2.018980455107953834e-02
-4.487849334426918801e-04 -1.142443172255092065e-04 1.910711945732208039e-01
-5.510620193449611293e-05 -1.986788967256458704e-05 4.036157929131183042e-02
4.740509973144568789e-05 -1.061194944376175897e-04 7.484009044055756066e-02
-5.294744991779509746e-05 2.545681221288731422e-05 4.628237997181701424e-02
-3.201691956045138454e-04 2.238846934190519278e-04 1.700064170472054825e-01
8.652965862188111146e-05 1.533897215619806076e-04 1.460562913394355400e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.935783065200663566e-02
5.354442341154452834e-05 1.542216620276093408e-05 6.273307745926473555e-02
0.000000000000000000e+00 0.000000000000000000e+00 1.566841137334931966e-01
