# itime ezz other fcc hcp bcc ico
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.200001281862239644e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 2.400002563724479288e-02 1.137915339098771066e-04 9.998862084660901095e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+01 3.600003845586696727e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+02 4.800005127448936371e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+02 6.000006409311176014e-02 4.551661356395084266e-04 9.995448338643604380e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+02 7.200007691173415658e-02 9.103322712790168532e-04 9.990896677287209870e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+02 8.400008973035633097e-02 3.186162949476558769e-03 9.968138370505233992e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+02 9.600010254897872741e-02 2.844788347746927612e-03 9.970414201183431802e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
2.700000000000000000e+02 1.080001153676011239e-01 5.461993627674101119e-03 9.944242148384160318e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
3.000000000000000000e+02 1.200001281862235203e-01 1.126536185707783383e-02 9.887346381429221731e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+02 1.320001410048459167e-01 1.729631315430131891e-02 9.825898953117887524e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
3.600000000000000000e+02 1.440001538234680911e-01 3.470641784251251444e-02 9.652935821574875064e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+02 1.560001666420904876e-01 6.645425580336822291e-02 9.334319526627219421e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
4.200000000000000000e+02 1.680001794607128840e-01 8.659535730541648157e-02 9.132908511606736557e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
4.500000000000000000e+02 1.800001922793352804e-01 1.456531634046426826e-01 8.543468365953572619e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+02 1.920002050979576769e-01 2.058488848429676776e-01 7.940373236231224041e-01 0.000000000000000000e+00 1.137915339098771066e-04 0.000000000000000000e+00
5.100000000000000000e+02 2.040002179165798513e-01 2.897132453345471204e-01 7.101729631315429891e-01 1.137915339098771066e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+02 2.160002307352022477e-01 3.817705962676377074e-01 6.182294037323623481e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+02 2.280002435538246441e-01 5.013654984069185749e-01 4.984069185252616996e-01 0.000000000000000000e+00 2.275830678197542133e-04 0.000000000000000000e+00
6.000000000000000000e+02 2.400002563724470406e-01 6.156121984524350887e-01 3.843878015475648557e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+02 2.520002691910692150e-01 7.168866636322257513e-01 2.825443786982248517e-01 2.275830678197542133e-04 3.413746017296313199e-04 0.000000000000000000e+00
6.600000000000000000e+02 2.640002820096916114e-01 7.960855712335002110e-01 2.020937642239417353e-01 1.251706873008648227e-03 5.689576695493854790e-04 0.000000000000000000e+00
6.900000000000000000e+02 2.760002948283140078e-01 8.654984069185253093e-01 1.268775603095129711e-01 3.868912152935821518e-03 3.755120619025944465e-03 0.000000000000000000e+00
7.200000000000000000e+02 2.880003076469364043e-01 8.997496586253982409e-01 8.670914883932635819e-02 6.144742831133363434e-03 7.396449704142011444e-03 0.000000000000000000e+00
7.500000000000000000e+02 3.000003204655588007e-01 9.053254437869822091e-01 7.111970869367319203e-02 1.137915339098771045e-02 1.217569412835685025e-02 0.000000000000000000e+00
7.800000000000000000e+02 3.120003332841809751e-01 9.061219845243514426e-01 6.645425580336822291e-02 1.502048247610377786e-02 1.240327719617660522e-02 0.000000000000000000e+00
8.100000000000000000e+02 3.240003461028033716e-01 9.043013199817933057e-01 6.554392353208920996e-02 1.718252162039144229e-02 1.297223486572599005e-02 0.000000000000000000e+00
8.400000000000000000e+02 3.360003589214257680e-01 9.019116977696859383e-01 6.463359126081019701e-02 2.082385070550751144e-02 1.263086026399635846e-02 0.000000000000000000e+00
8.700000000000000000e+02 3.480003717400481644e-01 9.002048247610378029e-01 6.304050978607191047e-02 2.366863905325443732e-02 1.308602639963586667e-02 0.000000000000000000e+00
9.000000000000000000e+02 3.600003845586703388e-01 9.091943559399180419e-01 5.803368229403732537e-02 2.207555757851615771e-02 1.069640418752844727e-02 0.000000000000000000e+00
9.300000000000000000e+02 3.720003973772927353e-01 9.131770596267637652e-01 5.359581247155211642e-02 2.389622212107419055e-02 9.330905780609922637e-03 0.000000000000000000e+00
9.600000000000000000e+02 3.840004101959151317e-01 9.104460628129267263e-01 5.405097860719162289e-02 2.753755120619025970e-02 7.965407373691398007e-03 0.000000000000000000e+00
9.900000000000000000e+02 3.960004230145375281e-01 9.144287664997724496e-01 5.166135639508420696e-02 2.708238507055074976e-02 6.827492034592626616e-03 0.000000000000000000e+00
1.020000000000000000e+03 4.080004358331599246e-01 9.137460172963131066e-01 4.893035958124715423e-02 2.935821574874829254e-02 7.965407373691398007e-03 0.000000000000000000e+00
1.050000000000000000e+03 4.200004486517820990e-01 9.234182976786526886e-01 4.472007282658170546e-02 2.457897132453345374e-02 7.168866636322257339e-03 1.137915339098771066e-04
1.080000000000000000e+03 4.320004614704044954e-01 9.182976786527082824e-01 4.733727810650887463e-02 2.787892580791988956e-02 6.486117432862995025e-03 0.000000000000000000e+00
1.110000000000000000e+03 4.440004742890268918e-01 9.231907146108329076e-01 4.392353208921256219e-02 2.662721893491124328e-02 6.258534365043240920e-03 0.000000000000000000e+00
1.140000000000000000e+03 4.560004871076492883e-01 9.223941738734637852e-01 4.380974055530268557e-02 2.628584433318160996e-02 7.510241238051888930e-03 0.000000000000000000e+00
1.170000000000000000e+03 4.680004999262716847e-01 9.259217114246700575e-01 4.130632680928538608e-02 2.810650887573964626e-02 4.665452890304961318e-03 0.000000000000000000e+00
1.200000000000000000e+03 4.800005127448938591e-01 9.283113336367774249e-01 4.267182521620391245e-02 2.503413746017296368e-02 3.982703686845699004e-03 0.000000000000000000e+00
1.230000000000000000e+03 4.920005255635162555e-01 9.281975421028675344e-01 3.971324533454710648e-02 2.605826126536185672e-02 6.030951297223486815e-03 0.000000000000000000e+00
1.260000000000000000e+03 5.040005383821386520e-01 9.318388711879835862e-01 3.755120619025944378e-02 2.639963586709149004e-02 4.210286754665453109e-03 0.000000000000000000e+00
1.290000000000000000e+03 5.160005512007610484e-01 9.297906235776057793e-01 3.834774692762858705e-02 2.537551206190259354e-02 6.486117432862995025e-03 0.000000000000000000e+00
1.320000000000000000e+03 5.280005640193832228e-01 9.330905780609922706e-01 3.664087391898043083e-02 2.457897132453345374e-02 5.689576695493855224e-03 0.000000000000000000e+00
1.350000000000000000e+03 5.400005768380056193e-01 9.409421939007738267e-01 3.345471096950387163e-02 2.093764223941738806e-02 4.551661356395083832e-03 1.137915339098771066e-04
1.380000000000000000e+03 5.520005896566280157e-01 9.404870277651342647e-01 3.402366863905325473e-02 2.093764223941738806e-02 4.551661356395083832e-03 0.000000000000000000e+00
