# rg size
9.636392087137344298e-01 3.000000000000000000e+00
7.215368262836472368e-01 2.000000000000000000e+00
1.227526403935834454e+00 6.000000000000000000e+00
7.233079103904346274e-01 2.000000000000000000e+00
7.876909540552101685e-01 2.000000000000000000e+00
1.227399722574049168e+00 6.000000000000000000e+00
1.284480291630872850e+00 7.000000000000000000e+00
7.729271239903916513e-01 2.000000000000000000e+00
8.412140275620162422e-01 2.000000000000000000e+00
9.665130541670660103e-01 4.000000000000000000e+00
1.085599401867170410e+00 3.000000000000000000e+00
7.423985939733738215e-01 2.000000000000000000e+00
6.776409277781425544e-01 2.000000000000000000e+00
7.060805551308133587e-01 2.000000000000000000e+00
8.504397029990917733e-01 3.000000000000000000e+00
1.594809614198757775e+00 6.000000000000000000e+00
7.443453658529151085e-01 2.000000000000000000e+00
8.507335187769008433e-01 3.000000000000000000e+00
1.155924269869856635e+00 3.000000000000000000e+00
8.851362655087107179e-01 3.000000000000000000e+00
1.297247818610220538e+00 3.000000000000000000e+00
7.974672198952589275e-01 3.000000000000000000e+00
6.851423086728309908e-01 2.000000000000000000e+00
1.168202600018209747e+00 3.000000000000000000e+00
7.349607513332907516e-01 2.000000000000000000e+00
7.687874458414134526e-01 2.000000000000000000e+00
1.208495826422649522e+00 5.000000000000000000e+00
7.953236162444899948e-01 3.000000000000000000e+00
1.158092549761683410e+00 5.000000000000000000e+00
7.479623992003009425e-01 2.000000000000000000e+00
8.522347478727064773e-01 3.000000000000000000e+00
7.634905282105745039e-01 2.000000000000000000e+00
2.522377767016781736e+00 2.100000000000000000e+01
7.252028371429262155e-01 2.000000000000000000e+00
1.471026411149247481e+00 6.000000000000000000e+00
7.279426373692006180e-01 2.000000000000000000e+00
1.198979915799973206e+00 4.000000000000000000e+00
8.147201354977002818e-01 3.000000000000000000e+00
1.530223534300220622e+00 6.000000000000000000e+00
1.422500445815918280e+00 4.000000000000000000e+00
7.701412455953001723e-01 2.000000000000000000e+00
7.243983386234308375e-01 2.000000000000000000e+00
2.045927447807718291e+00 1.500000000000000000e+01
9.062327569223022072e-01 3.000000000000000000e+00
2.522668421210811918e+00 2.100000000000000000e+01
1.105076253980570744e+00 3.000000000000000000e+00
7.600769692386937226e-01 2.000000000000000000e+00
6.818245469329594632e-01 2.000000000000000000e+00
8.295647360268967319e-01 3.000000000000000000e+00
7.193403146867106690e-01 2.000000000000000000e+00
2.040669558387951721e+00 7.000000000000000000e+00
6.716021690707860703e-01 2.000000000000000000e+00
1.049195062505276388e+00 3.000000000000000000e+00
8.530123056302842954e-01 3.000000000000000000e+00
8.634477029137461734e-01 2.000000000000000000e+00
7.366061099169001203e-01 2.000000000000000000e+00
7.139616652875070413e-01 2.000000000000000000e+00
9.148565782356141707e-01 3.000000000000000000e+00
8.013636625572205796e-01 2.000000000000000000e+00
7.896525394125302189e-01 2.000000000000000000e+00
7.260973830464876322e-01 2.000000000000000000e+00
