# time ep bcc_intrp hcp_intrp
0.000000000000000000e+00 1.903201484076497022e-04 2.796671777678395667e-14 1.271507269275942643e-14
2.000000000000000000e+00 1.946675495035764963e-04 -2.421086731886176930e-08 -2.388162232770440167e-08
4.000000000000000000e+00 1.247658285039877891e-04 -3.993345454531611570e-08 -3.939001028487285082e-08
6.000000000000000000e+00 1.565424471056834699e-04 -4.802862745265326519e-08 -4.737558543171954128e-08
8.000000000000000000e+00 3.197946916953288161e-05 -4.964655577810280384e-08 -4.897118026272151599e-08
1.000000000000000000e+01 2.149030289718015328e-04 -4.613422943533880852e-08 -4.550687405009248757e-08
1.200000000000000000e+01 1.669602944542358022e-04 -3.893333995794065624e-08 -3.840341097626015315e-08
1.400000000000000000e+01 1.533832226877289255e-04 -2.947875702378015296e-08 -2.907772717174721251e-08
1.600000000000000000e+01 1.072204763852149063e-04 -1.910698309711262337e-08 -1.884660043446428331e-08
1.800000000000000000e+01 1.247151555424899812e-04 -8.975293342525257838e-09 -8.852697170351329922e-09
2.000000000000000000e+01 2.211923067194979369e-04 1.985363522655871067e-12 2.048436396213706404e-12
2.200000000000000000e+01 1.325468092572153721e-04 7.192243419334504562e-09 7.093608762076056795e-09
2.400000000000000000e+01 2.495119754381896430e-04 1.225532932236402096e-08 1.208700588221045972e-08
2.600000000000000000e+01 1.512239658780104110e-04 1.512215005834695751e-08 1.491431179697109013e-08
2.800000000000000000e+01 2.437417169261716504e-04 1.594905345085996748e-08 1.572979954514618426e-08
3.000000000000000000e+01 2.038780373848315605e-04 1.505643726895092675e-08 1.484872284202744597e-08
3.200000000000000000e+01 1.553767076308697377e-04 1.286463033474715199e-08 1.268740277306176725e-08
3.400000000000000000e+01 3.251165241939199015e-05 9.836565451451057060e-09 9.701155123324220303e-09
3.600000000000000000e+01 2.038996850688777184e-04 6.425569045838652736e-09 6.337337484959696681e-09
3.800000000000000000e+01 2.220306601098530775e-04 3.037133323631384658e-09 2.995161417206986966e-09
4.000000000000000000e+01 7.619829419032854260e-05 -1.323622532493255708e-12 -1.536122683885976271e-12
4.200000000000000000e+01 1.602772082573246989e-04 -2.458391750387439783e-09 -2.424699681112363881e-09
4.400000000000000000e+01 1.433988013061922827e-04 -4.203900114825396364e-09 -4.147113343798954920e-09
4.600000000000000000e+01 1.523457463421858810e-04 -5.203571811551167601e-09 -5.133420732791571599e-09
4.800000000000000000e+01 2.053949069850233462e-04 -5.502796471886172650e-09 -5.429266999145775631e-09
5.000000000000000000e+01 1.754787233755432385e-04 -5.206535307395829968e-09 -5.137254628194993847e-09
5.200000000000000000e+01 1.498316658543321842e-04 -4.456755240768199860e-09 -4.397274930886669679e-09
5.400000000000000000e+01 2.878588992972597009e-04 -3.412475090822135673e-09 -3.366784634623913958e-09
5.600000000000000000e+01 2.184969683411445637e-04 -2.231293397710292000e-09 -2.201364062539089442e-09
5.800000000000000000e+01 1.066567497742566817e-04 -1.055119917979740422e-09 -1.040563693645812891e-09
6.000000000000000000e+01 1.180457178103569427e-04 7.386345714342633545e-13 5.652779919730416048e-13
6.200000000000000000e+01 2.239176214621214737e-04 8.544558357709709191e-10 8.423286077107509133e-10
6.400000000000000000e+01 1.175670824435136666e-04 1.460443747775693270e-09 1.439762808322618241e-09
6.600000000000000000e+01 2.221271444400249595e-04 1.806395447680108780e-09 1.780646773351836895e-09
6.800000000000000000e+01 1.331194227346022170e-04 1.908710584547688272e-09 1.880896431500097425e-09
7.000000000000000000e+01 1.247103198316092121e-04 1.804592853300702674e-09 1.778085511213729831e-09
7.200000000000000000e+01 1.147178871872176452e-04 1.543723402023498192e-09 1.521326726388472029e-09
7.400000000000000000e+01 1.672371330051040939e-04 1.181553308536920961e-09 1.164393722687312709e-09
7.600000000000000000e+01 2.082128100278288207e-04 7.724529802592059309e-10 7.615721937016591140e-10
7.800000000000000000e+01 2.022841036950526021e-04 3.653080801327760138e-10 3.601556353443681304e-10
8.000000000000000000e+01 1.492653943145983222e-04 -2.901119668800681950e-13 -4.633488243525915920e-13
8.200000000000000000e+01 2.902131710336222636e-04 -2.964884821590303498e-10 -2.929998034616474244e-10
8.400000000000000000e+01 1.610054376028546494e-04 -5.073422900921541175e-10 -5.006281908743849760e-10
8.600000000000000000e+01 9.101582391116309900e-05 -6.283890046635502328e-10 -6.211318463063293803e-10
8.800000000000000000e+01 1.074088168276678135e-04 -6.650292347481871262e-10 -6.576368149258215381e-10
9.000000000000000000e+01 4.878996434505046553e-05 -6.295408360978715150e-10 -6.226488774615749060e-10
9.200000000000000000e+01 8.816053170812663403e-05 -5.390341618728984875e-10 -5.333912469594110828e-10
9.400000000000000000e+01 2.156858442947887783e-04 -4.127499025523317122e-10 -4.081112323219881059e-10
9.600000000000000000e+01 2.387231098915807911e-04 -2.699300395037466295e-10 -2.671015912136112066e-10
9.800000000000000000e+01 1.680081903203210075e-04 -1.276275983853856179e-10 -1.260511072398634490e-10
1.000000000000000000e+02 8.898489363751930364e-05 1.170963441317474227e-13 2.609306954451492229e-13
1.020000000000000000e+02 2.000054250951973853e-04 1.031578171402791390e-10 1.017161654557551804e-10
1.040000000000000000e+02 1.511180657513318953e-04 1.762929070941007359e-10 1.732558756314580811e-10
1.060000000000000000e+02 1.913795095816244948e-04 2.176754391758122005e-10 2.137996933951951519e-10
1.080000000000000000e+02 3.202654982749049764e-04 2.298914662214523285e-10 2.252236801487086211e-10
1.100000000000000000e+02 2.793259722081303797e-04 2.170907191689240895e-10 2.121888819489169512e-10
1.120000000000000000e+02 2.311267214976609960e-04 1.855826561507131886e-10 1.815166233487848987e-10
1.140000000000000000e+02 1.953205344291048320e-04 1.420467016050925107e-10 1.387204873984752772e-10
1.160000000000000000e+02 1.704861010823240097e-04 9.284915708340860767e-11 9.090601574525687042e-11
1.180000000000000000e+02 2.869928349994443906e-04 4.390173814718547438e-11 4.307542924888077730e-11
1.200000000000000000e+02 1.906259849399046316e-04 -1.061345086241587584e-13 6.053280218346802722e-14
1.220000000000000000e+02 2.345677945081066362e-04 -3.582037644910471397e-11 -3.569463516315588465e-11
1.240000000000000000e+02 2.054700951551156896e-04 -6.136531621291348602e-11 -6.140463283328989814e-11
1.260000000000000000e+02 2.646711030139959481e-04 -7.611583755364554079e-11 -7.655775514880353166e-11
1.280000000000000000e+02 2.940469476027706211e-04 -8.078216048493305485e-11 -8.166582145877959556e-11
1.300000000000000000e+02 2.186650921851135410e-04 -7.652957509342261836e-11 -7.752463962726942789e-11
1.320000000000000000e+02 4.105629850264819886e-05 -6.566056256510483429e-11 -6.652140466709140123e-11
1.340000000000000000e+02 6.935413945694315907e-05 -5.033485009456252884e-11 -5.104376874973499685e-11
1.360000000000000000e+02 2.181967507564538944e-04 -3.279775272679759921e-11 -3.308125153532850822e-11
1.380000000000000000e+02 2.669500361721912837e-04 -1.552212054331915261e-11 -1.558959651496617007e-11
1.400000000000000000e+02 2.165937509126933044e-04 1.427892655575579670e-14 -2.173771252791942928e-13
1.420000000000000000e+02 2.318581105719705673e-04 1.250388568796458781e-11 1.201233938390565723e-11
1.440000000000000000e+02 1.716951503126272829e-04 2.120789665678079310e-11 2.041731769659090271e-11
1.460000000000000000e+02 2.234944906712114238e-04 2.609772876251001281e-11 2.488398526472271364e-11
1.480000000000000000e+02 1.381908985971444515e-04 2.745776046052024073e-11 2.512801070432925984e-11
1.500000000000000000e+02 2.495854849836635567e-04 2.585642593941956025e-11 2.313891367553882830e-11
1.520000000000000000e+02 2.180411876137140423e-04 2.189025837511854485e-11 1.954220036515587447e-11
1.540000000000000000e+02 2.223461063740328481e-04 1.681045842681078575e-11 1.496269122197814547e-11
1.560000000000000000e+02 2.615711751850760200e-04 1.098618559496363243e-11 1.008273585167090962e-11
1.580000000000000000e+02 1.345762219546742244e-04 5.213086382564437739e-12 5.129822219345182618e-12
1.600000000000000000e+02 1.647269542989788366e-04 -8.219084680282838838e-14 4.687832680458611823e-14
1.620000000000000000e+02 2.425526304069593186e-04 -4.388216684454847426e-12 -4.881764441979054303e-12
1.640000000000000000e+02 2.709243026962383782e-04 -7.477778816012342764e-12 -8.689653676704217372e-12
1.660000000000000000e+02 2.524996077049694587e-04 -9.407397938208212514e-12 -1.120648770012405056e-11
1.680000000000000000e+02 3.381852817275297213e-04 -9.978444807157536875e-12 -1.180676032543409277e-11
1.700000000000000000e+02 2.151320558977896924e-04 -9.588339271694110786e-12 -1.208243014974032419e-11
1.720000000000000000e+02 2.714373512544658584e-04 -8.294570194934558763e-12 -1.010036377310413450e-11
1.740000000000000000e+02 1.656129415836607444e-04 -6.352126156432745844e-12 -7.680122047410303254e-12
1.760000000000000000e+02 2.514903923627864052e-04 -4.131134823039739818e-12 -4.537030719683650951e-12
1.780000000000000000e+02 2.052930429014138136e-04 -1.887068857501269309e-12 -2.717681448248835436e-12
