# size duration
1.400000000000012346e-03 2.377239391885375142e+00
1.500000000000001332e-03 2.355483220500328212e+00
2.000000000000057288e-04 5.424847391994153806e-02
1.599999999999990319e-03 7.637078095497478181e+00
3.000000000000224709e-04 7.699802712168805907e-02
1.000000000000000888e-03 5.527453253516687592e-01
1.599999999999990319e-03 2.980716899493770278e+00
1.700000000000034817e-03 2.563161508948109901e+00
1.199999999999978861e-03 7.686780213127286654e-01
3.399999999999958611e-03 4.496456103125628267e+00
1.500000000000001332e-03 3.224050606552605558e+00
1.599999999999990319e-03 3.946199492315540347e+00
9.000000000000119016e-04 3.167560827329941042e-01
1.500000000000001332e-03 2.544860522321595209e+00
1.899999999999957279e-03 7.508672909115970739e+00
6.999999999999784173e-04 2.392536369308260746e-01
1.500000000000001332e-03 2.673403695742124775e+00
5.999999999999894307e-04 1.731366963507526002e-01
6.000000000000449418e-04 1.443788881537211577e-01
9.000000000000119016e-04 2.294827705565412601e-01
1.599999999999990319e-03 1.820791845302491385e+00
1.599999999999934808e-03 2.764875143310351113e+00
1.299999999999967848e-03 1.019068920655123778e+00
2.999999999999669598e-04 6.542508688428430585e-02
1.600000000000045830e-03 2.672460392113422234e+00
3.999999999999559464e-04 8.755683080867875112e-02
1.800000000000023803e-03 1.617820419400574306e+00
2.500000000000057732e-03 2.890074203849248402e+00
4.999999999999449329e-04 1.116982127324663981e-01
1.199999999999978861e-03 7.035008373856553865e-01
1.599999999999934808e-03 2.331582735014673169e+00
1.300000000000078870e-03 1.085547614468461930e+00
5.000000000000559552e-04 1.219564868989026080e-01
2.900000000000013678e-03 4.637681142617911867e+00
1.099999999999989875e-03 5.920540276093549936e-01
1.499999999999945821e-03 1.283318580429240408e+00
1.500000000000056843e-03 1.488133716146586183e+00
1.399999999999956835e-03 9.801313155637643160e-01
