# w mse
3.000000000000000000e+00 2.369898670434540319e-02
5.000000000000000000e+00 5.695585352199738355e-02
9.000000000000000000e+00 1.425168082217234400e-01
1.700000000000000000e+01 3.209466548631684790e-01
3.300000000000000000e+01 6.728456172633978660e-01
6.500000000000000000e+01 1.364484954080229961e+00
1.290000000000000000e+02 2.624816752020294519e+00
2.570000000000000000e+02 4.767661343151217146e+00
5.130000000000000000e+02 8.392451326750707707e+00
1.025000000000000000e+03 1.454751120156905841e+01
2.049000000000000000e+03 2.112844342085417892e+01
4.097000000000000000e+03 2.826452738924112751e+01
8.193000000000000000e+03 3.096742836527151610e+01
