# size duration
6.000000000000000000e+00 1.793863332818994349e+00
2.000000000000000000e+00 1.901373866341149466e-03
2.000000000000000000e+00 1.323856737428763530e-02
4.000000000000000000e+00 1.093587021170128182e-02
4.000000000000000000e+00 2.206243660765938586e-02
2.000000000000000000e+00 1.934626311878906435e-03
2.000000000000000000e+00 8.374078565686726705e-03
2.000000000000000000e+00 3.093126171912707889e-03
2.000000000000000000e+00 2.356084745758657562e-03
4.000000000000000000e+00 6.056746893244424612e-03
2.000000000000000000e+00 1.817244428693909342e-03
4.000000000000000000e+00 1.289255533522681851e-02
2.000000000000000000e+00 1.279520106757625619e-02
2.000000000000000000e+00 8.926841928100781587e-04
2.000000000000000000e+00 2.973028720691939242e-04
8.000000000000000000e+00 6.899472216778734790e-02
2.000000000000000000e+00 3.230305495741880861e-03
2.000000000000000000e+00 1.053817864757666811e-03
2.000000000000000000e+00 3.239356023118089567e-03
4.000000000000000000e+00 1.960726963101233622e-02
6.000000000000000000e+00 3.087900442472779616e-02
4.000000000000000000e+00 3.078087057154643702e-02
4.000000000000000000e+00 1.193026649364004044e-02
2.000000000000000000e+00 3.340307093566252661e-03
4.000000000000000000e+00 1.498505564703611626e-02
4.000000000000000000e+00 2.954104630858100933e-03
2.000000000000000000e+00 5.025812131644435965e-03
4.000000000000000000e+00 8.712794314181593336e-03
4.000000000000000000e+00 1.684963078735890463e-03
2.000000000000000000e+00 1.156122830057171313e-04
2.000000000000000000e+00 8.053353361792581211e-03
6.000000000000000000e+00 2.020256900240990916e-02
4.000000000000000000e+00 1.271377841612375548e-02
4.000000000000000000e+00 7.629715941698478332e-03
2.000000000000000000e+00 6.417211659121235812e-03
4.000000000000000000e+00 4.819995361943663070e-02
4.000000000000000000e+00 1.436456658171225698e-02
4.000000000000000000e+00 1.560218951896663597e-02
4.000000000000000000e+00 2.598232851608273108e-02
2.000000000000000000e+00 1.356643364780918404e-03
4.000000000000000000e+00 9.750511776740466985e-03
4.000000000000000000e+00 1.133708536306965442e-02
2.000000000000000000e+00 3.145016138241807369e-03
4.000000000000000000e+00 1.333287016456452534e-02
4.000000000000000000e+00 9.861922688249258329e-03
8.000000000000000000e+00 4.318197343291174661e-02
2.000000000000000000e+00 1.211138596612570950e-02
2.000000000000000000e+00 9.324790008310657186e-03
4.000000000000000000e+00 1.309638281616365418e-02
4.000000000000000000e+00 1.375439839921277496e-02
6.000000000000000000e+00 1.773337742995906297e-02
2.000000000000000000e+00 7.911237217395949983e-03
2.000000000000000000e+00 9.487453854211125304e-04
4.000000000000000000e+00 1.260224982229907198e-02
8.000000000000000000e+00 5.148911623824137251e-02
6.000000000000000000e+00 3.561502665351490293e-02
2.000000000000000000e+00 8.508766344541562887e-03
2.000000000000000000e+01 2.325752902038516368e+00
8.000000000000000000e+00 5.846193863123527734e-02
2.000000000000000000e+00 5.525778962016225648e-03
8.000000000000000000e+00 2.922787519459912886e-02
2.000000000000000000e+00 5.563053991856747871e-03
2.000000000000000000e+00 1.742073276908939761e-02
4.000000000000000000e+00 3.550709701972376564e-02
1.800000000000000000e+01 4.909834794783504819e+00
2.000000000000000000e+00 5.140450661981210700e-03
6.000000000000000000e+00 1.876943422306962539e-01
2.000000000000000000e+00 9.237113515156769594e-03
2.000000000000000000e+00 1.795303142805737551e-03
1.600000000000000000e+01 6.546659218583654738e-01
2.000000000000000000e+00 9.726877690585222780e-03
6.000000000000000000e+00 2.396919977318012762e-02
4.000000000000000000e+00 2.953310176699242007e-02
4.000000000000000000e+00 1.869035141370845032e-02
4.000000000000000000e+00 2.594767263848352101e-02
2.000000000000000000e+00 1.387294429981200672e-02
4.000000000000000000e+00 1.496123433416918225e-02
2.000000000000000000e+00 2.035844074143255966e-03
2.000000000000000000e+00 3.992883238563393888e-03
2.000000000000000000e+00 6.355887413205252301e-03
2.000000000000000000e+00 6.514269948932671639e-03
2.000000000000000000e+00 2.280240958347334868e-03
2.000000000000000000e+00 1.731929534884102395e-03
4.000000000000000000e+00 1.418115624269278285e-02
4.000000000000000000e+00 3.250915531566755945e-02
2.000000000000000000e+00 5.674496166224063387e-03
4.000000000000000000e+00 5.936546162996769738e-03
1.000000000000000000e+01 4.584289269328856165e-02
8.000000000000000000e+00 1.296259878316536884e-01
4.000000000000000000e+00 4.958781153399405284e-02
2.000000000000000000e+00 3.878872108350250869e-03
1.000000000000000000e+01 3.887399726505340603e-01
4.000000000000000000e+00 3.773518889589366765e-02
6.000000000000000000e+00 3.174208245428822295e-02
1.400000000000000000e+01 1.499365752623265990e+00
8.000000000000000000e+00 6.911123399908869480e-02
6.000000000000000000e+00 5.387222117108758646e-02
4.000000000000000000e+00 5.379509539416460484e-02
6.000000000000000000e+00 1.142348152878940315e-01
6.000000000000000000e+00 6.346111022390399370e-02
6.000000000000000000e+00 4.075593465834992379e-02
4.000000000000000000e+00 1.021151127097241762e-02
6.000000000000000000e+00 3.567940658224988404e-02
2.000000000000000000e+00 3.549294281095738413e-03
1.600000000000000000e+01 1.265269726744946643e+00
4.000000000000000000e+00 1.531774697804189067e-02
4.000000000000000000e+00 8.216990093488529823e-03
1.600000000000000000e+01 7.007230954148526703e-01
4.000000000000000000e+00 4.397526947551355647e-03
