# rg size
1.087175083688152810e+01 4.000000000000000000e+01
1.327825716988157723e+01 6.390000000000000000e+02
1.342748799395629788e+01 6.460000000000000000e+02
1.329798167753268601e+01 6.390000000000000000e+02
1.344943156670142592e+01 6.460000000000000000e+02
1.332471584576388679e+01 6.390000000000000000e+02
1.348412712963901505e+01 6.460000000000000000e+02
1.336590542329041398e+01 6.390000000000000000e+02
1.351843149217180517e+01 6.460000000000000000e+02
1.338837151815799764e+01 6.390000000000000000e+02
1.354493608453216247e+01 6.460000000000000000e+02
1.361231329285986291e+01 5.940000000000000000e+02
1.348146950458968618e+01 6.080000000000000000e+02
1.029533107184625429e+01 1.620000000000000000e+02
1.034158581030065172e+01 1.640000000000000000e+02
1.365411387595935366e+01 5.910000000000000000e+02
1.352369060146311952e+01 6.050000000000000000e+02
1.020328843899273785e+01 1.630000000000000000e+02
1.019332282179428084e+01 1.620000000000000000e+02
1.370126294111171816e+01 5.840000000000000000e+02
1.338642146229862995e+01 5.960000000000000000e+02
7.182475969678101535e-01 2.000000000000000000e+00
1.326854077012836797e+01 4.000000000000000000e+00
1.043950811170745574e+01 1.840000000000000000e+02
1.013837157611887108e+01 1.680000000000000000e+02
1.451514634145860683e+01 2.760000000000000000e+02
1.260656420222970375e+01 3.610000000000000000e+02
1.543215276262308322e+01 2.760000000000000000e+02
1.015104582915321352e+01 7.000000000000000000e+01
1.010214305655825839e+01 1.600000000000000000e+01
1.158441659937798462e+01 7.600000000000000000e+01
1.060495981851039637e+01 1.140000000000000000e+02
9.959675041134522289e+00 6.900000000000000000e+01
6.373255952182857342e+00 1.100000000000000000e+01
1.504141496080022344e+00 6.000000000000000000e+00
9.245722756304026291e+00 1.150000000000000000e+02
2.544495290954708722e+00 1.600000000000000000e+01
6.612341290675398220e+00 6.400000000000000000e+01
1.376494827200631121e+01 3.400000000000000000e+01
7.557613171498882565e-01 2.000000000000000000e+00
2.480600569745388118e+00 1.700000000000000000e+01
7.186389763528706620e-01 2.000000000000000000e+00
1.181533809738808616e+00 3.000000000000000000e+00
8.226697148783327362e-01 3.000000000000000000e+00
1.370586944559977205e+01 6.220000000000000000e+02
1.352193246343927591e+01 5.970000000000000000e+02
1.033697091432731874e+01 2.500000000000000000e+01
1.016210420453263374e+01 7.000000000000000000e+00
2.152094537843398658e+00 2.400000000000000000e+01
1.166819974291379580e+01 2.000000000000000000e+00
1.377231333934146740e+01 6.180000000000000000e+02
1.347301526071418110e+01 6.060000000000000000e+02
1.213952551097950838e+01 7.200000000000000000e+01
9.132170529658644398e+00 9.000000000000000000e+00
2.310600958224014789e+00 3.100000000000000000e+01
1.355508438057681175e+01 5.830000000000000000e+02
1.362098521466752388e+01 5.840000000000000000e+02
1.579521771766208715e+01 2.890000000000000000e+02
7.424575577594427322e+00 8.000000000000000000e+00
