# drho_hcp drho_bcc avalancheSize
1.825521301608047653e-01 2.316632202621425052e-01 1.011490700969434364e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.198148290732341789e-02
-2.245280779958891415e-04 6.575509927994561618e-05 2.936590144176240424e-02
1.151142746190769728e-04 -5.630546777737909826e-05 2.550496337997399179e-02
-3.542540240315500411e-02 7.754850741743280276e-03 1.024182149308405698e+01
-2.214935689007740960e-03 -7.284184814949808129e-04 5.093551045115551901e-01
2.276165506334332234e-03 -1.489281674188641397e-03 1.160979123111351430e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.253885434886679688e-02
-2.779115735645432128e-02 9.388774848127804870e-04 2.042666513962263508e+00
-7.035744294936197019e-04 -1.027274504979847763e-03 1.006055084940680050e-01
1.642444952238142353e-04 2.314982378142059483e-04 2.604680827162609430e-02
3.370597877417000343e-02 7.935633468555101933e-06 8.282779905583657065e-01
-2.134011755000972399e-02 8.308704950825323080e-04 3.803282198137353021e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.700082488906804606e-02
3.850791862786140385e-05 -7.300342818873477302e-05 2.943225627909781469e-02
-2.410135605255445124e-02 -1.982486537496951778e-03 7.067229052496452057e-01
-4.436405908950308286e-03 1.681171066664394025e-03 8.507585473398330267e-01
7.607075259300488668e-03 8.857745490130439908e-05 8.923959818496483010e-01
-2.014695552205542084e-03 1.425141320991777857e-03 4.075433733053495655e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.381884220246277183e-02
-3.090533552159158148e-04 2.740792359770746756e-04 4.352743482630757471e-02
5.747940047812760689e-04 2.825880277377342681e-04 4.110425348430424286e-02
3.129065050414825411e-04 2.227755476349478625e-03 1.450048800796257087e+00
1.822321399821968946e-05 -3.047228355132752114e-04 3.160444178674185617e-02
-6.845279296552320147e-05 -2.103472888163801513e-04 4.156530501974593089e-02
8.297225709086308854e-05 1.908886725443190158e-05 2.717601632544206988e-02
1.433403602201260840e-03 -9.243049681387383726e-04 8.307674740766389787e-01
4.945633121163500734e-03 3.821525782499134161e-04 2.859446668991029172e-01
-9.388406383636721531e-03 2.396956947699757645e-04 3.840636550083815770e-01
-1.799382643480618160e-04 -1.039892746012398284e-04 6.272361983987026490e-02
2.306675427332513517e-02 4.263856037453189751e-04 1.032166823252452348e+00
4.905689742594171454e-03 -3.525299234250125341e-04 1.350707843391682483e-01
1.621429256139783615e-04 -3.288181852826406112e-04 1.231676299079881021e-01
-4.143408929184511091e-02 -9.640322495844929132e-04 2.436580370442361421e+00
-1.553251638193253736e-03 -1.960539470311079002e-04 1.829536834739744766e-01
-1.431508640150069844e-03 4.501931435577002233e-05 1.217974917371970472e-01
-7.749607415705184188e-05 3.507745106334971691e-04 9.408110663571989107e-02
3.512036239444932262e-03 4.515000059983429598e-05 2.257449647198497555e-01
-1.633861165794558978e-04 1.401775343885256278e-04 2.895200529669390843e-02
-1.097738924657476467e-05 -3.662337036507328294e-04 1.179923323721590589e-01
9.054468009983551724e-05 -2.345138534130819519e-05 6.623659038282606049e-02
2.242763925094953814e-03 -2.651940355787377190e-04 1.083245592280222408e-01
2.245186567023521595e-03 -4.832206025988175502e-04 6.489360662631242505e-02
4.399622642957623508e-03 3.441801908404124033e-06 1.081571172262490332e+00
9.660285621233555275e-04 -4.215652924148723113e-04 1.892825221803980107e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.227666079828669023e-02
-2.410850225862987140e-03 2.221558537340477882e-03 1.020114308217065835e+00
4.054402715677751790e-04 -3.555324044205160697e-03 1.289328563963828778e+00
-5.026403018204284034e-04 1.430167336020134877e-05 3.170841080490186675e-02
0.000000000000000000e+00 0.000000000000000000e+00 1.372547013043323716e-02
1.982932552239968782e-04 -1.159581364900642494e-04 3.276729032730080204e-02
-9.681312687202514589e-04 -3.986453139161313594e-04 7.338781424106838314e-02
-4.904916411818671662e-05 2.349200989172871290e-04 4.275765601421818024e-02
3.227527490314574532e-04 -2.558664315604995687e-04 2.537156537382330088e-02
8.856412144875314141e-06 -3.556154839379514418e-04 2.749947760846686851e-02
5.944667093406816316e-02 5.582140993330214282e-04 1.691865327345346559e+00
2.070092914968318931e-03 -3.557599962366649743e-04 3.936266042673058352e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.233092470294732887e-02
-4.293292153930555743e-02 6.074444129028174454e-03 2.413669137370965778e+00
8.889135326644592716e-04 -7.532596699314289546e-04 7.210700807523989786e-02
-2.769122350266214894e-02 -6.487467875585101185e-04 2.181376569201471938e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.227675011459733803e-02
4.293284631210897428e-03 6.305825508627731224e-04 1.431137205375695443e-01
8.178047387341624841e-07 5.951239952173108250e-05 5.311086260187701524e-02
-1.035897617549733085e-02 -4.386633374498486067e-03 2.170703489688083021e+00
-1.362608063998349550e-04 -3.978351024300132849e-05 2.617110409394556719e-02
-3.164845320652032168e-04 -1.374302302754679822e-04 7.865722362421861957e-02
3.977526434034706071e-05 -2.213942527622397155e-06 5.688384129143989054e-02
-1.009285489368016986e-03 2.811195370317036424e-04 1.675140652674604047e-01
