# w mse
3.000000000000000000e+00 9.075997314701535808e-04
5.000000000000000000e+00 3.220072023557783800e-03
9.000000000000000000e+00 1.148646817619888155e-02
1.700000000000000000e+01 4.185249337393225078e-02
3.300000000000000000e+01 1.429528908797546849e-01
6.500000000000000000e+01 3.910575490886890049e-01
1.290000000000000000e+02 8.713099416642363648e-01
2.570000000000000000e+02 2.316582060722379932e+00
5.130000000000000000e+02 6.330374263655746958e+00
1.025000000000000000e+03 1.498320842742487535e+01
2.049000000000000000e+03 2.270544289714024089e+01
4.097000000000000000e+03 2.477713158445427410e+01
8.193000000000000000e+03 2.659761495142761945e+01
