# theta phi size
-5.599040371064698007e+01 7.580095874868422179e+00 5.000000000000000000e+00
1.792083597679811078e+02 9.329362464392275456e+01 2.000000000000000000e+00
-5.598033973267867225e+01 7.580950824870558158e+00 5.000000000000000000e+00
1.106002385209054495e+02 1.130521988583105326e+02 2.000000000000000000e+00
1.312557133308788764e+02 9.228921456264917822e+01 2.000000000000000000e+00
1.198133882540281689e+02 6.151739802231327303e+01 5.000000000000000000e+00
1.725288181750272543e+02 5.113396731118593408e+01 6.000000000000000000e+00
1.240095962893530270e+02 1.724199041251316089e+02 2.800000000000000000e+01
-7.916402320188650199e-01 8.670637535607724544e+01 1.300000000000000000e+01
1.240196602673213562e+02 1.724190491751294587e+02 3.900000000000000000e+01
-6.939976147909456472e+01 6.694780114168946739e+01 2.900000000000000000e+01
-4.874428666912111652e+01 8.771078543735083599e+01 1.200000000000000000e+01
-6.018661174597183106e+01 1.184826019776867270e+02 4.000000000000000000e+00
-7.471181824972744856e+00 1.288660326888140446e+02 2.800000000000000000e+01
-1.455326255418303276e+02 6.044906042135784929e+01 6.000000000000000000e+00
4.557147358580513696e+01 1.214681578680185083e+02 2.800000000000000000e+01
-4.036338438278219343e+01 5.237983757722675904e+01 2.400000000000000000e+01
2.079535679154461647e+01 9.671085286969804429e+01 6.000000000000000000e+00
-2.256782903146504893e+01 1.175644867658778736e+02 5.000000000000000000e+01
1.001697251266230211e+02 5.040475887394220678e+01 1.000000000000000000e+01
-1.455336108886617126e+02 6.044882660585312806e+01 4.500000000000000000e+01
1.349955577232891244e+02 5.979541522585733304e+01 2.800000000000000000e+01
1.470877592815676849e+02 9.131154030514969122e+01 2.200000000000000000e+01
-3.640920888565821656e+01 1.493337818616680579e+02 5.000000000000000000e+00
1.358416866935938287e+02 5.831538770865884658e+01 4.500000000000000000e+01
2.132286700382944034e+01 1.173314808024805700e+02 3.400000000000000000e+01
-5.756553809238347696e+01 6.494308015656973510e+01 1.700000000000000000e+01
4.987180837974203484e+01 5.549902818271124261e+01 1.300000000000000000e+01
-1.455377317721501527e+02 6.045214298228763283e+01 8.000000000000000000e+00
