# size duration
2.800000000000024691e-03 1.010790468889061905e-01
4.799999999999970957e-03 1.893846228514697028e-01
3.200000000000036149e-03 1.073064853258519913e-01
3.199999999999980638e-03 1.033087486212223710e-01
1.199999999999978861e-03 3.460313163904445155e-02
2.000000000000001776e-03 8.291562774796053248e-02
3.599999999999992095e-03 1.705580106486739855e-01
1.199999999999978861e-03 3.538269317584568502e-02
2.000000000000001776e-03 7.509456977437814484e-02
3.999999999999559464e-04 1.248423926049880596e-02
1.599999999999990319e-03 4.879866167437969804e-02
1.199999999999978861e-03 3.715531635559976564e-02
2.399999999999957723e-03 1.078362476678439708e-01
2.399999999999957723e-03 7.557203906778951763e-02
7.999999999999674039e-04 2.959428907960989785e-02
2.000000000000001776e-03 6.831538523345069558e-02
2.000000000000001776e-03 8.362587156362981389e-02
2.399999999999957723e-03 9.938279994286998431e-02
4.000000000000003553e-03 1.634928178371195528e-01
3.599999999999992095e-03 1.967016943485503377e-01
3.599999999999992095e-03 1.366663838058793101e-01
3.999999999999559464e-04 1.033072722874962823e-02
1.200000000000034373e-03 3.585818385805062541e-02
3.200000000000036149e-03 1.062385983494396335e-01
2.400000000000013234e-03 8.781998307030916551e-02
4.000000000000003553e-03 1.684057547201281146e-01
1.199999999999978861e-03 3.292971756336379036e-02
2.400000000000068745e-03 9.029656597620837333e-02
2.399999999999957723e-03 9.109131232071029927e-02
2.400000000000068745e-03 8.795262283455958230e-02
2.399999999999957723e-03 1.052044227080144584e-01
6.800000000000028244e-03 2.878598662033270972e-01
1.600000000000045830e-03 4.650639294369603161e-02
8.000000000000229150e-04 2.512197287852943606e-02
4.399999999999959499e-03 2.385165266791753613e-01
2.800000000000024691e-03 1.027067613323190964e-01
2.800000000000024691e-03 1.270167804538500089e-01
3.600000000000047606e-03 1.408451428401265859e-01
1.600000000000045830e-03 5.693036929476498476e-02
1.199999999999978861e-03 3.779507994083855515e-02
2.399999999999957723e-03 6.578981635024025443e-02
3.199999999999980638e-03 1.153505067960085007e-01
1.199999999999978861e-03 3.638276439697885056e-02
1.600000000000045830e-03 5.213638352137189153e-02
4.000000000000003553e-03 2.247189956831421587e-01
4.400000000000070521e-03 1.934515020287353726e-01
1.600000000000045830e-03 4.482592101543720481e-02
4.800000000000026468e-03 2.548192141755112328e-01
2.800000000000024691e-03 1.491327796408995487e-01
