# w mse
3.000000000000000000e+00 4.971492724036996255e-03
5.000000000000000000e+00 5.996580915856212536e-03
9.000000000000000000e+00 1.102953442928867288e-02
1.700000000000000000e+01 2.462128462300331236e-02
3.300000000000000000e+01 5.821689925170917684e-02
6.500000000000000000e+01 1.392073788175245685e-01
1.290000000000000000e+02 3.167607928371010684e-01
2.570000000000000000e+02 7.034989897651980906e-01
5.130000000000000000e+02 1.584977085378404649e+00
1.025000000000000000e+03 3.157197273536894500e+00
2.049000000000000000e+03 4.039473216293258950e+00
4.097000000000000000e+03 4.251791730423843063e+00
8.193000000000000000e+03 6.126153540442857093e+00
