# size duration
9.400000000000000000e+01 1.355985785711306235e+00
1.120000000000000000e+02 3.130142053999366514e+00
1.340000000000000000e+02 1.487785804385734378e+00
1.660000000000000000e+02 1.927763439247380584e+00
4.000000000000000000e+01 1.833916748788485540e-01
8.000000000000000000e+01 1.122920152645870751e+00
1.100000000000000000e+02 4.817617522405599040e+00
1.980000000000000000e+02 4.274935618915753466e+00
2.500000000000000000e+02 4.438254056841990369e+00
2.800000000000000000e+01 7.882467987636010420e-02
2.400000000000000000e+01 7.140504305052419731e-02
7.800000000000000000e+01 5.757445257105489045e-01
1.100000000000000000e+02 1.580287987698806518e+00
7.600000000000000000e+01 4.373427441677024685e-01
1.320000000000000000e+02 1.905770382178541666e+00
1.700000000000000000e+02 1.802700617477306366e+00
1.540000000000000000e+02 7.163018545166790485e-01
2.400000000000000000e+01 7.055911403350689781e-02
2.200000000000000000e+02 1.235654645626675485e+00
3.600000000000000000e+01 1.004947093070529540e-01
1.020000000000000000e+02 3.575825564437140613e-01
3.600000000000000000e+01 1.007016278146528609e-01
9.800000000000000000e+01 3.706334133092628047e-01
5.600000000000000000e+01 2.051516527029568771e-01
1.320000000000000000e+02 9.299087190986812246e-01
1.080000000000000000e+02 9.408185225247445160e-01
1.080000000000000000e+02 7.117184592683067912e-01
3.200000000000000000e+01 9.458703486295449991e-02
1.480000000000000000e+02 8.916720548424996728e-01
5.800000000000000000e+01 2.035191487269378818e-01
