# time ep bcc_intrp hcp_intrp
0.000000000000000000e+00 -1.022284456944813326e-04 8.881784197001252323e-14 4.547473508864641190e-13
1.250000000000000000e-01 -6.215138802628625714e-04 -5.330181487295249099e-07 -3.564477935924514895e-06
2.500000000000000000e-01 -9.928058128007492106e-05 -8.791641068484068455e-07 -5.879269963315891800e-06
3.750000000000000000e-01 -2.469155651757133619e-04 -1.057392738701423696e-06 -7.071134746183815878e-06
5.000000000000000000e-01 -3.111337318552700212e-04 -1.093020687292778348e-06 -7.309376030661951518e-06
6.250000000000000000e-01 1.317107002914023385e-04 -1.015703402273970823e-06 -6.792313683945394587e-06
7.500000000000000000e-01 5.227497740786091326e-04 -8.571747880381508367e-07 -5.732171075578662567e-06
8.750000000000000000e-01 3.574623458317416759e-04 -6.490291610816711909e-07 -4.340227462762413779e-06
1.000000000000000000e+00 4.170457883120219991e-04 -4.206848824850339952e-07 -2.813216440245014383e-06
1.125000000000000000e+00 -3.768834448927610350e-05 -1.976171208895038944e-07 -1.321504726092825877e-06
1.250000000000000000e+00 -1.468596924815478502e-05 3.584688101909705438e-11 2.404476617812179029e-10
1.375000000000000000e+00 -8.600986400885961714e-04 1.583499020796352852e-07 1.058903023931634380e-06
1.500000000000000000e+00 -3.427932584931397443e-04 2.698340733076065590e-07 1.804392297799495282e-06
1.625000000000000000e+00 3.529896528556678058e-04 3.329687228159627921e-07 2.226550748218869558e-06
1.750000000000000000e+00 2.652495607304446688e-04 3.511882677997846258e-07 2.348347209135681624e-06
1.875000000000000000e+00 6.791629105352365919e-04 3.315431893469167335e-07 2.216938753463182366e-06
2.000000000000000000e+00 5.949405297831511247e-04 2.832954777431950788e-07 1.894272713798272889e-06
2.125000000000000000e+00 5.850688997210526550e-04 2.166225918642794568e-07 1.448414252536167623e-06
2.250000000000000000e+00 -2.094201369564393372e-04 1.415147501404590002e-07 9.461796821597090457e-07
2.375000000000000000e+00 -3.936444923167239148e-04 6.689609932664097869e-08 4.472508408071007580e-07
2.500000000000000000e+00 -8.633849165966614447e-05 -2.444977553750504740e-11 -1.639932634134311229e-10
2.625000000000000000e+00 5.817911555914836129e-04 -5.414778669887709839e-08 -3.619698532020265702e-07
2.750000000000000000e+00 3.271846372270605097e-04 -9.261004052518728713e-08 -6.190265366967651062e-07
2.875000000000000000e+00 7.059503212710088217e-04 -1.146480030911334325e-07 -7.662454208912095055e-07
3.000000000000000000e+00 1.119616127574501671e-03 -1.212598892408323081e-07 -8.103255026981059927e-07
3.125000000000000000e+00 3.542415904328613876e-04 -1.147516304200735249e-07 -7.667054546800500248e-07
3.250000000000000000e+00 2.048987262707508035e-04 -9.824984736894748494e-08 -6.563152510352665558e-07
3.375000000000000000e+00 1.173939260580821389e-04 -7.524898393285184284e-08 -5.025426048632652964e-07
3.500000000000000000e+00 -1.812201467671780038e-04 -4.921900931265099643e-08 -3.286045284767169505e-07
3.625000000000000000e+00 1.897673375288655082e-04 -2.328531500950248301e-08 -1.554035975459555630e-07
3.750000000000000000e+00 -1.028001918436331069e-04 1.264410798285098281e-11 8.549250196665525436e-11
3.875000000000000000e+00 4.570650069869713200e-04 1.887273093359453924e-08 1.258232487089117058e-07
4.000000000000000000e+00 2.187396826008099898e-06 3.228053557791099593e-08 2.150569002878910396e-07
4.125000000000000000e+00 5.853324132897388433e-04 3.996518316284891625e-08 2.660190148162655532e-07
4.250000000000000000e+00 2.963434179747074897e-04 4.227842254067581962e-08 2.811052013385051396e-07
4.375000000000000000e+00 4.237928959161811789e-04 4.002716558204610919e-08 2.657727691257605329e-07
4.500000000000000000e+00 5.030949532253948218e-04 3.430079686950193718e-08 2.273645236527954694e-07
4.625000000000000000e+00 4.462038661129635181e-05 2.630888573662559793e-08 1.740237962621904444e-07
4.750000000000000000e+00 3.812252318486602891e-04 1.724567866290271922e-08 1.137794924943591468e-07
4.875000000000000000e+00 4.514067807490935308e-04 8.183643984693844686e-09 5.381866685638669878e-08
5.000000000000000000e+00 5.978440726488671100e-04 -5.968558980384841561e-12 -3.990408004028722644e-11
5.125000000000000000e+00 1.767153464285013686e-04 -6.698266830085231049e-09 -4.366398798083537258e-08
5.250000000000000000e+00 -5.238054926470954442e-05 -1.153033224454702577e-08 -7.471788876500795595e-08
5.375000000000000000e+00 1.980785056154505189e-04 -1.438614383175718103e-08 -9.255376198780140840e-08
5.500000000000000000e+00 5.809667358983882680e-04 -1.535891769322006439e-08 -9.794371180760208517e-08
5.625000000000000000e+00 7.598652967258142515e-04 -1.469750188221041753e-08 -9.272275747207459062e-08
5.750000000000000000e+00 8.673864010414048843e-04 -1.275220462559900625e-08 -7.940366231196094304e-08
5.875000000000000000e+00 5.791249725593632103e-04 -9.922780819238141703e-09 -6.080932735130772926e-08
6.000000000000000000e+00 5.620895138776591665e-04 -6.614323311282532813e-09 -3.975850404458469711e-08
6.125000000000000000e+00 4.126272253584277114e-04 -3.200543829962043674e-09 -1.879277533589629456e-08
6.250000000000000000e+00 2.335255976150373697e-04 3.028688411177427042e-12 1.733724275254644454e-11
6.375000000000000000e+00 3.848912615884011665e-04 2.756451067398302257e-09 1.520697878731880337e-08
6.500000000000000000e+00 8.579886250746739454e-04 4.900709171806738595e-09 2.596203785287798382e-08
6.625000000000000000e+00 8.482591978956318182e-04 6.353834791639201285e-09 3.207844656571978703e-08
6.750000000000000000e+00 1.216489515663631005e-03 7.097090914953696483e-09 3.386116986803244799e-08
6.875000000000000000e+00 9.501949852556883583e-04 7.159719928040431114e-09 3.198550757588236593e-08
7.000000000000000000e+00 6.835411854211647167e-04 6.602800084465343389e-09 2.734498139034258202e-08
7.125000000000000000e+00 -1.921654571824830612e-04 5.507516220859542955e-09 2.092434669975773431e-08
7.250000000000000000e+00 5.699019660535698667e-04 3.968825268430009601e-09 1.368266566714737564e-08
