# drho_hcp drho_bcc avalancheSize
-3.691213608547627700e-06 -3.155126719889267406e-07 1.688022311650443363e+00
2.249352564815749744e-01 2.302834667329456408e-02 1.968588432441226610e+00
1.377047956459875877e-02 -1.308412110663947914e-02 4.610573850286900033e+00
1.790259441658115236e-03 -4.317325009406403069e-04 2.628050885231833153e-02
3.782101658502146080e-02 -1.731461965201575026e-03 1.039828668005978951e+00
4.008424287533784991e-04 6.182818874793660768e-03 4.504773749432888080e-02
3.527631365368222305e-02 1.091895197670567086e-02 9.782249471141915009e-01
3.152648142885983162e-02 1.996140414449065759e-02 3.070293412347929740e-01
2.851193331414769716e-02 -3.341782943805604589e-03 1.817552924813355952e-01
-6.314615988457283891e-03 -2.965408000329183835e-03 6.455749356205382761e-02
-3.034319950296904267e-04 4.295055424218929829e-03 1.822152242689568380e-01
-2.930581351922256772e-03 7.840159012350689238e-03 2.646873466002921393e-01
3.172650568670221105e-04 -2.756105799726071837e-04 4.109962995055867901e-02
-5.216617774307152899e-02 4.351417573741134248e-02 2.811162223401191262e+00
4.158504605878299287e-03 1.098835488055982523e-02 9.340442892866678282e-01
1.411632913189642125e-02 -1.912675876955205467e-03 1.061963458438343610e-01
8.843753512843832709e-04 3.546311593822792929e-04 1.572250548443687029e-02
-4.287829097992634786e-03 4.498501716731162503e-03 2.240782130792116564e-02
-4.528066379073436565e-03 1.341995668144235765e-02 1.956886084026554506e-01
-3.641031122203486348e-05 -4.053875820086538795e-03 5.298902793362543495e-02
3.797370231941599172e-04 5.393966339980238445e-03 1.530492820106292839e-01
2.269350821134885621e-03 -3.716740500259163582e-05 5.422465874126595337e-02
-4.701048203610724840e-03 8.515361697797096951e-03 1.120371278308638086e-01
1.599413769278967834e-03 4.585699480107230386e-03 2.990715583842573633e-02
3.421722484589828639e-02 2.715907582524312858e-02 8.569702033531618746e-01
2.462372224614206573e-03 -3.340247916163718855e-04 1.510144940997145552e-02
2.173148204823860397e-02 -2.181797338751945148e-02 2.752612080481401380e-01
3.347954316046397594e-04 1.026488176789186468e-03 1.673995806556858451e-02
2.207976654599974609e-02 -1.115126694519652517e-02 2.285237073417591414e-01
1.611100832284328987e-03 3.821124418552201973e-03 3.675373910946611034e-02
5.447543414516253790e-03 -3.134489992102196254e-03 5.657896268382406335e-02
8.328340443233273049e-04 9.484988795094295710e-04 8.089345750052764905e-02
1.153549487983607236e-02 3.003575342788167291e-03 2.839350828502956170e-01
1.019905045814075706e-01 -2.886022689689138332e-02 8.753180185365222465e-01
1.252323001454946905e-03 2.265267437397966432e-03 3.454832353131377931e-01
-6.385292477212978213e-03 4.605519732772123120e-04 3.937064347724570507e-02
1.720988501700659867e-03 -1.573842873767716810e-04 4.537726423460673730e-02
4.069852813381125145e-03 1.605659708758366833e-03 8.508373500518066901e-02
-4.899960619232146541e-03 -6.356400842086884495e-04 5.682684127523329048e-02
2.635525326860843620e-03 -4.621258183360232863e-03 1.495642188750710144e-01
-3.613071108420129463e-03 -6.910776808179974751e-04 4.276365388415910296e-01
-8.852614250028700837e-03 1.798495787004306123e-03 1.896779009943965200e-01
2.896172643904293409e-03 -2.253999962016806080e-03 1.031335273047138540e-01
1.573539931944090142e-03 8.473698669773099823e-04 4.408004857950113820e-02
8.454190116913729014e-03 1.584966623031647259e-04 9.352853993612510186e-02
-6.141277795610022849e-03 1.168904159580819169e-03 9.494156504934388174e-02
9.154407377440776372e-04 -7.274018846361585133e-04 3.412037175417920176e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.929203408368815383e-03
-4.317351376113442996e-03 1.608186070640726939e-04 9.295606935789343939e-02
-4.108742507329843363e-03 -4.113808078234804100e-03 8.545123992432396287e-02
-8.831360808915889038e-03 6.123013232661733696e-04 1.381423672568020677e-01
-5.362331891688221219e-03 -3.996114842186315741e-04 1.443843363492639809e-01
-6.063750878055884641e-03 9.970862384323098127e-04 8.373648908358770349e-02
-8.184448108563557867e-04 -6.732946097010028552e-05 1.755210990524817827e-02
1.043821928097266039e-03 -3.538518603054541245e-04 1.554179582355547443e-02
-2.292286368366092120e-04 -2.913419953687323982e-04 1.077137676579540890e-02
-1.534585569023860785e-03 -1.657174218482104777e-03 4.716440310706648820e-02
-1.183153923861368639e-03 9.148472868236723343e-05 8.842305163292682457e-02
-6.915307532215919650e-04 -2.000920382390525276e-03 3.717484246890226385e-02
-4.188237919422022060e-03 1.224523184250259078e-03 4.655895549901976904e-02
-2.959602030143670959e-03 -2.590710622699887722e-03 6.798369906452696176e-02
-9.447837512413848060e-03 7.582749700072888288e-03 9.359268106261153797e-02
-3.898378728194096254e-03 2.900040272070469882e-03 7.933427954578774199e-02
1.577575195865765778e-02 -9.287619983438410998e-03 1.066012084580222563e+00
-1.375047901844617115e-03 -1.082963413267634678e-03 5.440528238721459992e-02
8.725622747816075275e-04 4.501989398333350323e-04 1.923447318819448970e-01
1.246577930985370841e-03 1.308421723554609173e-03 5.650171210182580034e-02
-2.372018501139994129e-03 -2.229707613578657543e-03 3.493714735808332167e-02
-5.508029004626102676e-04 -5.283238473228202281e-04 3.565352527510011471e-02
1.929420667578174431e-03 -2.690318291418414276e-04 4.209375255653491354e-02
2.341664754486494360e-03 7.524716970763734025e-05 2.753124154383370520e-02
1.151826253897425545e-03 -7.069999074102994996e-04 3.369333685430162678e-02
2.434260073583605077e-03 2.237541111576035746e-04 1.851843937187075406e-01
-8.721197891858878393e-05 -4.780412453144755602e-04 1.706895380426142611e-02
-2.347046558750953693e-03 -1.206883775954903371e-03 2.801408688714095846e-02
3.182561321421140121e-03 -6.352351567040059876e-03 9.878697153730649216e-02
7.556771146468577172e-04 -3.146175869011003101e-03 4.519163798149271327e-02
1.439729579444559704e-02 -4.816009586619873772e-03 2.725595213475928147e-01
-4.631099302670804718e-03 3.303818500152377879e-03 8.566679081414779739e-02
-3.587774466908832949e-04 -1.521720578221419373e-04 6.347648010863482515e-02
-7.946669577418852271e-04 1.671891897667698856e-04 2.356571321214682296e-02
-6.590028891055865756e-04 1.390932793805976786e-03 6.322246767480459162e-02
-9.328174307124292852e-03 -1.551550131084766804e-03 4.312575653267418374e-02
-6.846312119788144912e-03 -4.065584010928269265e-04 3.789613911075789127e-02
-1.319288678294228134e-04 -5.629740733654742257e-04 4.553067095455653329e-02
3.874007848798655118e-04 2.701405169265758133e-03 2.447418483114310317e-01
7.841123697976293272e-03 6.623936404968056024e-04 7.733051853737768488e-02
-2.174138280485848895e-03 -1.279938185607232271e-03 2.476114024387575038e-02
-1.353996361936893322e-04 1.725586349059504698e-04 1.072298607847542440e-02
7.937582560333389381e-04 1.599198391728062774e-03 2.057596001772748762e-01
-7.371944938260543978e-03 1.386354326284422456e-03 2.280022195796212459e-01
2.094937774956839860e-04 5.325191999427936196e-04 1.209717103567221202e-01
-6.923579299684234911e-03 1.852932368176407607e-03 1.362122652822976288e-01
8.942529352716999114e-03 8.869571167777756671e-04 5.781806399820870607e-02
-1.107540245568028325e-03 -1.858655668498521152e-04 1.698415546600039530e-02
5.291382207093686674e-03 -9.865971887013103014e-05 8.969214878388695467e-02
-6.108598409739762758e-04 -1.081578631905610877e-03 6.845583812429990866e-02
-2.273595953024454275e-03 -1.226084109260838773e-03 7.101601529178193373e-02
2.412990410194826296e-03 1.326432767076113350e-03 2.074849265929879505e-01
-3.836681773980998855e-03 2.677023148664137153e-03 5.164251046968428710e-02
3.373469000642170812e-03 -1.507997501105862170e-03 3.861388397920102050e-02
-1.165382215884136485e-04 2.947933083259357545e-04 1.683077456939496494e-02
