# drho_hcp drho_bcc ei ef ti tf avalancheSize
4.290447635861482922e-02 -2.911806227819413451e-02 2.243999999999999884e-01 2.409600000000000075e-01 1.870000000000000000e+03 2.008000000000000000e+03 4.094320067546786124e-01
-2.281320994002555835e-02 -3.513437427027810145e-03 3.659999999999999920e-01 3.892800000000000149e-01 3.050000000000000000e+03 3.244000000000000000e+03 4.353251746433797198e-01
-1.518432253042778513e-02 -1.698762714454460365e-03 4.179599999999999982e-01 4.279200000000000226e-01 3.483000000000000000e+03 3.566000000000000000e+03 2.401260981758316371e-01
-1.356234428683578130e-02 1.502664163297140476e-03 4.527599999999999958e-01 4.692000000000000060e-01 3.773000000000000000e+03 3.910000000000000000e+03 4.591719693258930479e-01
-8.459420159354635871e-03 -4.999154295987295882e-03 4.788000000000000034e-01 4.863600000000000145e-01 3.990000000000000000e+03 4.053000000000000000e+03 1.585691408265336722e-01
-1.608269134905526698e-02 -5.325423775950355321e-03 5.054400000000000004e-01 5.201999999999999957e-01 4.212000000000000000e+03 4.335000000000000000e+03 2.818233612280803824e-01
-3.172969345513365624e-03 -5.844931281551168922e-04 5.641199999999999548e-01 5.660399999999999876e-01 4.701000000000000000e+03 4.717000000000000000e+03 2.604076097506870247e-02
5.882051509615848772e-04 2.783058841322461063e-04 5.989200000000000079e-01 6.130799999999999583e-01 4.991000000000000000e+03 5.109000000000000000e+03 4.036250655248925789e-01
-6.677113242972154694e-03 -2.387878562922551851e-03 6.319200000000000372e-01 6.452400000000000357e-01 5.266000000000000000e+03 5.377000000000000000e+03 3.107139988071206949e-01
-3.990225427884297460e-03 1.285891606507050255e-03 7.146000000000000130e-01 7.211999999999999522e-01 5.955000000000000000e+03 6.010000000000000000e+03 1.231371243921151604e-01
-3.060342844150909514e-03 -5.470541067111867051e-04 7.530000000000000027e-01 7.609200000000000408e-01 6.275000000000000000e+03 6.341000000000000000e+03 1.244455154794950058e-01
