# drho_hcp drho_bcc avalancheSize
-2.098451212253943816e-06 -8.954961611953106723e-08 2.965465741394253119e+00
3.299617518678541438e-04 4.470874744998785543e-05 3.034286401408007108e-02
6.517855960376116309e-02 1.675802246100789941e-02 1.539153167528612798e+01
4.958949410934776481e-04 2.267009919778451704e-03 1.342183765671056683e-01
1.225332834014573880e-02 3.457150130906777585e-05 8.414234303861605202e-01
7.474323599161170062e-04 7.197572958911775676e-04 1.107448627063116198e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.377239922987396406e-03
4.660005892950930262e-03 -4.807807774373566018e-03 1.734155870130741350e-01
2.463395463769710303e-03 -1.046525641323760997e-03 3.850054883023371760e-02
7.720393860670415886e-05 -3.937287230640976188e-04 2.190422927563548394e-02
1.941914244249498545e-04 7.889932571685867591e-04 4.461124613016825835e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.535354552766597415e-03
-1.570392956567051579e-03 4.630754748614421268e-04 8.044429243896282500e-02
2.178359874135976648e-03 -8.277619464487039058e-04 5.916387794923673449e-02
-1.138311423445614867e-04 -1.084038775674870531e-03 1.965359609587843392e-01
7.157643639158495219e-04 3.070523466984552072e-03 3.884632207627422562e-02
8.371771182238696429e-04 6.496870317474132128e-04 8.973115125609178178e-02
-3.151241387476161337e-03 1.268646010573915017e-03 1.371624123824011221e-01
1.250337505425413998e-03 -9.696342040788341610e-04 5.197614804913766595e-02
-3.052817798436080476e-03 5.079501174130099383e-04 4.766875462896227877e-02
1.018818048528546960e-03 -1.970154159609584232e-04 2.294555290206249515e-02
-7.566110352866806110e-04 -7.519042872919344533e-04 1.114270440297902981e-01
-1.294328770327479727e-03 8.085593103287595784e-04 2.121333172622892269e-02
-2.823696802555092367e-03 -1.474656853834594578e-04 8.344723518301656873e-02
3.548059388038815598e-04 4.099355959826314622e-05 6.068073418683362502e-02
-4.079212425864287006e-05 1.498838149653573121e-04 2.347065790890571699e-02
-4.817342614979347459e-03 9.206879123742350846e-04 9.287276226962770664e-02
-2.067391172155819135e-04 4.375414374052141037e-04 3.918776675186933650e-02
1.901157140018649994e-03 1.017609031240252621e-03 9.620032292741723112e-02
-4.476214685497359458e-04 -1.478778751331927266e-04 4.776330978863240623e-02
-3.554753560332343798e-03 -2.481196022153584271e-03 1.507364871678201768e-01
8.754074999485078612e-04 -4.536294509618435736e-03 1.208720470037761285e-01
-1.262922654239606590e-04 6.043040154497941741e-04 2.254166553268461062e-02
-4.322137009651422224e-03 -1.292427735896141405e-04 1.839358635418829879e-01
-2.796831000309210613e-03 6.925913165904025448e-04 9.200951413970864801e-02
1.049342827620827756e-03 1.133815851768466346e-03 5.004161915860665805e-02
-5.159782600190093715e-03 1.277316523671960524e-03 1.407049156786315813e-01
-7.936462423908385855e-04 -3.513820451841034170e-03 8.639548046429923467e-02
-3.886767680509092826e-03 1.280815603389818397e-03 1.218776981868473636e-01
5.240111620482268417e-04 -2.269330103294376483e-03 6.954742998565560663e-02
-1.236580893891670030e-03 6.354690941998489273e-04 2.686781293921674044e-02
1.297981309559798069e-03 -2.550825086016974413e-04 6.591502023959878998e-02
-7.286718692859489588e-04 6.929982973756208808e-04 3.668641071201558107e-02
2.132636088496148163e-04 6.548401697095349028e-05 1.271522636519882392e-02
-1.310868138977849817e-03 9.224573856534377947e-05 1.007203252093910595e-01
-1.471284672717593223e-03 -2.499714194226542938e-03 5.962350419954562386e-02
1.460815454083774778e-05 -8.366370674164694266e-04 6.534358331982877133e-02
-1.001659902149870662e-03 8.889937721097158213e-04 7.374963909952138297e-02
-1.792599150265694607e-04 1.062015099491199488e-03 9.753372305482288507e-02
-8.722405918497322386e-04 1.834251177976163605e-04 5.361627685285515893e-02
1.373038781125893171e-03 -2.069688414876570681e-03 4.568789625667642185e-02
3.681741578540342896e-04 -3.046137316581008780e-04 4.501848690773867234e-02
-7.628242122853373663e-04 -1.444152761277441022e-04 6.670138076426808393e-02
1.053655600512862223e-03 8.019767859369780760e-04 3.213528223726091343e-02
-1.246865863081814130e-05 -1.229482614224692433e-03 1.773940645753074863e-01
9.925677618057154872e-04 -2.626687091268179591e-03 8.677899405920928844e-02
3.112005798188294259e-04 2.602907786079381933e-03 5.322396135909791826e-02
-3.422325415611549015e-04 8.827159510308695695e-04 7.171115504432507004e-02
-1.778293407304079587e-03 -1.219552621154208413e-03 5.725550233004211842e-02
-2.437407993740425827e-03 -2.629415063296700744e-03 5.279179019914834181e-02
-4.019127333988875561e-04 9.762388499416439075e-04 3.157541580287248628e-02
6.111152176256906543e-04 -4.826284178204489489e-04 6.536965308672355868e-02
-1.191810038925350534e-03 -5.029738065205797970e-05 1.289688772444474996e-01
1.567709843064285513e-04 -3.336459529852137812e-04 1.408527024825572890e-02
-1.714405235779078995e-03 1.135699542076599317e-04 7.506084961491449326e-02
-5.015472769759748983e-04 -3.931613007849329294e-04 2.056343682824444963e-01
6.467373987643076916e-04 5.311166080982868826e-04 6.766646092851262562e-02
-1.330732819728314142e-03 5.794126811432143836e-04 1.740060211554156078e-01
-1.663280775026934610e-03 2.010290665083876507e-03 1.201870783441766621e-01
-2.856137396646668547e-04 3.710074518335215732e-04 3.017455779630988377e-02
2.419433886761551689e-04 -2.206859129076024426e-03 1.532781939302021168e-01
2.875820369458020886e-04 1.326625778730569291e-03 2.787074461707166398e-02
4.012891423947229086e-03 -8.759143908093382225e-04 1.209101003156201198e-01
9.777252768342070688e-04 6.695662025284036811e-05 3.853176330661543803e-02
-1.314091772319572748e-03 -1.197878570626599234e-03 6.828693833370141908e-02
7.096953741434763874e-04 -9.394147529591459489e-04 6.043674658002042011e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.292735324948624254e-03
-5.569421672442079196e-03 2.903337420950235365e-03 1.015751836633813354e-01
-7.699559823847179629e-04 -3.924704273273148247e-05 2.028201682541266315e-01
5.116511247940519480e-04 -1.090140929221015964e-05 1.307183375134943724e-02
9.858140349898875110e-04 2.067283704362175845e-03 4.743116104515465031e-02
-7.811461082172233006e-04 1.494431608712291568e-03 1.111200484588386050e-01
3.835254819976319229e-04 -5.116448602028485226e-04 1.024507663381744316e-01
5.847893093735845316e-04 -3.771637780675130003e-05 3.257006548367961246e-02
-6.171234061251029690e-04 1.775905969766282400e-03 1.284912633070975918e-01
2.058219465808239224e-03 -3.460079109760681032e-03 9.648694284643202779e-02
-1.878913917909286191e-04 6.543584134053800905e-05 7.293159416802574846e-02
3.061381511174493530e-04 -4.517559866453347422e-04 2.352669159793252876e-02
-2.588956839128672693e-03 -3.541531508454223709e-04 1.134653617260470287e-01
-1.377565214034273677e-03 3.624439535884378671e-04 2.150691835048434628e-02
5.991500755632844788e-04 5.267425142600028198e-04 5.519813048079610929e-02
-1.629639410525560161e-03 5.745431492358392400e-05 6.269205056039915680e-02
8.809909350080552537e-04 -1.493124563499977769e-03 5.341443662003025894e-02
-9.250796274455075352e-04 1.239350640556260985e-03 3.613992655448827751e-02
-3.764761306261632523e-04 3.895681950352551659e-05 4.788054680391762991e-02
-3.326987650651966333e-03 -1.525754093395633934e-03 1.200236180955425308e-01
-8.275473127263566209e-04 6.242467808131695051e-05 2.187166749893953294e-02
1.184957275264672538e-03 5.724302007736777054e-04 1.023778469110909889e-01
3.628995833545034522e-04 -8.572440176160475711e-04 3.173196502287498749e-02
-4.839261085609614099e-04 6.788690767908656803e-04 3.521427294602182817e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.305223873824469805e-03
-8.467831988006185862e-04 1.464283525642878434e-03 5.957965402950307632e-02
7.558639628567898061e-04 2.415849284523713045e-03 1.339896339423051197e-01
-1.700577214569190532e-03 5.651037100807866642e-04 8.530907865202014273e-02
-8.820120228324040967e-04 -3.853848848267778932e-03 1.520627955126585551e-01
2.093235949855512534e-03 1.328900827011295430e-03 7.567627766752441087e-02
-9.062985351967201009e-04 1.519545338861953004e-03 5.189873584889074382e-02
-4.587200205904695682e-04 -3.611883881158486215e-04 4.932681112689466657e-02
-2.049503932834123576e-03 -6.950901708631610637e-04 5.134022165452136605e-02
-4.073634493936689749e-04 -8.743445488469323013e-05 1.284571510091243700e-02
-4.127506223165683386e-03 3.145011759521053329e-04 9.305609444100965133e-02
1.111801523749011977e-03 -6.585936234823966395e-05 2.150621783991607180e-02
6.037051715497843141e-04 1.772465217876606491e-04 8.432197264333553266e-02
9.709433421660473851e-05 -3.877719054310394681e-04 1.400909648540228994e-02
4.363995207395249265e-04 -1.785269101233164998e-03 5.174672892992131928e-02
6.041617991511122332e-04 6.661239949552234807e-04 7.440080005160636112e-02
4.409047948523842075e-04 -1.281960147898260002e-03 5.091533863952661665e-02
-1.696237171600861737e-03 -3.599311311849040518e-04 5.232243059779698863e-02
9.442875438667869270e-04 2.268085541833071012e-04 2.273468073392529917e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.695307765322569375e-03
1.386843677720767110e-04 1.198122124752377948e-03 1.730131920780547949e-01
2.012413388910352929e-03 -5.104488017627917262e-04 6.770999636127290888e-02
1.065038508789861726e-04 1.238183956002898711e-04 1.275508222916302628e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.628515849662401822e-03
-3.999312545488464821e-04 -3.197089960289712512e-04 5.298803942445100973e-02
-3.777627052392040774e-04 -1.418699708495597955e-04 1.383406049534549251e-02
4.638502444974934580e-04 -1.870852421955483680e-03 3.316581412268571061e-02
-2.488450207431824879e-04 8.031144430933126466e-04 3.142379050579419825e-02
1.906356203952033757e-03 -1.984611719109513964e-03 1.007270791692094491e-01
-1.446858369257258969e-03 3.956852683443708163e-04 1.549426501556633862e-01
9.411260671227106300e-05 -1.136862532517263560e-03 1.837755094273855749e-01
4.677984305452576042e-05 7.182983459962273554e-05 3.396228033219540754e-02
-1.033565124913177202e-03 -1.710845015880785303e-05 1.112167396783270701e-01
5.611542108731326639e-04 -1.740577488638060666e-05 2.044029912138394314e-02
-6.527105525166859712e-04 -1.347772404406664959e-04 7.602409792653753995e-02
3.573778743255012769e-03 3.356213385010756167e-04 8.485397777093656169e-02
-2.656695560680766288e-05 -1.405969568066874759e-04 9.153107929280059063e-02
-1.375498275741390830e-03 -2.132963244622807994e-03 1.948812242270206163e-01
2.312002728345544100e-03 -1.872558840391299814e-03 1.564150674861174983e-01
-7.034305662801110248e-04 3.623811600943528666e-04 2.368434004362835604e-02
2.434250699887188785e-03 2.068473992598822073e-03 3.289605312692954198e-01
-6.365355051450444224e-04 -1.973095762249927471e-04 3.087347395162736569e-02
-2.522008348794513299e-05 8.162073976259939800e-05 1.989152691808067017e-02
4.940205017869153670e-04 -2.079037853127806840e-04 4.199359735121129672e-02
