# time ep bcc_intrp hcp_intrp
0.000000000000000000e+00 1.588816092964469946e-04 2.517758599930030137e-14 -4.051169798823054824e-14
1.499999999999999944e-02 -4.697117839935154688e-05 -2.663641937616769350e-07 -2.832309957254416071e-06
2.999999999999999889e-02 -4.685854268068422425e-04 -4.186716088555837309e-07 -4.451828308766846109e-06
4.499999999999999833e-02 -5.680266368686785750e-04 -4.725604272777859421e-07 -5.024840228267469680e-06
5.999999999999999778e-02 -5.884742308787981394e-04 -4.486579814712946677e-07 -4.770679970146041918e-06
7.499999999999999722e-02 -7.887997007498234779e-04 -3.702666764869925987e-07 -3.937129248291467607e-06
8.999999999999999667e-02 -7.918859820660381762e-04 -2.609621648413128713e-07 -2.774869129937356341e-06
1.049999999999999961e-01 -5.804091274288121233e-04 -1.423891829410045200e-07 -1.514055493740790931e-06
1.199999999999999956e-01 -4.875225038958515842e-04 -3.240793414321982496e-08 -3.446014610735776306e-07
1.350000000000000089e-01 -6.241857930239333874e-04 5.623987370677784560e-08 5.980109419465353021e-07
1.499999999999999944e-01 -6.196806964430165952e-04 1.165243519129409195e-07 1.239029718944942049e-06
1.650000000000000078e-01 -7.076780591244173808e-04 1.468519441021833605e-07 1.561509677787260430e-06
1.799999999999999933e-01 -6.506992585762758682e-04 1.500445642196922335e-07 1.595456809792109782e-06
1.950000000000000067e-01 -6.790136219582477203e-04 1.319094203381011766e-07 1.402622111945927409e-06
2.099999999999999922e-01 -8.188353531096920560e-04 9.976349085481548140e-08 1.060808306434169955e-06
2.250000000000000056e-01 -1.003359779679186339e-03 6.114331725138800214e-08 6.501507450952289341e-07
2.399999999999999911e-01 -1.209993914627409970e-03 2.278650733282616061e-08 2.422933382889575803e-07
2.550000000000000044e-01 -1.389416480191712870e-03 -1.008841490927043049e-08 -1.072726290088510721e-07
2.700000000000000178e-01 -1.526202057726660632e-03 -3.417677119098561276e-08 -3.634091147705756888e-07
2.849999999999999756e-01 -1.668450071155653559e-03 -4.813803084629551272e-08 -5.118630854253651756e-07
2.999999999999999889e-01 -1.588948695478261969e-03 -5.233913917245711011e-08 -5.565339431830793729e-07
3.150000000000000022e-01 -1.436379125327049300e-03 -4.840069551130788155e-08 -5.146554747350836440e-07
3.300000000000000155e-01 -1.086070332739882700e-03 -3.868150193029056020e-08 -4.113098970554099229e-07
3.449999999999999734e-01 -9.324855343353748161e-04 -2.579895714672998994e-08 -2.743263822179756177e-07
3.599999999999999867e-01 -8.585239794897808752e-04 -1.222971384622206259e-08 -1.300414540773952255e-07
3.750000000000000000e-01 -7.235792014642864617e-04 -8.056744562739316990e-12 -8.528250713963142981e-11
3.900000000000000133e-01 -5.074950478835900565e-04 9.466522656010724999e-09 1.006587054067737327e-07
4.050000000000000266e-01 -4.567479918210523397e-04 1.549508507038478980e-08 1.647632911931456684e-07
4.199999999999999845e-01 -4.910708010191305005e-04 1.802504236737105462e-08 1.916643623214830216e-07
4.349999999999999978e-01 -4.144012407931141860e-04 1.750288625458124612e-08 1.861128901818906028e-07
4.500000000000000111e-01 -3.522227877303428858e-04 1.469128459509922988e-08 1.562161110653994731e-07
4.650000000000000244e-01 -3.747044213387694389e-04 1.048899578996059573e-08 1.115323595402922484e-07
4.799999999999999822e-01 -4.751029249870438072e-04 5.781753991854456634e-09 6.147916902633325683e-08
4.949999999999999956e-01 -2.956309644723065580e-04 1.328596478256537751e-09 1.412773656756864329e-08
5.100000000000000089e-01 -2.904441385725266625e-04 -2.313191265520753728e-09 -2.459765935948213621e-08
5.250000000000000222e-01 -1.726778018818269853e-04 -4.822713353610245520e-09 -5.128112822407090842e-08
5.400000000000000355e-01 1.447177783434304421e-04 -6.107599805906320851e-09 -6.494314319353386355e-08
5.550000000000000488e-01 3.090381300556851660e-04 -6.265520963551769442e-09 -6.662189402822635245e-08
5.699999999999999512e-01 2.908899157045901837e-04 -5.525805645599554059e-09 -5.875709818794552624e-08
5.849999999999999645e-01 3.664431064027157819e-04 -4.188969645625661043e-09 -4.454233470883801645e-08
5.999999999999999778e-01 4.900280912403564074e-04 -2.571048737184663385e-09 -2.733937918689651870e-08
6.149999999999999911e-01 6.076818567052515510e-04 -9.591303194614735276e-10 -1.019879105813232819e-08
6.300000000000000044e-01 5.735721052073042975e-04 4.230206258835432994e-10 4.498033045981395043e-09
6.450000000000000178e-01 5.664241442280013375e-04 1.433538575086516014e-09 1.524240934832405835e-08
6.600000000000000311e-01 7.403546377323013544e-04 2.015785303365212554e-09 2.143447080793908406e-08
6.750000000000000444e-01 8.912995260504062711e-04 2.187517273686277821e-09 2.326003856108245604e-08
6.899999999999999467e-01 8.624996008779169457e-04 2.019334300046433805e-09 2.147206001455726166e-08
7.049999999999999600e-01 7.337975441129721346e-04 1.612019476314294889e-09 1.714078357810196982e-08
7.199999999999999734e-01 8.085580071276804101e-04 1.075039304132659921e-09 1.143047563739647138e-08
7.349999999999999867e-01 7.603720037751187169e-04 5.102284806190686461e-10 5.425368083218997321e-09
7.500000000000000000e-01 6.049836516421680868e-04 7.071583175317569561e-13 7.157627238008685468e-12
7.650000000000000133e-01 5.511762961978991168e-04 -3.964695199484051355e-10 -4.216042238437684023e-09
7.800000000000000266e-01 6.096631672026725859e-04 -6.517983809319922375e-10 -6.931083716439774983e-09
7.950000000000000400e-01 6.140239092658258263e-04 -7.615570440126407976e-10 -8.098118011865307353e-09
8.100000000000000533e-01 5.001250090247823590e-04 -7.423929499460139199e-10 -7.894895534346382318e-09
8.249999999999999556e-01 4.554850882142122415e-04 -6.249594878959984729e-10 -6.645479575954110194e-09
8.399999999999999689e-01 4.787651390503700963e-04 -4.467301062033858907e-10 -4.750503591673821219e-09
8.549999999999999822e-01 4.558577634561989181e-04 -2.460746881424178331e-10 -2.616510674343660621e-09
8.699999999999999956e-01 3.044695477574009893e-04 -5.640948303269563949e-11 -6.001374727506916828e-10
8.850000000000000089e-01 1.532485579209975218e-04 9.746017444879755814e-11 1.035829407138747300e-09
9.000000000000000222e-01 1.120791081214824250e-04 2.017923877924614093e-10 2.145188692014658217e-09
9.150000000000000355e-01 8.801121623972993357e-05 2.535602449439578483e-10 2.695255416032076148e-09
9.300000000000000488e-01 6.740872923390473642e-05 2.580501838573420595e-10 2.743953023010164876e-09
9.449999999999999512e-01 5.163645718654370081e-05 2.262619816253765660e-10 2.405763119680237220e-09
9.599999999999999645e-01 1.891708507448935928e-05 1.710413875958096819e-10 1.818418868223562162e-09
9.749999999999999778e-01 5.247968866098698393e-05 1.050934814272282095e-10 1.117661314025395341e-09
9.899999999999999911e-01 -7.910954672991563075e-05 3.948141351541690248e-11 4.197352486560888878e-10
1.004999999999999893e+00 -4.072741569070385814e-04 -1.757412445847797926e-11 -1.865125447777369310e-10
1.020000000000000018e+00 -8.005329446136646987e-04 -6.031744856320153803e-11 -6.420222735068798749e-10
1.034999999999999920e+00 -8.612416274755754081e-04 -8.628297550566621323e-11 -9.177469504934670224e-10
1.050000000000000044e+00 -7.847587209739246422e-04 -9.515835425373565343e-11 -1.011810223487914371e-09
1.064999999999999947e+00 -9.465318369250956543e-04 -8.901808182423126500e-11 -9.459267979222280493e-10
1.080000000000000071e+00 -8.868699081964782904e-04 -7.157858449677647100e-11 -7.608528856924299371e-10
1.094999999999999973e+00 -9.494029769439530503e-04 -4.766358413238807381e-11 -5.072375312850318608e-10
1.110000000000000098e+00 -1.117471229638676219e-03 -2.244698293379195068e-11 -2.386820009770667874e-10
1.125000000000000000e+00 -1.157758175069908274e-03 -6.432889456827141871e-15 -4.352144632695326989e-13
