# drho_hcp drho_bcc ei ef ti tf avalancheSize
1.677039180772731163e-04 -1.480512497690982085e-05 2.054400000000000115e-01 2.059199999999999919e-01 1.712000000000000000e+03 1.716000000000000000e+03 2.761967129545937413e-02
-6.669015139536244681e-05 5.490676444484793696e-06 2.066399999999999904e-01 2.068800000000000083e-01 1.722000000000000000e+03 1.724000000000000000e+03 1.291033845320207867e-02
5.383366120789279813e-02 1.744562781754312869e-02 2.084399999999999864e-01 2.376000000000000056e-01 1.737000000000000000e+03 1.980000000000000000e+03 1.696536834893124279e+01
-9.922323886378120461e-04 6.231935502470781207e-04 2.384400000000000130e-01 2.390400000000000025e-01 1.987000000000000000e+03 1.992000000000000000e+03 6.032249665917741033e-02
1.848608909852188231e-03 -6.300057918976996463e-04 2.399999999999999911e-01 2.408399999999999985e-01 2.000000000000000000e+03 2.007000000000000000e+03 6.710914648212193412e-02
-2.016276605649416909e-03 3.374942955953377788e-03 2.416800000000000059e-01 2.438400000000000012e-01 2.014000000000000000e+03 2.032000000000000000e+03 3.838942262579707609e-01
2.832620328170880331e-03 -1.310205370826333232e-03 2.446800000000000086e-01 2.457600000000000062e-01 2.039000000000000000e+03 2.048000000000000000e+03 9.208223076773019988e-02
1.723905604635436739e-03 3.350796600902691824e-04 2.479200000000000015e-01 2.486399999999999999e-01 2.066000000000000000e+03 2.072000000000000000e+03 6.067969367604655884e-02
3.211572670227813564e-04 1.196586286415259048e-05 2.523599999999999732e-01 2.548799999999999955e-01 2.103000000000000000e+03 2.124000000000000000e+03 2.002842290562583949e-01
2.550598398634362773e-03 -1.046442095305509870e-03 2.602800000000000114e-01 2.611200000000000188e-01 2.169000000000000000e+03 2.176000000000000000e+03 1.136860040878037853e-01
9.927094081331327979e-04 8.517816870460635098e-04 2.619600000000000262e-01 2.634000000000000230e-01 2.183000000000000000e+03 2.195000000000000000e+03 2.007829692810602640e-01
5.190035485498623036e-05 1.149253588174909205e-03 2.671200000000000241e-01 2.678400000000000225e-01 2.226000000000000000e+03 2.232000000000000000e+03 4.744715656589350294e-02
1.873482106130114344e-03 -2.578571060207765844e-03 2.747999999999999887e-01 2.756399999999999961e-01 2.290000000000000000e+03 2.297000000000000000e+03 6.902810254185354211e-02
-1.529341760563296404e-03 -4.684308547170598636e-04 2.777999999999999914e-01 2.785199999999999898e-01 2.315000000000000000e+03 2.321000000000000000e+03 7.303608802614994233e-02
-1.981381129249185080e-03 -4.547760538806695091e-04 2.852399999999999936e-01 2.859599999999999920e-01 2.377000000000000000e+03 2.383000000000000000e+03 6.080072449444648419e-02
5.079719196833670791e-04 3.214022816389449505e-04 2.952000000000000179e-01 2.956799999999999984e-01 2.460000000000000000e+03 2.464000000000000000e+03 3.379993688716020211e-02
-9.417612492487598130e-04 -9.980588210350294781e-04 3.028799999999999826e-01 3.038399999999999990e-01 2.524000000000000000e+03 2.532000000000000000e+03 8.693787532884830749e-02
-1.110309682592347524e-03 6.551588764733586034e-04 3.054000000000000048e-01 3.059999999999999942e-01 2.545000000000000000e+03 2.550000000000000000e+03 4.458421294477672714e-02
