# drho_hcp drho_bcc avalancheSize
-2.574675447842657253e-06 -4.013035014384461253e-08 1.632069289949298785e+00
-4.734792864782866664e-03 -1.708388314430450618e-04 3.340639992237070394e-02
2.530025201985984795e-01 4.455034596371021220e-03 6.766113192840975898e+00
4.129694817086027037e-04 -1.042031086615846994e-04 3.301347474787857256e-02
-2.415219723857614520e-02 8.019664648180675065e-03 7.419579784360262664e+00
5.806757633243508909e-04 1.234348809327923818e-04 7.494243610771060549e-02
-2.011046049445158745e-03 -1.882896412136441516e-03 1.358118543356154895e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.514672980364972776e-02
1.050846322363990781e-03 4.132428817010666208e-04 1.289084260309939223e-01
-4.777436350371760954e-02 -1.187328677880671382e-03 1.040866052248748908e+01
-2.074050831322893362e-03 1.591183547659368730e-04 3.523008792188004890e-01
7.664921664344848118e-04 -1.560196239258388948e-03 1.269592749887973326e+00
9.364683517766592136e-04 -4.739501834142905920e-04 4.750299439028428383e-02
-8.247476750206095275e-05 -3.510819362114369832e-04 4.714468321427904562e-02
8.578724491053651979e-03 -2.724438370691347009e-03 1.692942687585530015e+00
-1.479676775308924608e-02 -2.978431264223520801e-03 1.604240049941341395e+00
2.111187251769758300e-03 1.181158929589946980e-03 7.134680287120540587e-01
-2.016120445536423444e-03 -2.796430236049725696e-03 2.202179008881137268e+00
2.277761328890071102e-03 -2.237186442873104891e-04 2.225374330535043188e-01
2.373620032957490800e-03 -5.826379692086948534e-05 6.630422476786321795e-01
-1.879067287956365240e-03 1.874228982523774498e-04 5.086117097075606996e-02
1.272642602539877932e-02 4.605030366683954442e-04 4.433774126382287739e-01
3.113149450880980940e-04 1.000601006245594587e-03 1.264769087129470893e-01
-2.032738674080680763e-02 -1.963791849693202404e-03 4.782037401757309070e+00
1.672011495740691189e-02 -5.863434977786173910e-05 6.602777164878109728e-01
-3.103285228364421888e-03 9.658994041795718535e-04 4.406350268475202614e-01
7.841247815391916287e-04 4.698401757833115325e-04 1.201296090629971336e-01
-6.530065665208972803e-04 2.062565918713333418e-04 1.467109897080651204e-01
-1.035613844300656283e-02 8.366539264455241653e-05 4.298995376009626668e+00
-3.323471420886653371e-03 -4.648651715429977585e-04 4.591986055214036799e-01
1.026206393607007050e-02 -1.018026990691221333e-03 7.971491752077549675e-01
-1.006178567875382068e-03 -2.550250425538353252e-04 6.309472742477741924e-01
-5.633623731998993467e-04 2.054740217702060584e-04 4.658724256886813408e-02
-3.297560504493340927e-02 3.399850323579266947e-03 2.994054562677850750e+00
-2.105491717149798880e-04 -1.632706482666800019e-04 5.236010634207383108e-02
-1.553875944749275040e-02 -1.435231988592145132e-03 2.469026168330385573e+00
-7.267075992173632759e-03 2.523499357734533197e-04 4.370051926431752776e-01
-3.035899146210385702e-04 5.119355090839445253e-04 6.465138591904680265e-02
7.655758042166171951e-03 -6.819850051578758322e-04 5.826826877667499183e-01
1.368909804208923164e-03 -1.945802126359684383e-03 4.940557983708993572e-01
-8.208376887094331886e-03 -1.983088402032970321e-04 2.862783521675883236e+00
1.567305183001466151e-04 2.182998290902690187e-04 4.780818139261319710e-02
-5.766231839935409553e-04 -2.410928836696782721e-04 2.770428622209984426e-01
5.809300150309004707e-04 6.862052567093482845e-04 1.110441139290415935e-01
-5.145786012686059951e-04 -2.473672287433806467e-04 1.319256587256707469e-01
-1.678803041588100564e-03 -9.053422513675205008e-04 2.023763779915906724e+00
-6.421538719725478073e-03 7.263901246209445751e-04 6.111331123528334075e-01
1.752680195114178496e-02 4.788032674899876662e-03 3.083753616578905454e+00
4.111643739970888278e-03 -2.586037631486836144e-04 2.705466020916941217e-01
4.334889542682296426e-04 -2.713132219545397530e-03 2.488779373339729428e+00
1.299445413477345879e-03 6.226331177917694346e-04 1.242065212154284948e-01
-7.518809621626099116e-04 -2.460378979258110409e-03 1.331500407175151723e+00
-1.210655570789642699e-02 -9.832828110610232833e-04 5.049680792747694991e-01
-2.279983325041487485e-02 -1.223960059769504515e-03 3.977776626743866117e+00
4.147837771708857979e-02 -1.711909932939567787e-03 1.278320109062704102e+00
1.546427954618484479e-03 -8.272913462654572433e-05 1.274277149604028103e-01
9.679687599972341960e-03 5.347954049083288898e-04 9.342836538783888534e-01
-5.565251299956308628e-02 3.244052874721431445e-03 2.713970334412260321e+00
1.750575731686798697e-03 -1.691555041952062452e-04 1.068867762469903615e-01
-6.470203701076288061e-03 2.356664298013740055e-04 8.062180275328008072e-01
1.302554256519611320e-02 -1.937723266339369532e-04 4.530082067920729871e-01
4.312343456352357718e-02 -4.005837947022455187e-03 5.927684447112943289e+00
1.746229838131552192e-04 -2.402353455379054644e-04 5.012722241319600425e-02
-2.900115357482366263e-02 1.314738810458486971e-03 9.329666891508903159e-01
-6.052891127177234543e-02 -4.612336245663535388e-03 3.202693010389526584e+00
4.932192767854753912e-03 -4.527313087614040846e-04 9.560905390048612951e-02
6.215467310362182696e-03 1.786472703231209696e-03 2.077065915562440468e-01
4.535189978916748244e-03 6.265017140150617135e-04 1.196416746537303510e-01
3.516513989690142616e-02 3.401771532858294429e-04 1.195311808871380999e+00
8.731727451781745586e-03 2.594429544855120749e-03 9.101110499577487190e-01
-2.824057937497348458e-03 -4.279656936974419665e-03 4.109592364428582556e-01
-7.860835580312683368e-02 -5.043470636592084153e-03 5.269646308531420686e+00
