# drho_hcp drho_bcc ei ef ti tf avalancheSize
6.623711571364210293e-03 -2.118461729127555510e-03 2.846400000000000041e-01 2.894399999999999751e-01 2.372000000000000000e+03 2.412000000000000000e+03 1.624616596893856402e-01
6.578981784957166346e-03 -1.215952187639566390e-03 2.968799999999999772e-01 3.037199999999999900e-01 2.474000000000000000e+03 2.531000000000000000e+03 3.649053636493541086e-01
-6.764459092234165194e-03 -1.166517289310711400e-03 3.303599999999999870e-01 3.341999999999999971e-01 2.753000000000000000e+03 2.785000000000000000e+03 1.090055656141860063e-01
3.134458101872766855e-03 -2.347529072243732806e-03 3.415199999999999902e-01 3.475199999999999956e-01 2.846000000000000000e+03 2.896000000000000000e+03 2.349610525276194239e-01
-1.633066280310312146e-02 -3.623113684697676883e-03 3.715200000000000169e-01 3.851999999999999869e-01 3.096000000000000000e+03 3.210000000000000000e+03 7.170940544274641004e-01
-4.257597871923424204e-03 3.052639807209573709e-03 4.051199999999999801e-01 4.120800000000000018e-01 3.376000000000000000e+03 3.434000000000000000e+03 3.661055563593603179e-01
1.638301697475919028e-03 4.442806431149441335e-03 4.184399999999999786e-01 4.284000000000000030e-01 3.487000000000000000e+03 3.570000000000000000e+03 8.056358330077976193e-01
-3.770349796386185393e-04 3.454976024350686625e-03 4.615199999999999858e-01 4.809599999999999986e-01 3.846000000000000000e+03 4.008000000000000000e+03 7.993842732714694366e-01
2.464158682907446885e-03 1.206310006784585415e-04 4.942799999999999971e-01 4.983600000000000252e-01 4.119000000000000000e+03 4.153000000000000000e+03 1.352404476685332424e-01
-2.243158477877621459e-03 8.238681869322059953e-04 5.201999999999999957e-01 5.236800000000000344e-01 4.335000000000000000e+03 4.364000000000000000e+03 9.646077377986020385e-02
5.805858608716976677e-03 -1.500876344744458621e-03 5.290799999999999947e-01 5.335199999999999942e-01 4.409000000000000000e+03 4.446000000000000000e+03 1.327864868901941220e-01
-6.186456458562972216e-03 2.791727744608802492e-03 6.052800000000000402e-01 6.225600000000000023e-01 5.044000000000000000e+03 5.188000000000000000e+03 1.011077676689617899e+00
4.130188787248592619e-03 -4.499766108723842958e-03 6.417599999999999971e-01 6.463200000000000056e-01 5.348000000000000000e+03 5.386000000000000000e+03 1.422960601345359122e-01
4.943913615340064793e-03 -1.096361025206660234e-03 6.533999999999999808e-01 6.558000000000000496e-01 5.445000000000000000e+03 5.465000000000000000e+03 6.271931029937805047e-02
2.099474581556404207e-04 7.660076906554624809e-04 6.685200000000000031e-01 6.713999999999999968e-01 5.571000000000000000e+03 5.595000000000000000e+03 7.271483019489602406e-02
3.326430365280352852e-03 1.389439186401884505e-03 6.847199999999999953e-01 6.875999999999999890e-01 5.706000000000000000e+03 5.730000000000000000e+03 7.101326853396688898e-02
3.599846944331130949e-03 1.778650626206620955e-03 6.938400000000000123e-01 7.053599999999999870e-01 5.782000000000000000e+03 5.878000000000000000e+03 4.825760579528402539e-01
6.521090192506046046e-03 -1.297233675990536184e-03 7.256399999999999517e-01 7.286399999999999544e-01 6.047000000000000000e+03 6.072000000000000000e+03 8.088784143155482165e-02
-1.647220855099218451e-03 6.460676463178674500e-04 7.420799999999999619e-01 7.509599999999999609e-01 6.184000000000000000e+03 6.258000000000000000e+03 2.858150707234820564e-01
4.368859125748192351e-03 -1.981088290723180545e-03 7.629599999999999715e-01 7.698000000000000398e-01 6.358000000000000000e+03 6.415000000000000000e+03 1.843874089572846708e-01
