# time ep bcc_intrp hcp_intrp
0.000000000000000000e+00 -1.150776724542151375e-04 -8.007391121324527371e-14 1.516087695865016348e-13
1.499999999999999944e-02 8.706701192704222438e-06 -2.412156325389363819e-07 -4.043265690189890126e-06
2.999999999999999889e-02 -4.069356597235761490e-05 -3.791379622804995772e-07 -6.355125419950785513e-06
4.499999999999999833e-02 -1.655074375706795729e-04 -4.279305132905415148e-07 -7.172988959207075891e-06
5.999999999999999778e-02 -1.952833156742787434e-04 -4.062752624234576321e-07 -6.810003902924572024e-06
7.499999999999999722e-02 -1.771963919270821671e-04 -3.352769345171236370e-07 -5.619928873021320871e-06
8.999999999999999667e-02 -2.367269018802047780e-04 -2.362869446706943052e-07 -3.960656032103230238e-06
1.049999999999999961e-01 -2.829448550482555405e-04 -1.289080975969735082e-07 -2.160766034411095958e-06
1.199999999999999956e-01 -2.908658130131167507e-04 -2.931474783709022326e-08 -4.913755561987730328e-07
1.350000000000000089e-01 -3.601375220270155390e-04 5.095518093762357076e-08 8.541160310056410573e-07
1.499999999999999944e-01 -4.498077219598954971e-04 1.055366710468780310e-07 1.769019810289495950e-06
1.650000000000000078e-01 -4.118744123888509398e-04 1.329885502167952070e-07 2.229174884847509116e-06
1.799999999999999933e-01 -3.052365273967436437e-04 1.358681647820723978e-07 2.277446180510734412e-06
1.950000000000000067e-01 -3.247977353016031753e-04 1.194362028688029941e-07 2.002012776018162745e-06
2.099999999999999922e-01 -4.627143563929367841e-04 9.031995269449369748e-08 1.513960239124786699e-06
2.250000000000000056e-01 -5.247006232981608204e-04 5.534446596905709775e-08 9.276924607697286912e-07
2.399999999999999911e-01 -4.687855013564016984e-04 2.061096259122927796e-08 3.454830703843337484e-07
2.550000000000000044e-01 -4.149210080771469772e-04 -9.155294757150277009e-09 -1.534616144261522059e-07
2.700000000000000178e-01 -3.993084248973149432e-04 -3.096282216411295801e-08 -5.189980395309483181e-07
2.849999999999999756e-01 -3.845457751526664726e-04 -4.359869475800683369e-08 -7.307989130803012978e-07
2.999999999999999889e-01 -4.039420503835406719e-04 -4.739633092409146093e-08 -7.944506068503138745e-07
3.150000000000000022e-01 -4.266823364825434936e-04 -4.382403169867828554e-08 -7.345694475957530515e-07
3.300000000000000155e-01 -4.135364253406671395e-04 -3.501837445998439496e-08 -5.869721187470178657e-07
3.449999999999999734e-01 -3.847118153131544836e-04 -2.335010256865953967e-08 -3.913910327418641694e-07
