# hist edge_left edge_right err
0.000000000000000000e+00 9.999999999999999547e-07 1.513663813098667616e-06 0.000000000000000000e+00
0.000000000000000000e+00 1.513663813098667616e-06 2.291178139084398130e-06 0.000000000000000000e+00
0.000000000000000000e+00 2.291178139084398130e-06 3.468073438494792055e-06 0.000000000000000000e+00
0.000000000000000000e+00 3.468073438494792055e-06 5.249497265018234099e-06 0.000000000000000000e+00
0.000000000000000000e+00 5.249497265018234099e-06 7.945974047018528221e-06 0.000000000000000000e+00
0.000000000000000000e+00 7.945974047018528221e-06 1.202753337479309027e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.202753337479309027e-05 1.820564203026079638e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.820564203026079638e-05 2.755722153543392234e-05 0.000000000000000000e+00
0.000000000000000000e+00 2.755722153543392234e-05 4.171236902772963522e-05 0.000000000000000000e+00
0.000000000000000000e+00 4.171236902772963522e-05 6.313850355589200258e-05 0.000000000000000000e+00
0.000000000000000000e+00 6.313850355589200258e-05 9.557046804575506131e-05 0.000000000000000000e+00
0.000000000000000000e+00 9.557046804575506131e-05 1.446615590817619816e-04 0.000000000000000000e+00
0.000000000000000000e+00 1.446615590817619816e-04 2.189689671284980219e-04 0.000000000000000000e+00
0.000000000000000000e+00 2.189689671284980219e-04 3.314454017339987508e-04 0.000000000000000000e+00
0.000000000000000000e+00 3.314454017339987508e-04 5.016969106227038046e-04 0.000000000000000000e+00
0.000000000000000000e+00 5.016969106227038046e-04 7.594004587529832196e-04 0.000000000000000000e+00
0.000000000000000000e+00 7.594004587529832196e-04 1.149476994064918024e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.149476994064918024e-03 1.739921729905496463e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.739921729905496463e-03 2.633656560181980941e-03 0.000000000000000000e+00
0.000000000000000000e+00 2.633656560181980941e-03 3.986470631277378232e-03 0.000000000000000000e+00
0.000000000000000000e+00 3.986470631277378232e-03 6.034176336545168939e-03 0.000000000000000000e+00
0.000000000000000000e+00 6.034176336545168939e-03 9.133714362484699617e-03 0.000000000000000000e+00
0.000000000000000000e+00 9.133714362484699617e-03 1.382537290967264174e-02 0.000000000000000000e+00
1.000000000000000000e+00 1.382537290967264174e-02 2.092696667596611118e-02 1.000000000000000000e+00
1.000000000000000000e+00 2.092696667596611118e-02 3.167639217533161494e-02 1.000000000000000000e+00
0.000000000000000000e+00 3.167639217533161494e-02 4.794740856532124507e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.794740856532124507e-02 7.257625727718372555e-02 0.000000000000000000e+00
1.000000000000000000e+00 7.257625727718372555e-02 1.098560543306118381e-01 1.000000000000000000e+00
6.000000000000000000e+00 1.098560543306118381e-01 1.662851340900483033e-01 6.000000000000000000e+00
1.000000000000000000e+00 1.662851340900483033e-01 2.516997901283652417e-01 1.000000000000000000e+00
5.000000000000000000e+00 2.516997901283652417e-01 3.809888640818356875e-01 5.000000000000000000e+00
2.000000000000000000e+00 3.809888640818356875e-01 5.766890567542414248e-01 2.000000000000000000e+00
2.000000000000000000e+00 5.766890567542414248e-01 8.729133566188989057e-01 2.000000000000000000e+00
0.000000000000000000e+00 8.729133566188989057e-01 1.321297359884519684e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.321297359884519684e+00 2.000000000000000000e+00 0.000000000000000000e+00
