# w mse
3.000000000000000000e+00 6.889077656161199555e-03
5.000000000000000000e+00 1.467745579496818747e-02
9.000000000000000000e+00 4.086890768461010071e-02
1.700000000000000000e+01 1.220769432688604411e-01
3.300000000000000000e+01 3.261623596707055595e-01
6.500000000000000000e+01 7.594879669161930247e-01
1.290000000000000000e+02 1.644817949598850637e+00
2.570000000000000000e+02 3.459719981913963682e+00
5.130000000000000000e+02 7.564936636818511140e+00
1.025000000000000000e+03 1.535235170727954568e+01
2.049000000000000000e+03 2.802209899027381468e+01
4.097000000000000000e+03 3.519891571272862052e+01
8.193000000000000000e+03 3.641129888223593269e+01
