# size duration
1.020000000000000000e+02 1.683577688492685809e+01
1.400000000000000000e+01 6.351891294250089359e-02
9.800000000000000000e+01 1.460032122411394351e+00
7.200000000000000000e+01 4.631478381217721818e-01
2.600000000000000000e+01 1.613618358113053652e-01
4.000000000000000000e+00 1.505684677191609921e-02
7.800000000000000000e+01 1.147566290642642928e+00
3.400000000000000000e+01 2.767112618610356733e-01
4.800000000000000000e+01 4.448295917316786863e-01
2.000000000000000000e+01 1.236876873190300152e-01
4.800000000000000000e+01 4.269515309713418638e-01
1.020000000000000000e+02 2.200207237052612008e+00
6.400000000000000000e+01 5.794360510961489297e-01
1.800000000000000000e+01 8.191948809461635506e-02
2.800000000000000000e+01 1.448736325219703858e-01
6.000000000000000000e+00 2.236339400618359008e-02
2.600000000000000000e+01 1.413569955636497788e-01
2.000000000000000000e+01 1.053519942533895914e-01
1.800000000000000000e+01 9.753528943806299978e-02
4.400000000000000000e+01 6.580888414070273917e-01
3.000000000000000000e+01 1.441245237403276924e-01
3.000000000000000000e+01 1.400761514206561031e-01
3.800000000000000000e+01 3.564796875381501806e-01
1.480000000000000000e+02 1.792207323682170728e+00
4.600000000000000000e+01 4.366216557961721811e-01
2.600000000000000000e+01 1.593329258033340246e-01
2.400000000000000000e+01 1.190997663172885801e-01
2.400000000000000000e+01 1.150097435816350711e-01
1.400000000000000000e+01 5.973356662365025826e-02
2.200000000000000000e+01 1.130089842486312612e-01
3.000000000000000000e+01 2.605325319198485978e-01
6.600000000000000000e+01 1.233265259003657022e+00
9.800000000000000000e+01 5.201115160372902224e-01
1.600000000000000000e+01 7.409636145035980448e-02
1.600000000000000000e+01 6.772239970707261136e-02
1.200000000000000000e+01 5.620147715509293818e-02
1.800000000000000000e+01 8.568103385666825389e-02
2.200000000000000000e+01 1.145709551881224364e-01
2.800000000000000000e+01 1.987542033781095618e-01
2.000000000000000000e+01 8.714953145532700063e-02
2.000000000000000000e+01 9.732655348461571876e-02
4.600000000000000000e+01 4.585436740700807867e-01
8.000000000000000000e+01 1.363782022848016862e+00
8.600000000000000000e+01 1.638930705091818929e+00
4.000000000000000000e+01 2.219774943385850463e-01
6.400000000000000000e+01 5.359121020000130464e-01
1.000000000000000000e+01 3.968550637793821778e-02
2.800000000000000000e+01 1.649761927891573166e-01
2.400000000000000000e+01 1.539684866678552311e-01
1.200000000000000000e+01 5.384601521681542380e-02
1.000000000000000000e+01 3.964368060762524237e-02
3.800000000000000000e+01 2.890166759478467462e-01
1.400000000000000000e+01 5.737301584491749651e-02
1.320000000000000000e+02 1.814872952851160015e+00
1.000000000000000000e+01 3.949018067238307950e-02
1.800000000000000000e+02 1.635546892286090515e+00
1.800000000000000000e+01 8.028298724874805004e-02
1.000000000000000000e+01 4.106000967448908412e-02
