# w mse
3.000000000000000000e+00 5.586052924402413328e-03
5.000000000000000000e+00 9.725288644580434502e-03
9.000000000000000000e+00 2.710794920074758446e-02
1.700000000000000000e+01 8.190878104155416284e-02
3.300000000000000000e+01 2.205703733302770697e-01
6.500000000000000000e+01 5.229897789189607016e-01
1.290000000000000000e+02 1.185630772837216629e+00
2.570000000000000000e+02 2.617531288893694352e+00
5.130000000000000000e+02 5.541284963042084399e+00
1.025000000000000000e+03 1.210739818583739691e+01
2.049000000000000000e+03 2.358717566749473704e+01
4.097000000000000000e+03 2.990260479770699931e+01
8.193000000000000000e+03 3.279040071604983098e+01
