# size duration
9.999999999998898659e-05 4.203560795683416312e-02
1.000000000000167422e-04 3.249821411690644035e-02
1.000000000000167422e-04 3.720322642498872373e-02
1.999999999999779732e-04 1.018576015292179948e-01
1.000000000000167422e-04 4.665132464778015686e-02
2.000000000000057288e-04 7.167769313042593460e-02
9.999999999998898659e-05 3.505235179259048178e-02
9.999999999998898659e-05 4.003921215944861167e-02
3.999999999999837019e-04 1.560284597600785639e-01
2.000000000000057288e-04 1.279772769361948170e-01
2.999999999999947153e-04 1.427666657813354001e-01
5.999999999999894307e-04 6.362709221594875508e-01
2.000000000000057288e-04 1.062770290790406857e-01
1.999999999999779732e-04 1.582541986813328916e-01
2.999999999999947153e-04 1.564649010929508033e-01
9.999999999998898659e-05 2.670706110361876703e-02
2.000000000000057288e-04 1.408305934617339605e-01
2.000000000000057288e-04 1.240314011343456868e-01
9.999999999998898659e-05 3.017103933217162720e-02
9.999999999998898659e-05 3.403125842173983923e-02
1.000000000000167422e-04 7.929618494474580115e-02
9.999999999998898659e-05 2.359049524467513384e-02
2.000000000000057288e-04 1.729577814237625577e-01
1.999999999999779732e-04 1.522572340750402431e-01
9.999999999998898659e-05 2.534861634396741448e-02
2.000000000000057288e-04 8.123876026428969443e-02
9.999999999998898659e-05 4.513907745848604047e-02
2.000000000000057288e-04 7.217815683386100134e-02
9.999999999998898659e-05 8.120605294743452052e-02
3.999999999999837019e-04 4.597216879258990141e-01
2.999999999999947153e-04 9.840675709946425376e-02
9.999999999998898659e-05 2.332307184803246447e-02
1.000000000000167422e-04 3.338411977952669002e-02
1.999999999999779732e-04 1.245319444416528587e-01
9.999999999998898659e-05 2.921680749314006093e-02
9.999999999998898659e-05 3.221407334972036657e-02
1.000000000000167422e-04 3.889340441331292503e-02
1.000000000000167422e-04 3.902688481802887160e-02
1.999999999999779732e-04 9.131750020568629722e-02
9.999999999998898659e-05 2.697287141989175574e-02
9.999999999998898659e-05 4.557041949680959436e-02
9.999999999998898659e-05 3.657479024380006632e-02
9.999999999998898659e-05 5.737502235791003269e-02
9.999999999998898659e-05 3.812954137072027683e-02
9.999999999998898659e-05 3.170036343863044670e-02
2.000000000000057288e-04 8.297870712626378986e-02
