# hist edge_left edge_right err
0.000000000000000000e+00 9.999999999999999547e-07 1.481602517625662637e-06 0.000000000000000000e+00
0.000000000000000000e+00 1.481602517625662637e-06 2.195146020234701846e-06 0.000000000000000000e+00
0.000000000000000000e+00 2.195146020234701846e-06 3.252333870135681142e-06 0.000000000000000000e+00
0.000000000000000000e+00 3.252333870135681142e-06 4.818666050152240203e-06 0.000000000000000000e+00
0.000000000000000000e+00 4.818666050152240203e-06 7.139347751502865338e-06 0.000000000000000000e+00
0.000000000000000000e+00 7.139347751502865338e-06 1.057767560283175986e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.057767560283175986e-05 1.567191080378308127e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.567191080378308127e-05 2.321954250288983565e-05 0.000000000000000000e+00
0.000000000000000000e+00 2.321954250288983565e-05 3.440213263039765875e-05 0.000000000000000000e+00
0.000000000000000000e+00 3.440213263039765875e-05 5.097028631688902252e-05 0.000000000000000000e+00
0.000000000000000000e+00 5.097028631688902252e-05 7.551770453120364276e-05 0.000000000000000000e+00
0.000000000000000000e+00 7.551770453120364276e-05 1.118872211587422201e-04 0.000000000000000000e+00
0.000000000000000000e+00 1.118872211587422201e-04 1.657723885589317860e-04 0.000000000000000000e+00
0.000000000000000000e+00 1.657723885589317860e-04 2.456087882417329229e-04 0.000000000000000000e+00
0.000000000000000000e+00 2.456087882417329229e-04 3.638945990099393298e-04 0.000000000000000000e+00
0.000000000000000000e+00 3.638945990099393298e-04 5.391471540435070287e-04 0.000000000000000000e+00
0.000000000000000000e+00 5.391471540435070287e-04 7.988017808015708847e-04 0.000000000000000000e+00
0.000000000000000000e+00 7.988017808015708847e-04 1.183506729519468890e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.183506729519468890e-03 1.753486550082959282e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.753486550082959282e-03 2.597970087225649673e-03 0.000000000000000000e+00
0.000000000000000000e+00 2.597970087225649673e-03 3.849159021949681223e-03 0.000000000000000000e+00
0.000000000000000000e+00 3.849159021949681223e-03 5.702923697662180130e-03 0.000000000000000000e+00
0.000000000000000000e+00 5.702923697662180130e-03 8.449466108283339855e-03 0.000000000000000000e+00
0.000000000000000000e+00 8.449466108283339855e-03 1.251875025862529169e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.251875025862529169e-02 1.854781190070614594e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.854781190070614594e-02 2.748048480853345493e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.748048480853345493e-02 4.071515547789694017e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.071515547789694017e-02 6.032367686157238951e-02 0.000000000000000000e+00
0.000000000000000000e+00 6.032367686157238951e-02 8.937571151054239660e-02 0.000000000000000000e+00
2.000000000000000000e+00 8.937571151054239660e-02 1.324192791886045217e-01 2.000000000000000000e+00
1.000000000000000000e+00 1.324192791886045217e-01 1.961927374280119651e-01 1.000000000000000000e+00
2.000000000000000000e+00 1.961927374280119651e-01 2.906796537132130820e-01 2.000000000000000000e+00
1.000000000000000000e+00 2.906796537132130820e-01 4.306717067640523089e-01 1.000000000000000000e+00
1.100000000000000000e+01 4.306717067640523089e-01 6.380842850117609544e-01 1.100000000000000000e+01
3.000000000000000000e+00 6.380842850117609544e-01 9.453872831307958968e-01 3.000000000000000000e+00
6.000000000000000000e+00 9.453872831307958968e-01 1.400688178817869334e+00 6.000000000000000000e+00
1.000000000000000000e+00 1.400688178817869334e+00 2.075263132145059419e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.075263132145059419e+00 3.074715081321838461e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.074715081321838461e+00 4.555505605468029628e+00 1.000000000000000000e+00
0.000000000000000000e+00 4.555505605468029628e+00 6.749448574119250921e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.749448574119250921e+00 1.000000000000000000e+01 0.000000000000000000e+00
