# size duration
6.030000000009749783e-03 7.439685969505419605e-01
5.139999999979494305e-03 5.764581427085239129e-01
3.819999999988610284e-03 4.768821891647872513e-01
3.289999999980253165e-03 4.156518300373357455e-01
3.690000000010407177e-03 3.224685344823202682e-01
1.399999999999401723e-03 2.213288314016361169e-01
1.590000000020630466e-03 2.151070439725293881e-01
2.409999999989587138e-03 1.909298359453587279e-01
1.329999999979847303e-03 1.849153258700263203e-01
1.190000000010904557e-03 1.688967592108804594e-01
8.999999999899088721e-04 1.655003688529064765e-01
1.710000000000988507e-03 1.586097171625163171e-01
1.199999999999867839e-03 1.563953145193431316e-01
9.199999999939811879e-04 1.549627000873344540e-01
8.799999999995478106e-04 1.547572507184059587e-01
9.599999999889696767e-04 1.518292208213336547e-01
1.070000000009230234e-03 1.514696971027685857e-01
1.489999999989777280e-03 1.494248530780385442e-01
9.200000000006980372e-04 1.492643417156464536e-01
1.079999999980429948e-03 1.484689490844703363e-01
1.399999999969203657e-03 1.452404634385672244e-01
1.079999999970215896e-03 1.431710070752289232e-01
9.600000000284936164e-04 1.415827687339600294e-01
1.080000000010072903e-03 1.402597007241331295e-01
9.499999999902364323e-04 1.396159868790524672e-01
8.300000000094343022e-04 1.384513374430076937e-01
8.999999999996788347e-04 1.382363313587177123e-01
9.599999999903019443e-04 1.371478701620259810e-01
1.199999999990097876e-03 1.369435854854027523e-01
1.390000000009550263e-03 1.362242433908416872e-01
1.129999999999853344e-03 1.351765726883593921e-01
8.300000000005525180e-04 1.343557617699191742e-01
9.600000000250519250e-04 1.333350844875677566e-01
1.249999999980211385e-03 1.327206850024873208e-01
9.299999999929919881e-04 1.321158870500747928e-01
9.099999999895302949e-04 1.309206390199509629e-01
1.040000000011254144e-03 1.308964099951198390e-01
1.149999999999984368e-03 1.308060548307050097e-01
1.400000000009171686e-03 1.302783092149786826e-01
9.299999999930197436e-04 1.298688229656154158e-01
1.160000000000493969e-03 1.290254987390581087e-01
1.069999999975979055e-03 1.289778008494242845e-01
9.399999999910590986e-04 1.280623060457135864e-01
8.999999999999008793e-04 1.276176093914044296e-01
9.399999999901709202e-04 1.275187380050509800e-01
1.020000000016951791e-03 1.274152499459440258e-01
1.049999999979012166e-03 1.273698451171458856e-01
9.699999999881470103e-04 1.271292953496498679e-01
8.499999999997953637e-04 1.260250936228517749e-01
1.170000000000115392e-03 1.260174661071483126e-01
9.400000000008290613e-04 1.245432229534667312e-01
9.199999999998098588e-04 1.244685466988922906e-01
8.400000000001739409e-04 1.239616328428730790e-01
