# hist edge err
2.293782452201327942e+03 3.525086767600913542e-07 1.025810697743666196e+03
9.308766906690120777e+02 5.211720682918033648e-07 5.374419079401021691e+02
2.518493452882612473e+03 7.705351461530557675e-07 7.270264364870432701e+02
2.555175675706565016e+03 1.139209960739268289e-06 6.022606824716770006e+02
1.248188827615494347e+03 1.684283113011665928e-06 3.461852938022267381e+02
1.428723863628757272e+03 2.490155197497900683e-06 3.046049512000064965e+02
1.317757667410707654e+03 3.681609617600463017e-06 2.405885332554116189e+02
1.544921154600649061e+03 5.443134383763516691e-06 2.142420169023719154e+02
9.846632643766947695e+02 8.047488733750887219e-06 1.406661806252421059e+02
9.922090752244308760e+02 1.189793790743585734e-05 1.161292884226792097e+02
7.814261486775511685e+02 1.759069582234984184e-05 8.475756609204523784e+01
7.399538850623087001e+02 2.600724444200111201e-05 6.783146143068042022e+01
5.803974009846217541e+02 3.845082481652767928e-05 4.940670780235634396e+01
4.210142225297414598e+02 5.684823443592554895e-05 3.460715591252091627e+01
3.290181389360648723e+02 8.404817774137396575e-05 2.516064593358125734e+01
2.719936070318879615e+02 1.242623671911502990e-04 1.881419120630621578e+01
1.857306355656393464e+02 1.837176761578635485e-04 1.278622425687101938e+01
1.416989805979529820e+02 2.716203247675566838e-04 9.184980684713902832e+00
1.099362946308152829e+02 4.015813958121150474e-04 6.653647235015885286e+00
7.762685427730110632e+01 5.937244114571097126e-04 4.598218001512790032e+00
6.687479005209918625e+01 8.778013135972471221e-04 3.510016185325379290e+00
4.722627544366876862e+01 1.297799334647564955e-03 2.425850824428003705e+00
4.315221828916345714e+01 1.918752099047832350e-03 1.907076635969352285e+00
3.004225025479902556e+01 2.836809604776268159e-03 1.308660975613212818e+00
2.467689411106060149e+01 4.194126347923935599e-03 9.754398871218447065e-01
2.190677707474246105e+01 6.200872907625797070e-03 7.558556187735209209e-01
1.666938934775862791e+01 9.167779324426051160e-03 5.422552760161715169e-01
1.351781414700366568e+01 1.355424937640825438e-02 4.015979767913063214e-01
1.049886948970235423e+01 2.003949589715557297e-02 2.910743181641051169e-01
7.707057807902723212e+00 2.962771191970863666e-02 2.051026483392523747e-01
4.777237968728933026e+00 4.380356262962897818e-02 1.328035661388088096e-01
2.174950780621258239e+00 6.476207491984746489e-02 7.369539581339541734e-02
6.620732244778715359e-01 9.574852126495767002e-02 3.343974761931044898e-02
1.713562288583584670e-01 1.415609264491991537e-01 1.399117749835186372e-02
5.408730668831200974e-03 2.092930066429093405e-01 2.044308036893629967e-03
