# hist edge err
1.041535626149712698e+03 7.626985859023451084e-05 3.471785420499042516e+02
1.488978551130413280e+03 1.719072201858574543e-04 2.764963755905388325e+02
1.060184741521153001e+03 2.580861540418076657e-04 1.904148007050849856e+02
1.275666921856399540e+03 3.874675120456132216e-04 1.704681629009704977e+02
5.158905780029891730e+02 5.817091329374358228e-04 8.847450421586373182e+01
3.234134440427869208e+02 8.733261623828437233e-04 5.717195985238765843e+01
1.009784643351659099e+02 1.311133937421564335e-03 2.607252737971314360e+01
5.829217590026971152e+01 1.968419447286613461e-03 1.616734070513759036e+01
8.960197468350123984e+00 2.955209235202887856e-03 5.173172420344148037e+00
7.957666409597024426e+00 4.436687330978615965e-03 3.978833204798512213e+00
