# hist edge err
1.575735168159252453e+03 7.405684692262442192e-06 9.097511235083046586e+02
6.319501687162563712e+02 2.462092401494625450e-05 3.159750843581281856e+02
5.292730779091798468e+02 3.674661940736687922e-05 2.366981161730936662e+02
5.673966180081829407e+02 5.484416576121014950e-05 2.006049981079496263e+02
5.227287628079029673e+02 8.185467307069021234e-05 1.576086521236817077e+02
9.870345677546087018e+02 1.221677348996791812e-04 1.772766416524337103e+02
1.258663496476394585e+03 1.823348000868440328e-04 1.638640298975778649e+02
1.129202089808429037e+03 2.721338768375308921e-04 1.270451608943844946e+02
9.768586133788321604e+02 4.061585988376979588e-04 9.672341558726517974e+01
4.940935904925049158e+02 6.061898993497572431e-04 5.630719039753814315e+01
2.880582077129849381e+02 9.047357242349293423e-04 3.519191117856852458e+01
1.065845196018963321e+02 1.350314037869872197e-03 1.752238708497976205e+01
4.825245042595945932e+01 2.015337685941732959e-03 9.650490085191892220e+00
1.163881675287826134e+01 3.007882518043098787e-03 3.879605584292753928e+00
3.465877980589901153e+00 4.489251258218603276e-03 1.732938990294950576e+00
