# hist edge err
1.367244407973096706e+06 7.405684692262442721e-08 4.042342833906233136e+04
7.076831252026382135e+05 1.649648074098020671e-07 1.948571930370663176e+04
3.753025364467119798e+05 2.462092401494625386e-07 1.161532190402958622e+04
4.104285353936449392e+05 3.674661940736687901e-07 9.942663757617952797e+03
3.532650520574486000e+05 5.484416576121015119e-07 7.550536211332548191e+03
2.423169126297135663e+05 8.185467307069021234e-07 5.118736794855687549e+03
1.916984789027513471e+05 1.221677348996793117e-06 3.726694109360531002e+03
1.633916637897834298e+05 1.823348000868438558e-06 2.816260599783397538e+03
1.237209506227874226e+05 2.721338768375308565e-06 2.005963350871205193e+03
5.432653110520037444e+04 4.061585988376979418e-06 1.088054966846889556e+03
1.152003122595466630e+04 6.061898993497572126e-06 4.101239718705525661e+02
1.878299480095678064e+03 9.047357242349294033e-06 1.355545888064967528e+02
6.554665991867467767e+01 1.350314037869872095e-05 2.072767383594790402e+01
