# hist edge err
7.024365526141319549e+01 2.822956755849600086e-03 3.141391763051613140e+01
2.855908366259460252e+01 4.165990831887110037e-03 1.648859464040803857e+01
8.742282587797708615e+00 9.072907409904698572e-03 6.181727300880837994e+00
8.885912147431712427e+00 1.338938296164157195e-02 5.130283770315065439e+00
4.014178417689183931e+00 1.975944071663139623e-02 2.838452780040707335e+00
2.720085698860802204e+00 2.916008142814389623e-02 1.923391043073022333e+00
1.843183196975661797e+00 4.303311824915578843e-02 1.303327337550590270e+00
1.269496747818608995e+00 9.371972075541264158e-02 7.329442890884283468e-01
1.360129339475209864e+00 2.041075900569875035e-01 5.140805690191360133e-01
7.899858907126938723e-01 3.012126725405938066e-01 3.225103893740294270e-01
3.568732461185109561e-01 4.445159245362464984e-01 1.784366230592554781e-01
1.209121409246931567e-01 6.559963281082890063e-01 8.549779477563398955e-02
8.193242828933107458e-02 9.680894625777756168e-01 5.793497564246651715e-02
